T,U56,B136,B80held,SMALL439,POOLED,regret,n_pan,wins
2.0,0.0005062452063551159,0.36097529019167784,0.0,0.0,0.09037038384950824,0.05791773987226201,4,2
3.0,0.0,-0.012413077975338416,0.0,0.0,-0.0031032694938345484,0.15139139321560485,4,0
4.0,0.0,-0.005749911321505818,0.0,0.0,-0.001437477830376399,0.1497256015521467,4,0
5.0,0.0,0.0,0.0,0.0,0.0,0.14828812372177025,4,0
6.2,0.0,0.0,0.0,0.0,0.0,0.14828812372177025,4,0
8.0,0.0,0.0,0.0,0.0,0.0,0.14828812372177025,4,0
10.0,0.0,0.0,0.0,0.0,0.0,0.14828812372177025,4,0
12.0,0.0,0.0,0.0,0.0,0.0,0.14828812372177025,4,0
15.0,0.0,0.0,0.0,0.0,0.0,0.14828812372177025,4,0
20.0,0.0,0.0,0.0,0.0,0.0,0.14828812372177025,4,0
inf,0.0,0.0,0.0,0.0,0.0,0.14828812372177025,4,0
