panel,p,K,lam,key,full_width,pn_star,pn_train_star,r2_at_smallest_pn,r2_at_largest_pn
B136,10,2,0.001,mu,False,,,0.18894467830786044,-3.038621575733293
B136,10,2,0.001,sd,False,,,0.20092382699705325,-1.3142133594889787
B136,10,2,0.001,yS,False,,,0.23125406151168426,-2.1885583491805227
B136,10,2,0.01,mu,False,,,0.18894763337151665,-2.5786825074977697
B136,10,2,0.01,sd,False,,,0.20092604801355274,-1.2437063713008434
B136,10,2,0.01,yS,False,,,0.2312580066588249,-2.097576892837677
B136,10,2,0.1,mu,False,,,0.1889768361667029,-1.0465963619436542
B136,10,2,0.1,sd,False,,,0.20094784482151617,-0.8421089922352545
B136,10,2,0.1,yS,False,,,0.23129695939637662,-1.5985043146006377
B136,10,2,1.0,mu,False,,,0.18923492104986395,-0.18996563587888682
B136,10,2,1.0,sd,False,,,0.20112559995148904,-0.2460046157615392
B136,10,2,1.0,yS,False,,,0.2316379160391666,-0.6084637252705594
B136,10,2,10.0,mu,False,,,0.18912324458116814,-0.0926601040593864
B136,10,2,10.0,sd,False,,,0.19980077117211303,-0.039400393257364774
B136,10,2,10.0,yS,False,,,0.23126267590166572,-0.07439925206158438
B136,10,2,100.0,mu,False,,,0.13659274427436097,-0.10607156483435998
B136,10,2,100.0,sd,False,,,0.13767492092937827,-0.01588911284322081
B136,10,2,100.0,yS,False,,,0.16224792717135295,-0.010318294824701812
B136,10,3,0.001,mu,False,,,0.18630214842654225,-0.8213680825047851
B136,10,3,0.001,sd,False,,,0.1912978190198774,-1.063262570781411
B136,10,3,0.001,yS,False,,,0.2335109325961222,-1.2349389178739334
B136,10,3,0.01,mu,False,,,0.1863036901532571,-0.7463022626747986
B136,10,3,0.01,sd,False,,,0.19130038339580935,-0.9859861680813762
B136,10,3,0.01,yS,False,,,0.2335120388212062,-1.2031159180475162
B136,10,3,0.1,mu,False,,,0.18631893048693382,-0.39230070358981983
B136,10,3,0.1,sd,False,,,0.19132578863958072,-0.61148899943711
B136,10,3,0.1,yS,False,,,0.23352286282189438,-0.9961265986716932
B136,10,3,1.0,mu,False,,,0.1864539619574651,-0.05236273883010445
B136,10,3,1.0,sd,False,,,0.19155646098528345,-0.18498417424823876
B136,10,3,1.0,yS,False,,,0.23360775268102618,-0.4248095647206469
B136,10,3,10.0,mu,False,,,0.18634759688454905,-0.06460490063024737
B136,10,3,10.0,sd,False,,,0.1919313123658445,-0.09696342053571572
B136,10,3,10.0,yS,False,,,0.23253147008629693,-0.05794866662020848
B136,10,3,100.0,mu,False,,,0.14721560076029272,-0.11258878050657994
B136,10,3,100.0,sd,False,,,0.1487212583466032,-0.12195743357390598
B136,10,3,100.0,yS,False,,,0.17748835146008268,-0.014137397485977754
B136,10,5,0.001,mu,False,,,0.18593765942462748,-0.2866807649117755
B136,10,5,0.001,sd,False,,,0.19853857856718538,-0.39232953522413205
B136,10,5,0.001,yS,False,,,0.2301499582168829,-0.8854077785746832
B136,10,5,0.01,mu,False,,,0.1859390834765834,-0.2751850636658508
B136,10,5,0.01,sd,False,,,0.19853965434985932,-0.38224706381233253
B136,10,5,0.01,yS,False,,,0.23015131380428544,-0.8723253665454189
B136,10,5,0.1,mu,False,,,0.1859531977226183,-0.19394627385462115
B136,10,5,0.1,sd,False,,,0.19855025872116283,-0.30867046037535584
B136,10,5,0.1,yS,False,,,0.23016469909744297,-0.7647126381780496
B136,10,5,1.0,mu,False,,,0.18608190343495068,-0.0213585351535579
B136,10,5,1.0,sd,False,,,0.19864121743714802,-0.12524945620125583
B136,10,5,1.0,yS,False,,,0.23028177415132223,-0.36697442075082765
B136,10,5,10.0,mu,False,,,0.18629535845259082,-0.013066928817291323
