correction,null_type,n_cells,n_below,share_below,median_ratio,inside_90,mean_share_le
R_NONE,N_BLOCK,36,30,0.8333333333333334,0.9358063315629044,0.9722222222222222,0.3850555555555556
R_NONE,N_IID,36,29,0.8055555555555556,0.8507309385991677,0.9444444444444444,0.3174444444444444
R_NONE,N_STAT,36,30,0.8333333333333334,0.9640867168830549,0.9722222222222222,0.40788888888888886
R_CENTER,N_BLOCK,36,29,0.8055555555555556,0.9393809143572192,1.0,0.3830277777777778
R_CENTER,N_IID,36,30,0.8333333333333334,0.8568384898732484,0.9722222222222222,0.3088611111111111
R_CENTER,N_STAT,36,29,0.8055555555555556,0.9671778596366943,1.0,0.4058888888888889
R_PERM,N_BLOCK,36,30,0.8333333333333334,0.9356984917431971,0.9166666666666666,0.31875000000000003
R_PERM,N_IID,36,30,0.8333333333333334,0.8528593541923248,0.9722222222222222,0.3053888888888888
R_PERM,N_STAT,36,29,0.8055555555555556,0.9576202055125245,1.0,0.37897222222222215
R_PIVOT,N_BLOCK,36,6,0.16666666666666666,1.0605072470627235,0.9722222222222222,0.6149999999999999
R_PIVOT,N_IID,36,7,0.19444444444444445,1.1540679507987324,0.9444444444444444,0.6825555555555556
R_PIVOT,N_STAT,36,6,0.16666666666666666,1.0249010924113815,0.9722222222222222,0.5923055555555554
R_MACH,N_BLOCK,36,27,0.75,0.9237015772579782,0.9722222222222222,0.3819722222222222
R_MACH,N_IID,36,30,0.8333333333333334,0.8500853073809698,0.9444444444444444,0.29663888888888884
R_MACH,N_STAT,36,25,0.6944444444444444,0.9656608349969042,0.9722222222222222,0.39019444444444445
