bar,rule,agree,misstated,miss_U56,miss_B136,miss_SMALL,misstated_books
B_TIGHT,P_MAX,0.7222222222222222,5,1,3,1,N=10|N=15|N=30|H=21|H=252
B_TIGHT,P_MEAN,0.7222222222222222,5,1,3,1,N=10|N=15|N=30|H=21|H=252
B_TIGHT,P_MEDIAN,0.7222222222222222,5,1,3,1,N=10|N=15|N=30|H=21|H=252
B_TIGHT,P_MIN,0.7222222222222222,5,4,2,4,N=10|N=15|N=30|H=21|H=252
B_MID,P_MAX,0.6666666666666667,6,1,4,2,N=10|N=15|N=30|N=40|H=21|H=252
B_MID,P_MEAN,0.6666666666666667,6,1,4,2,N=10|N=15|N=30|N=40|H=21|H=252
B_MID,P_MEDIAN,0.6666666666666667,6,2,3,1,N=10|N=15|N=30|N=40|H=21|H=252
B_MID,P_MIN,0.6666666666666667,6,5,2,4,N=10|N=15|N=30|N=40|H=21|H=252
B_LOOSE,P_MAX,0.6111111111111112,7,2,5,4,N=10|N=15|N=30|N=40|H=21|H=252|CADENCE=M
B_LOOSE,P_MEAN,0.6111111111111112,7,3,6,1,N=10|N=15|N=30|N=40|H=21|H=252|CADENCE=M
B_LOOSE,P_MEDIAN,0.6111111111111112,7,2,3,2,N=10|N=15|N=30|N=40|H=21|H=252|CADENCE=M
B_LOOSE,P_MIN,0.6111111111111112,7,5,2,3,N=10|N=15|N=30|N=40|H=21|H=252|CADENCE=M
