panel,scaler,cost,Sharpe_min,Sharpe_max,Sharpe_spread,Sharpe_at_ref,max_abs_dev,max_rel_dev
broad,INV,10.0,0.8535243192279341,0.8543661163136446,0.0008417970857104162,0.8543369119499937,0.009407688731800493,0.08861254267766273
broad,INV,25.0,0.5937054250059244,0.5968135374341058,0.003108112428181431,0.5964393240811896,0.009407688731800493,0.08861254267766273
broad,NONE,10.0,0.9519278149919153,0.9612835770652027,0.009355762073287477,0.9569274633118441,0.015186897806424307,0.121641214017988
broad,NONE,25.0,0.800894654593583,0.8120511476857543,0.01115649309217126,0.807669841872597,0.015186897806424307,0.121641214017988
broad,POS,10.0,1.0471381666736312,1.055503531511096,0.008365364837464861,1.0516673748387733,0.019039493038161492,0.13981987563097265
broad,POS,25.0,0.8943642780425285,0.9048822913902713,0.010518013347742827,0.9007727077619465,0.019039493038161492,0.13981987563097265
u56,INV,10.0,0.9938903665582858,0.9960598568599235,0.002169490301637711,0.9958280541493004,0.00628303935700511,0.06465596892498066
u56,INV,25.0,0.8338031819117429,0.8360683989151799,0.00226521700343707,0.8360675632017025,0.00628303935700511,0.06465596892498066
u56,NONE,10.0,1.090958086035084,1.0922497132027198,0.001291627167635756,1.092135905431323,0.008301571313481818,0.0763049297110786
u56,NONE,25.0,0.9639908186620585,0.9671229108507817,0.0031320921887232345,0.9668297371038527,0.008301571313481818,0.0763049297110786
u56,POS,10.0,1.0806093480792358,1.0828487477341435,0.0022393996549077144,1.08236160760536,0.009887019138805603,0.08376080659791975
u56,POS,25.0,0.9569426829683605,0.9609606085805256,0.004017925612165074,0.9603349458501207,0.009887019138805603,0.08376080659791975
small,INV,10.0,0.47315147631592536,0.47765379594196306,0.0045023196260376985,0.47600335542988925,0.006401121535889676,0.05454347396673496
small,INV,25.0,0.18236490325489732,0.18606813559876878,0.00370323234387146,0.1854413355150807,0.006401121535889676,0.05454347396673496
small,NONE,10.0,0.46931334150511567,0.4747455316143704,0.00543219010925472,0.47231794831498813,0.00912605497987369,0.07351989590305635
small,NONE,25.0,0.28730737464164835,0.2936249342342275,0.006317559592579125,0.29142744675896826,0.00912605497987369,0.07351989590305635
small,POS,10.0,0.3545129683370674,0.3608117360019481,0.006298767664880689,0.3577983142771861,0.014073561458489064,0.09980298585339746
small,POS,25.0,0.12284049496629405,0.13075832838969687,0.007917833423402812,0.12741995182302615,0.014073561458489064,0.09863298984457446
