panel,basis,book,family,null,window,gross_ratio,inc_mean_gross,_dSh_H1,_dSh_H2,_dMaxDD_pp,R0_CURRENT,_n_R1a_ACTIVE_GROSS,R1a_ACTIVE_GROSS,_n_R1b_ACTIVE_DIFF,R1b_ACTIVE_DIFF,_blockshare,R2_BLOCKS p=0.50,R2_BLOCKS p=0.60,R2_BLOCKS p=0.70,R2_BLOCKS p=0.80,R2_BLOCKS p=0.90,R2_BLOCKS p=1.00,_minmargin,R3_MARGIN m=0.00,R3_MARGIN m=0.05,R3_MARGIN m=0.10,R3_MARGIN m=0.20,R3_MARGIN m=0.30
U56,LIVE,BAND c=0.00,BAND,False,FULL,0.9990368855749058,0.5328263552938667,-0.04489725728956495,-0.02520161765245099,0.043267183098916195,False,4448,False,4201,False,0.0,False,False,False,False,False,False,-0.04489725728956495,False,False,False,False,False
U56,LIVE,BAND c=0.00,BAND,False,IS,0.9990368855749058,0.5328263552938667,-0.04701853680145818,-0.04826715978769158,-0.8173891167308378,False,2007,False,1846,False,0.0,False,False,False,False,False,False,-0.04826715978769158,False,False,False,False,False
U56,LIVE,BAND c=0.00,BAND,False,OOS,0.9990368855749058,0.5328263552938667,0.0007658309437870159,-0.0470776502712793,0.0432671830989384,False,2441,False,2355,False,0.0,False,False,False,False,False,False,-0.0470776502712793,False,False,False,False,False
U56,LIVE,BAND c=0.03,BAND,False,FULL,1.0,0.5328263552938667,0.0,0.0,0.0,False,4448,False,0,False,0.0,False,False,False,False,False,False,0.0,False,False,False,False,False
U56,LIVE,BAND c=0.03,BAND,False,IS,1.0,0.5328263552938667,0.0,0.0,0.0,False,2007,False,0,False,0.0,False,False,False,False,False,False,0.0,False,False,False,False,False
U56,LIVE,BAND c=0.03,BAND,False,OOS,1.0,0.5328263552938667,0.0,0.0,0.0,False,2441,False,0,False,0.0,False,False,False,False,False,False,0.0,False,False,False,False,False
U56,LIVE,BAND c=0.06,BAND,False,FULL,0.9560873573446848,0.5328263552938667,-0.04311938180839303,-0.08036968595073612,-1.4175931663929053,False,4448,False,4429,False,0.0,False,False,False,False,False,False,-0.08036968595073612,False,False,False,False,False
U56,LIVE,BAND c=0.06,BAND,False,IS,0.9560873573446848,0.5328263552938667,-0.0462298526704924,-0.05548539603967928,-0.48773291851094136,False,2007,False,2007,False,0.0,False,False,False,False,False,False,-0.05548539603967928,False,False,False,False,False
U56,LIVE,BAND c=0.06,BAND,False,OOS,0.9560873573446848,0.5328263552938667,-0.1123118869925106,-0.03401326478528821,-1.4175931663929053,False,2441,False,2422,False,0.0,False,False,False,False,False,False,-0.1123118869925106,False,False,False,False,False
U56,LIVE,BAND c=0.10,BAND,False,FULL,0.9710056265906074,0.5328263552938667,0.018824237273578515,-0.07323306667495388,-0.2929528380731572,False,4448,False,4448,False,0.38461538461538464,False,False,False,False,False,False,-0.07323306667495388,False,False,False,False,False
U56,LIVE,BAND c=0.10,BAND,False,IS,0.9710056265906074,0.5328263552938667,-0.02817816211438473,0.12714051831069728,-1.335219358259332,False,2007,False,2007,False,0.6666666666666666,False,False,False,False,False,False,-0.02817816211438473,False,False,False,False,False
U56,LIVE,BAND c=0.10,BAND,False,OOS,0.9710056265906074,0.5328263552938667,-0.08722242761110333,-0.0749095618781026,-0.2929528380732016,False,2441,False,2441,False,0.0,False,False,False,False,False,False,-0.08722242761110333,False,False,False,False,False
U56,LIVE,MAXVOL m=0.45,MAXVOL,False,FULL,1.2752920375616883,0.5328263552938667,-0.08301961605264552,-0.07088645875288568,-3.1367078334497367,False,4448,False,4448,False,0.23076923076923078,False,False,False,False,False,False,-0.08301961605264552,False,False,False,False,False
U56,LIVE,MAXVOL m=0.45,MAXVOL,False,IS,1.2752920375616883,0.5328263552938667,0.07275128004346554,-0.24914560670741936,-2.113516404129956,False,2007,False,2007,False,0.3333333333333333,False,False,False,False,False,False,-0.24914560670741936,False,False,False,False,False
U56,LIVE,MAXVOL m=0.45,MAXVOL,False,OOS,1.2752920375616883,0.5328263552938667,-0.02955212866718404,-0.09598068120471592,-3.136707833449759,False,2441,False,2441,False,0.2,False,False,False,False,False,False,-0.09598068120471592,False,False,False,False,False
U56,LIVE,MAXVOL m=0.60,MAXVOL,False,FULL,1.3510453133975828,0.5328263552938667,-0.06952036088503255,-0.07999581543581669,-4.828998910686877,False,4448,False,4448,False,0.07692307692307693,False,False,False,False,False,False,-0.07999581543581669,False,False,False,False,False
U56,LIVE,MAXVOL m=0.60,MAXVOL,False,IS,1.3510453133975828,0.5328263552938667,0.11698402254341456,-0.19377302090382353,-4.065207923248337,False,2007,False,2007,False,0.0,False,False,False,False,False,False,-0.19377302090382353,False,False,False,False,False
U56,LIVE,MAXVOL m=0.60,MAXVOL,False,OOS,1.3510453133975828,0.5328263552938667,-0.0762471185469864,-0.10039946538702416,-4.828998910686899,False,2441,False,2441,False,0.0,False,False,False,False,False,False,-0.10039946538702416,False,False,False,False,False
U56,LIVE,MAXVOL m=0.80,MAXVOL,False,FULL,1.3873811374918068,0.5328263552938667,-0.04491991695880815,-0.1569444237619937,-6.819899915678973,False,4448,False,4448,False,0.15384615384615385,False,False,False,False,False,False,-0.1569444237619937,False,False,False,False,False
U56,LIVE,MAXVOL m=0.80,MAXVOL,False,IS,1.3873811374918068,0.5328263552938667,0.09709000032853854,-0.0861986874374503,-3.7555287576631846,False,2007,False,2007,False,0.0,False,False,False,False,False,False,-0.0861986874374503,False,False,False,False,False
U56,LIVE,MAXVOL m=0.80,MAXVOL,False,OOS,1.3873811374918068,0.5328263552938667,-0.18329430544040393,-0.14631185526779322,-6.819899915679006,False,2441,False,2441,False,0.0,False,False,False,False,False,False,-0.18329430544040393,False,False,False,False,False
U56,LIVE,MAXVOL m=1.00,MAXVOL,False,FULL,1.3998182801048475,0.5328263552938667,-0.03216640711189833,-0.13866863804467844,-8.874429076493072,False,4448,False,4448,False,0.23076923076923078,False,False,False,False,False,False,-0.13866863804467844,False,False,False,False,False
U56,LIVE,MAXVOL m=1.00,MAXVOL,False,IS,1.3998182801048475,0.5328263552938667,0.1269907261109332,-0.08000819861237862,-4.062908670544529,False,2007,False,2007,False,0.3333333333333333,False,False,False,False,False,False,-0.08000819861237862,False,False,False,False,False
