panel,rung,chooser,pick,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pass4b,fail4b,pass4a,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,v2_OOS_CAGR,v2_OOS_Sharpe,v2_OOS_MaxDD,base4b_of_cell
U56,0.0,C_ISSHARPE,TOP10/M,1.2120768598467122,0.16711833744259819,0.18051670172028733,1.1409926614025914,-0.23168090223706017,False,L4_DD,False,0.15210156343930548,0.8713084695230762,-0.3371725677562022,0.09650748519217367,1.3010528031265496,-0.12029819641900052,0.71
U56,0.0,C_ISCAGR,TOP10/Q,1.1775367450627763,0.1673678151099911,0.14347909020400285,0.8729488122562095,-0.24461287519528252,False,"L2_H2,L4_DD",False,0.15210156343930548,0.8713084695230762,-0.3371725677562022,0.09650748519217367,1.3010528031265496,-0.12029819641900052,0.195
U56,0.0,C_ISLEGS,TOP10/M,1.2120768598467122,0.16711833744259819,0.18051670172028733,1.1409926614025914,-0.23168090223706017,False,L4_DD,False,0.15210156343930548,0.8713084695230762,-0.3371725677562022,0.09650748519217367,1.3010528031265496,-0.12029819641900052,0.71
U56,10.0,C_ISSHARPE,TOP10/M,1.169005077664307,0.1603367793215269,0.17309225688498553,1.1008702570185247,-0.23215158924479462,False,L4_DD,False,0.15210156343930548,0.8713084695230762,-0.3371725677562022,0.09454831802271646,1.2764916149303631,-0.12054949323437081,0.275
U56,10.0,C_ISCAGR,TOP10/Q,1.1549880026854806,0.16366504073989985,0.13968004927949473,0.8534668241362678,-0.24461287519528285,False,"L2_H2,L3_OOS,L4_DD",False,0.15210156343930548,0.8713084695230762,-0.3371725677562022,0.09454831802271646,1.2764916149303631,-0.12054949323437081,0.165
U56,10.0,C_ISLEGS,TOP10/M,1.169005077664307,0.1603367793215269,0.17309225688498553,1.1008702570185247,-0.23215158924479462,False,L4_DD,False,0.15210156343930548,0.8713084695230762,-0.3371725677562022,0.09454831802271646,1.2764916149303631,-0.12054949323437081,0.275
U56,25.0,C_ISSHARPE,TOP10/Q,1.1208417328939169,0.1581266248022124,0.13399871698975319,0.8240774854194564,-0.24461287519528263,False,"L2_H2,L3_OOS,L4_DD",False,0.15210156343930548,0.8713084695230762,-0.3371725677562022,0.09161591517062972,1.2396106347943783,-0.12092638054158922,0.095
U56,25.0,C_ISCAGR,TOP10/Q,1.1208417328939169,0.1581266248022124,0.13399871698975319,0.8240774854194564,-0.24461287519528263,False,"L2_H2,L3_OOS,L4_DD",False,0.15210156343930548,0.8713084695230762,-0.3371725677562022,0.09161591517062972,1.2396106347943783,-0.12092638054158922,0.095
U56,25.0,C_ISLEGS,EWELIG/Q,1.1087059351915727,0.11306711678080572,0.1117393158447264,1.0053033040340809,-0.22205956064031962,False,L4_DD,False,0.15210156343930548,0.8713084695230762,-0.3371725677562022,0.09161591517062972,1.2396106347943783,-0.12092638054158922,0.0
U56,50.0,C_ISSHARPE,EWELIG/Q,1.064933074966528,0.1082477556364354,0.10603527130766843,0.9588647115870198,-0.22205956064031973,False,"L4_DD,L5_CAGR",False,0.15210156343930548,0.8713084695230762,-0.3371725677562022,0.08674545766095254,1.1780484467589214,-0.12155437161885863,0.0
