panel,stat,n,sharpe4a,pass4a,flip_up,flip_dn,pass4b
B136,NONE,82,1,0,0,0,5
B136,VOL,82,1,0,0,0,0
B136,SEMIVOL,82,1,0,0,0,0
B136,SQRTVOL,82,1,0,0,0,0
B136,GROSS,82,1,0,0,0,0
SMALL439,NONE,84,14,2,0,0,0
SMALL439,VOL,84,14,4,2,0,0
SMALL439,SEMIVOL,84,14,4,2,0,0
SMALL439,SQRTVOL,84,14,3,1,0,0
SMALL439,GROSS,84,14,4,2,0,0
U56,NONE,78,0,0,0,0,9
U56,VOL,78,0,0,0,0,0
U56,SEMIVOL,78,0,0,0,0,0
U56,SQRTVOL,78,0,0,0,0,0
U56,GROSS,78,0,0,0,0,0
