universe,bound,n,mean_gap,frac_pos
u56,2012-01-01,16,-0.005699231154292869,0.625
u56,2013-01-01,16,-0.01200598059754139,0.625
u56,2014-01-01,16,-0.0168325758160313,0.5625
u56,2015-01-01,16,-0.04822212576976053,0.375
u56,2016-01-01,16,-0.04908675091947646,0.375
broad,2012-01-01,16,-0.010728997910327713,0.5625
broad,2013-01-01,16,-0.017833465504259523,0.5
broad,2014-01-01,16,-0.023311177577374657,0.5
broad,2015-01-01,16,-0.05341656786058341,0.4375
broad,2016-01-01,16,-0.055950861809616524,0.375
