s,tol,arm,nadm,price,se,t,null,t_null,edge
0.0,0,CH_ANCHOR,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,CH_SPREAD,168,-0.021102051945540466,0.028266307333525104,-0.746544346827804,0.018184180692132495,0.5885174952411448,-0.03928623263767296
0.0,0,CH_MONO,80,-0.008437814861292728,0.023646646331568297,-0.35682924094095475,0.0045522594101969705,0.18210530429989916,-0.0129900742714897
0.0,0,CH_BOTH,80,-0.008437814861292728,0.023646646331568297,-0.35682924094095475,0.0045522594101969705,0.18210530429989916,-0.0129900742714897
0.0,0,CH_EITHER,168,-0.021102051945540466,0.028266307333525104,-0.746544346827804,0.018184180692132495,0.5885174952411448,-0.03928623263767296
0.0,0,CH_ALL,168,-0.021102051945540466,0.028266307333525104,-0.746544346827804,0.018184180692132495,0.5885174952411448,-0.03928623263767296
0.0,1,CH_ANCHOR,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,CH_SPREAD,168,-0.021102051945540466,0.028266307333525104,-0.746544346827804,0.018184180692132495,0.5885174952411448,-0.03928623263767296
0.0,1,CH_MONO,54,-0.0037058859871998066,0.019490012220729627,-0.1901428252188686,0.007042501158556157,0.3591489499260264,-0.010748387145755964
0.0,1,CH_BOTH,54,-0.0037058859871998066,0.019490012220729627,-0.1901428252188686,0.007042501158556157,0.3591489499260264,-0.010748387145755964
0.0,1,CH_EITHER,168,-0.021102051945540466,0.028266307333525104,-0.746544346827804,0.018184180692132495,0.5885174952411448,-0.03928623263767296
0.0,1,CH_ALL,168,-0.021102051945540466,0.028266307333525104,-0.746544346827804,0.018184180692132495,0.5885174952411448,-0.03928623263767296
0.0,2,CH_ANCHOR,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,CH_SPREAD,168,-0.021102051945540466,0.028266307333525104,-0.746544346827804,0.018184180692132495,0.5885174952411448,-0.03928623263767296
0.0,2,CH_MONO,25,-0.015568351362134887,0.006833580690272729,-2.2782128532257886,0.00044039618625365634,0.05252210964673077,-0.016008747548388543
0.0,2,CH_BOTH,25,-0.015568351362134887,0.006833580690272729,-2.2782128532257886,0.00044039618625365634,0.05252210964673077,-0.016008747548388543
0.0,2,CH_EITHER,168,-0.021102051945540466,0.028266307333525104,-0.746544346827804,0.018184180692132495,0.5885174952411448,-0.03928623263767296
0.0,2,CH_ALL,168,-0.021102051945540466,0.028266307333525104,-0.746544346827804,0.018184180692132495,0.5885174952411448,-0.03928623263767296
0.01,0,CH_ANCHOR,0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0,CH_SPREAD,125,-0.02096263498940479,0.028226273841851876,-0.7426639133048767,0.018776375961225885,0.6090473979564349,-0.03973901095063068
0.01,0,CH_MONO,80,-0.008437814861292728,0.023646646331568297,-0.35682924094095475,0.0045522594101969705,0.18210530429989916,-0.0129900742714897
