panel,book,dial,bps,pass4a,pass4b
B136,V1C,N,5,0,0
B136,V1C,N,10,0,0
B136,V1C,N,15,2,0
B136,V1C,N,20,6,0
B136,V1C,N,25,6,0
B136,V1C,N,30,6,0
B136,V1C,V,0,0,0
B136,V1C,V,5,0,0
B136,V1C,V,10,1,0
B136,V1C,V,15,5,0
B136,V1C,V,20,5,0
B136,V1C,V,25,8,0
B136,V1C,V,30,8,0
SMALL439,EWALL,G,0,0,0
SMALL439,EWALL,G,5,0,0
SMALL439,EWALL,G,10,0,0
SMALL439,EWALL,G,15,0,0
SMALL439,EWALL,G,20,0,0
SMALL439,EWALL,G,25,0,0
SMALL439,EWALL,G,30,0,0
SMALL439,EWALL,K,0,0,0
SMALL439,EWALL,K,5,0,0
SMALL439,EWALL,K,10,0,0
SMALL439,EWALL,K,15,0,0
SMALL439,EWALL,K,20,0,0
SMALL439,EWALL,K,25,0,0
SMALL439,EWALL,K,30,0,0
SMALL439,EWALL,V,0,0,0
SMALL439,EWALL,V,5,0,0
SMALL439,EWALL,V,10,0,0
SMALL439,EWALL,V,15,0,0
SMALL439,EWALL,V,20,0,0
SMALL439,EWALL,V,25,0,0
SMALL439,EWALL,V,30,0,0
SMALL439,TOPN,G,0,0,0
SMALL439,TOPN,G,5,0,0
SMALL439,TOPN,G,10,0,0
SMALL439,TOPN,G,15,0,0
SMALL439,TOPN,G,20,0,0
SMALL439,TOPN,G,25,5,0
SMALL439,TOPN,G,30,5,0
SMALL439,TOPN,K,0,0,0
SMALL439,TOPN,K,5,0,0
SMALL439,TOPN,K,10,0,0
SMALL439,TOPN,K,15,0,0
SMALL439,TOPN,K,20,1,0
SMALL439,TOPN,K,25,3,0
SMALL439,TOPN,K,30,4,0
SMALL439,TOPN,N,0,0,0
SMALL439,TOPN,N,5,0,0
SMALL439,TOPN,N,10,0,0
SMALL439,TOPN,N,15,0,0
SMALL439,TOPN,N,20,0,0
SMALL439,TOPN,N,25,2,0
SMALL439,TOPN,N,30,4,0
SMALL439,TOPN,V,0,0,0
SMALL439,TOPN,V,5,0,0
SMALL439,TOPN,V,10,0,0
SMALL439,TOPN,V,15,1,0
SMALL439,TOPN,V,20,2,0
SMALL439,TOPN,V,25,4,0
SMALL439,TOPN,V,30,5,0
SMALL439,V1C,G,0,0,0
SMALL439,V1C,G,5,0,0
SMALL439,V1C,G,10,0,0
SMALL439,V1C,G,15,0,0
SMALL439,V1C,G,20,0,0
SMALL439,V1C,G,25,0,0
SMALL439,V1C,G,30,0,0
SMALL439,V1C,K,0,0,0
SMALL439,V1C,K,5,0,0
SMALL439,V1C,K,10,0,0
SMALL439,V1C,K,15,0,0
SMALL439,V1C,K,20,1,0
SMALL439,V1C,K,25,1,0
SMALL439,V1C,K,30,2,0
SMALL439,V1C,N,0,0,0
SMALL439,V1C,N,5,0,0
SMALL439,V1C,N,10,0,0
SMALL439,V1C,N,15,1,0
SMALL439,V1C,N,20,1,0
SMALL439,V1C,N,25,2,0
SMALL439,V1C,N,30,4,0
SMALL439,V1C,V,0,0,0
SMALL439,V1C,V,5,0,0
SMALL439,V1C,V,10,0,0
SMALL439,V1C,V,15,0,0
SMALL439,V1C,V,20,0,0
SMALL439,V1C,V,25,0,0
SMALL439,V1C,V,30,0,0
U56,EWALL,G,0,0,3
U56,EWALL,G,5,0,3
U56,EWALL,G,10,0,3
U56,EWALL,G,15,0,3
U56,EWALL,G,20,0,1
U56,EWALL,G,25,0,1
U56,EWALL,G,30,0,1
U56,EWALL,K,0,0,1
U56,EWALL,K,5,0,1
U56,EWALL,K,10,0,1
U56,EWALL,K,15,0,1
U56,EWALL,K,20,0,1
U56,EWALL,K,25,0,0
U56,EWALL,K,30,0,0
U56,EWALL,V,0,0,1
U56,EWALL,V,5,0,1
U56,EWALL,V,10,0,1
U56,EWALL,V,15,0,1
U56,EWALL,V,20,0,0
U56,EWALL,V,25,0,0
U56,EWALL,V,30,0,0
U56,TOPN,G,0,0,0
U56,TOPN,G,5,0,0
U56,TOPN,G,10,0,0
U56,TOPN,G,15,0,0
U56,TOPN,G,20,0,0
U56,TOPN,G,25,0,0
U56,TOPN,G,30,0,0
U56,TOPN,K,0,0,0
U56,TOPN,K,5,0,0
U56,TOPN,K,10,0,0
U56,TOPN,K,15,0,0
U56,TOPN,K,20,0,0
U56,TOPN,K,25,0,0
U56,TOPN,K,30,0,0
U56,TOPN,N,0,0,1
U56,TOPN,N,5,0,1
U56,TOPN,N,10,0,1
U56,TOPN,N,15,0,1
U56,TOPN,N,20,0,1
U56,TOPN,N,25,0,1
U56,TOPN,N,30,0,1
U56,TOPN,V,0,0,1
U56,TOPN,V,5,0,1
U56,TOPN,V,10,0,1
U56,TOPN,V,15,0,1
U56,TOPN,V,20,0,1
U56,TOPN,V,25,0,0
U56,TOPN,V,30,0,0
U56,V1C,G,0,0,0
U56,V1C,G,5,0,0
U56,V1C,G,10,0,0
U56,V1C,G,15,0,0
U56,V1C,G,20,0,0
U56,V1C,G,25,0,0
U56,V1C,G,30,0,0
U56,V1C,K,0,0,0
U56,V1C,K,5,0,0
U56,V1C,K,10,0,0
U56,V1C,K,15,0,0
U56,V1C,K,20,0,0
U56,V1C,K,25,0,0
U56,V1C,K,30,0,0
U56,V1C,N,0,0,3
U56,V1C,N,5,0,2
U56,V1C,N,10,0,1
U56,V1C,N,15,0,1
U56,V1C,N,20,0,1
U56,V1C,N,25,0,1
U56,V1C,N,30,0,1
U56,V1C,V,0,0,1
U56,V1C,V,5,0,1
U56,V1C,V,10,0,0
U56,V1C,V,15,0,0
U56,V1C,V,20,0,0
U56,V1C,V,25,0,0
U56,V1C,V,30,0,0
