panel,rung,seed,cost,Sharpe,CAGR,MaxDD,OOS,H1,H2,turn,gross,fail4b
U56,0.5x,678,10.0,1.0412105507537208,0.09875452114109518,-0.14062479455989374,1.0791172146252612,1.1377099880954973,0.9549795740192367,4.576114961232497,0.7195032573289902,CAGR
U56,0.5x,679,10.0,1.0804499131253535,0.10329916173208309,-0.15889652090907813,1.1137402679786816,1.1586129898512174,1.0132493008648944,4.885974351556521,0.7195032573289902,CAGR
U56,0.5x,680,10.0,1.1162169687129968,0.1075032777339493,-0.15956886417294613,1.221933688958952,1.1137716758278937,1.1219222777446356,4.769044982669258,0.7195032573289902,-
U56,0.5x,681,10.0,1.1701776560115404,0.11207399803959484,-0.14968374687513952,1.208327561510954,1.2336792039405216,1.1159305571007907,4.923154062609337,0.7195032573289902,-
U56,0.5x,682,10.0,0.9884216839798812,0.09233298846680671,-0.14028095567393561,1.0833420378683953,1.0199442302651138,0.9634961805004839,4.913752848019507,0.7195032573289902,CAGR
U56,0.5x,683,10.0,1.1836851874647332,0.1114499889214502,-0.1468960064502398,1.2542735565312266,1.1964104089177043,1.1735644989151095,4.729930644725303,0.7195032573289902,-
U56,0.5x,684,10.0,1.0125463261988281,0.09578269674464024,-0.15680855520424952,1.0822814862805619,1.0338911908099757,0.996213278827561,4.970765847420902,0.7195032573289902,CAGR
U56,0.5x,685,10.0,1.0804270260160271,0.1023421476251336,-0.1366097521511037,1.170909160729881,1.1026713786649078,1.0635619178494133,4.827860353197807,0.7195032573289902,CAGR
U56,0.5x,686,10.0,1.1514222184924099,0.1096319989319634,-0.15033579556529242,1.2820123236414678,1.1130173362617157,1.1892461276781245,4.871254156388525,0.7195032573289902,-
U56,0.5x,687,10.0,1.0791904054123975,0.1025084737503894,-0.1433713994995639,1.1604520448324072,1.1328803615620193,1.0347660623797112,4.9431250661237565,0.7195032573289902,CAGR
U56,0.5x,688,10.0,1.1297374642044504,0.10603246094208618,-0.13821301286252063,1.1233203657392916,1.2253082024864892,1.0485671870433841,4.69226518424817,0.7195032573289902,-
U56,0.5x,689,10.0,1.0477308816661486,0.0998609064118785,-0.14772656731962197,1.1376103049573312,1.0672009081090283,1.033168706013534,4.673904832094726,0.7195032573289902,CAGR
U56,0.5x,690,10.0,1.0484836332946725,0.0977500083060745,-0.1408985472428308,1.1017307676342507,1.0986526315520486,1.0063855479333315,4.911445298469456,0.7195032573289902,CAGR
U56,0.5x,691,10.0,1.1132391590214983,0.1062707001001173,-0.14144385110261015,1.175647820350498,1.137365364296492,1.0953423190466034,4.790265578901368,0.7195032573289902,-
U56,0.5x,692,10.0,1.116877866718387,0.10487545536130405,-0.1611954801405957,1.2254620471017994,1.0937534549149106,1.1431603353702078,4.719219907871519,0.7195032573289902,CAGR
U56,0.5x,693,10.0,1.07086416494473,0.10252235104456675,-0.143546456437868,1.193320297812478,1.066405704460033,1.0777234662447392,4.8900618690220385,0.7195032573289902,CAGR
U56,0.5x,694,10.0,1.0394363383060794,0.0970970599167873,-0.15398297526007965,1.1026439616454113,1.076962523909005,1.0094798956511557,4.806448071636407,0.7195032573289902,CAGR
U56,0.5x,695,10.0,1.0019443420518568,0.09514411776446874,-0.1462664634524513,0.9988535331599675,1.1250641786143252,0.8970068366738503,4.886354227197771,0.7195032573289902,CAGR
U56,0.5x,696,10.0,1.1105164078994632,0.1054806763165621,-0.15009520880525185,1.1846695319201177,1.1381145397986518,1.08747874389265,4.741327768610978,0.7195032573289902,CAGR
U56,0.5x,697,10.0,1.150470019172327,0.11066597014492352,-0.16078168867069786,1.2463561526453448,1.141545391063456,1.1626951745810503,4.897314384140476,0.7195032573289902,-
U56,0.5x,698,10.0,1.0954247127670271,0.10340295823438383,-0.14050672844160994,1.1195496601390469,1.1829594738967746,1.0183751600209479,5.013176093600329,0.7195032573289902,CAGR
U56,0.5x,699,10.0,1.102316969673997,0.1057287690543467,-0.13906551240353537,1.2225137879837282,1.0985991633475527,1.1084125824023152,4.940304396759812,0.7195032573289902,CAGR
U56,0.5x,700,10.0,1.129341028361591,0.10679989524987654,-0.15356717846971668,1.254788385912166,1.0990245484878516,1.1589366578121352,4.826881369068846,0.7195032573289902,-
U56,0.5x,701,10.0,1.1201538237624347,0.10756934736483359,-0.14541668009032938,1.254790472553484,1.0648780372339655,1.172642616027814,4.869050457184492,0.7195032573289902,-
U56,0.5x,702,10.0,1.0783330793509829,0.10050260236463293,-0.1370064146284995,1.153723416043562,1.1335847386095061,1.0310163907276786,4.679703024758531,0.7195032573289902,CAGR
U56,0.5x,703,10.0,1.1474086816089824,0.10971210404597898,-0.15530019515113758,1.21775998744429,1.1666937593381643,1.1332483201908867,4.806667435764186,0.7195032573289902,-
U56,0.5x,704,10.0,1.0775539699963887,0.10082914311460134,-0.14568011237737988,1.1489259587083647,1.1040634736736217,1.0575417129453644,4.795650112946636,0.7195032573289902,CAGR
U56,0.5x,705,10.0,0.9821197399481477,0.0909375293141863,-0.15199731969925878,0.990562215135547,1.098231726091128,0.8781518543984976,4.794965360569481,0.7195032573289902,CAGR
U56,0.5x,706,10.0,1.1408036941423032,0.11073994622595329,-0.16447655815028306,1.2475069933267673,1.1368465785947803,1.1477824781070458,4.8098754876846295,0.7195032573289902,-
U56,0.5x,707,10.0,1.067803672088775,0.09915750304679727,-0.13978749782417677,1.1513706003460438,1.07484834927939,1.063419334682282,4.905312609571639,0.7195032573289902,CAGR
U56,0.5x,708,10.0,1.0777038882281638,0.10178650644082632,-0.155085977106457,1.1022915363383854,1.1478304759019815,1.021442565971236,4.761612528466207,0.7195032573289902,CAGR
U56,0.5x,709,10.0,1.0238442733386461,0.09703692929640928,-0.1340375110641262,1.1345220248940755,1.051606733811879,1.000080311665607,4.79925510904852,0.7195032573289902,CAGR
U56,0.5x,710,10.0,1.0354507863458666,0.0975859986893417,-0.1401255640590261,1.0843947577714235,1.100167864838041,0.9805237382757336,4.908905740232945,0.7195032573289902,CAGR
U56,0.5x,711,10.0,1.0695407861084252,0.1012905920776841,-0.14050071367569528,1.0929207103042955,1.1326025301560312,1.0148152485924316,4.926981078549547,0.7195032573289902,CAGR
U56,0.5x,712,10.0,1.1159707722465813,0.10704130866715733,-0.14387099377995638,1.1538879937672764,1.1981368111097506,1.0404940172065422,4.685759777859818,0.7195032573289902,-
U56,0.5x,713,10.0,1.0893743991035907,0.10317590997302695,-0.16277291994450382,1.0623664593735815,1.2303131359197657,0.968760338128366,4.712394206532708,0.7195032573289902,CAGR
U56,0.5x,714,10.0,1.1623672458938652,0.1106152548028918,-0.1508783472437245,1.2230676725184346,1.207665204189559,1.1256586029689337,4.757933065644342,0.7195032573289902,-
U56,0.5x,715,10.0,1.0331841683964316,0.09769876666855337,-0.15375170804092275,1.1210820397742138,1.0393750785349452,1.0318120054305497,4.688577463979637,0.7195032573289902,CAGR
U56,0.5x,716,10.0,1.096328507018597,0.1043335962726204,-0.14588943208064353,1.2243337959730936,1.0812664809635437,1.1119613919028235,4.928347257104695,0.7195032573289902,CAGR
U56,0.5x,717,10.0,1.13171918545756,0.1083408486456987,-0.14466622465220114,1.1360001659520298,1.240435733533962,1.0348500596950796,4.853746978064111,0.7195032573289902,-
U56,0.5x,718,10.0,1.1369869010698865,0.10894015419422387,-0.14582439646488066,1.2402276657530307,1.1427067664664776,1.1332799849278459,4.755130847092834,0.7195032573289902,-
U56,0.5x,719,10.0,1.1301179257653349,0.10739335177705156,-0.13676519658222608,1.1690246335830003,1.2362712869858576,1.0447378172257236,4.875360485544195,0.7195032573289902,-
U56,0.5x,720,10.0,1.103298523474093,0.10507429284981828,-0.14772930881371493,1.1952620038218924,1.0984494729752274,1.1096710465452695,4.897409785030921,0.7195032573289902,CAGR
U56,0.5x,721,10.0,1.1241327615328536,0.10487333577801938,-0.1556603519710883,1.2721415778437757,1.0604965226358039,1.1841959390795995,4.862586931981538,0.7195032573289902,CAGR
U56,0.5x,722,10.0,1.0867478105491117,0.10282594479409424,-0.14335155454080595,1.1856065965614986,1.1214607908696126,1.060284155004629,4.85180232100424,0.7195032573289902,CAGR
U56,0.5x,723,10.0,1.090144885429619,0.1040902897351208,-0.13736966257343164,1.1206327365478073,1.1576139613322383,1.032207818087243,4.693488745216314,0.7195032573289902,CAGR
U56,0.5x,724,10.0,1.0782750477266325,0.10378687352854832,-0.14715887761236834,1.1863872693359212,1.113331530364249,1.0496950365078155,4.856914591658842,0.7195032573289902,CAGR
U56,0.5x,725,10.0,1.1371689185036409,0.10745085424962375,-0.149324639907515,1.2301256615545828,1.15783015913407,1.123975975404668,4.904695431966392,0.7195032573289902,-
U56,0.5x,726,10.0,1.07475849105697,0.10191752046769653,-0.1649035340916224,1.0818912592674235,1.17440022736963,0.9854797059596903,4.92930455552298,0.7195032573289902,CAGR
U56,0.5x,727,10.0,1.1236449328176896,0.10817654267472365,-0.14525390065314303,1.2233431620744677,1.1151986206964035,1.1358215069520332,4.817836822731212,0.7195032573289902,-
U56,0.5x,728,10.0,1.1427786184854847,0.10980970136696944,-0.14734609238198848,1.2372601365218638,1.1538575549412515,1.135429311863332,4.7832192755544805,0.7195032573289902,-
U56,0.5x,729,10.0,1.0906054132773284,0.10326875925048062,-0.14676488414212374,1.224932745428608,1.0848383633385212,1.1002363430206545,5.010096677842445,0.7195032573289902,CAGR
U56,0.5x,730,10.0,1.09804282408274,0.10443278913458731,-0.13689995417143397,1.182740928037135,1.095078258005466,1.1051650442943572,4.809963138643869,0.7195032573289902,CAGR
U56,0.5x,731,10.0,1.0912725398578165,0.10409716992293028,-0.15641936024434833,1.1605311724884788,1.1427152120181003,1.0476750408135258,5.071275084769544,0.7195032573289902,CAGR
U56,0.5x,732,10.0,1.1141330645681495,0.10453866511099386,-0.14690817696720349,1.1371031168167558,1.1950080762386992,1.0432500578647734,4.686679502261822,0.7195032573289902,CAGR
U56,0.5x,733,10.0,1.125361359652097,0.10715684904926737,-0.1389209478958,1.1611374519678557,1.1960059665721539,1.0620926258206678,4.912463614148187,0.7195032573289902,-
U56,0.5x,734,10.0,1.1603066884445732,0.11050758957795259,-0.14532055668154942,1.1817846287982223,1.260570462909304,1.0757652242740985,4.831754394114513,0.7195032573289902,-
U56,0.5x,735,10.0,1.1097349059704107,0.10422855876243164,-0.14376672822372094,1.179093474838218,1.1564581540162477,1.0759508198396148,4.8491164624368865,0.7195032573289902,CAGR
U56,0.5x,736,10.0,1.131471580892684,0.1095923755157504,-0.14352947603347377,1.2020168302172343,1.1494975063461537,1.1161586479694399,4.81725590618376,0.7195032573289902,-
U56,0.5x,737,10.0,0.9654322299935736,0.0904128012616634,-0.14089609771911482,0.975181249888622,1.0517136019231303,0.8912543384626566,4.94422050334576,0.7195032573289902,CAGR
U56,0.5x,738,10.0,1.0960428058904166,0.10300276181433388,-0.13575943334302742,1.1697611675582071,1.153157801171594,1.047084061783175,4.837054836340809,0.7195032573289902,CAGR
U56,0.5x,739,10.0,1.163858468998003,0.11057374623994831,-0.15665297037368076,1.2947800808202043,1.1242885583247186,1.203677572367411,4.86009522579273,0.7195032573289902,-
U56,0.5x,740,10.0,1.0713888916825363,0.10152881166406535,-0.15272794826176128,1.0957075027811825,1.1385561175896184,1.0134431798962213,4.930805562959294,0.7195032573289902,CAGR
U56,0.5x,741,10.0,1.0686026730908165,0.0996781969497138,-0.14345657450829075,1.146985963344055,1.1007359330144046,1.041060486859512,4.803605138662214,0.7195032573289902,CAGR
U56,0.5x,742,10.0,1.1083360483009304,0.10686506947241492,-0.1479407553442441,1.180584573998272,1.116669515967037,1.104116477448232,4.8458738870298514,0.7195032573289902,-
U56,0.5x,743,10.0,1.0931697236642366,0.10249871341127204,-0.1391776330477753,1.158569594425467,1.142978444414714,1.0485664527836134,4.835830298054694,0.7195032573289902,CAGR
U56,0.5x,744,10.0,1.0555253987887283,0.09762150970526973,-0.13899145632877963,1.1455680907698047,1.0524578573646084,1.0600478531849724,4.874815498769605,0.7195032573289902,CAGR
