cash,IS_pick_gross,IS_margin_pp,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,oosH1,oosH2,OOS_4b,OOS_4a
ZERO,0.65,0.1868237018364985,0.14382792335158667,1.2813683869489885,-0.17109752914414578,1.4469187935294427,1.103916671921433,True,False
FLAT150,0.6,0.05123798277307384,0.1396030007235225,1.3432895683495816,-0.1584865603161747,1.5048571559828163,1.1702532406076243,True,False
FLAT300,0.55,0.05702368701082233,0.13682981644464953,1.4309145288130483,-0.14562561125313256,1.58753988362825,1.2633681012676696,True,False
SHY,0.6,-0.26639802072824653,0.14021824167556773,1.3479075742522748,-0.15240118677949166,1.5233683661129098,1.1623229326187159,True,False
