bar,claim_set,n,n_fire,mean_d_fire,mean_d_nofire,t_d_fire,diff_fire_minus_nofire,mean_d_all,rank_corr_score_vs_d
B_RESOLVED,CS_ALL,72,16,-0.006134249416390767,0.013261598420407753,-1.2840568914864627,-0.01939584783679852,0.008951410012230303,-0.14232771355729834
B_RESOLVED,CS_SHARPE,24,3,0.004028706933502805,0.014891827436919676,1.5769465644958385,-0.010863120503416871,0.013533937373992567,0.1470501781152952
B_RESOLVED,CS_LARGE,48,13,-0.0076498054121982425,0.0049138098919999495,-1.315617447806876,-0.012563615304198191,0.0015111640804462724,-0.18124474015949604
B_RESOLVED,CS_NODEG,54,2,-0.05083981731180243,0.014342523564940353,-3.137786284506197,-0.06518234087674278,0.011928362791727662,-0.1284589917542292
GAPEX_50,CS_ALL,72,18,0.0111284026769753,0.00822574579064864,0.32862947772471274,0.0029026568863266596,0.008951410012230303,-0.12006187470578684
GAPEX_50,CS_SHARPE,24,5,0.049753673726583694,0.004002427807521218,0.6334294158752826,0.045751245919062475,0.013533937373992567,0.23994714692465832
GAPEX_50,CS_LARGE,48,8,-0.040697361398496806,0.009952869176234887,-1.1875046186713116,-0.0506502305747317,0.0015111640804462724,-0.2710221332425005
GAPEX_50,CS_NODEG,54,12,0.016571006460859915,0.010601893171975588,0.32192157188089676,0.005969113288884328,0.011928362791727662,-0.10703732676978397
GAPEX_75,CS_ALL,72,1,0.06238481189314671,0.008198826887146977,,0.054185985005999734,0.008951410012230303,-0.12006187470578684
GAPEX_75,CS_SHARPE,24,0,,0.013533937373992567,,,0.013533937373992567,0.23994714692465832
GAPEX_75,CS_LARGE,48,1,0.06238481189314671,0.00021598008443136948,,0.06216883180871534,0.0015111640804462724,-0.2710221332425005
GAPEX_75,CS_NODEG,54,1,0.06238481189314671,0.010976354318115982,,0.05140845757503072,0.011928362791727662,-0.10703732676978397
GAPEX_90,CS_ALL,72,0,,0.008951410012230303,,,0.008951410012230303,-0.12006187470578684
GAPEX_90,CS_SHARPE,24,0,,0.013533937373992567,,,0.013533937373992567,0.23994714692465832
GAPEX_90,CS_LARGE,48,0,,0.0015111640804462724,,,0.0015111640804462724,-0.2710221332425005
GAPEX_90,CS_NODEG,54,0,,0.011928362791727662,,,0.011928362791727662,-0.10703732676978397
GAPEX_95,CS_ALL,72,0,,0.008951410012230303,,,0.008951410012230303,-0.12006187470578684
GAPEX_95,CS_SHARPE,24,0,,0.013533937373992567,,,0.013533937373992567,0.23994714692465832
GAPEX_95,CS_LARGE,48,0,,0.0015111640804462724,,,0.0015111640804462724,-0.2710221332425005
GAPEX_95,CS_NODEG,54,0,,0.011928362791727662,,,0.011928362791727662,-0.10703732676978397
GAPEX_97.5,CS_ALL,72,0,,0.008951410012230303,,,0.008951410012230303,-0.12006187470578684
GAPEX_97.5,CS_SHARPE,24,0,,0.013533937373992567,,,0.013533937373992567,0.23994714692465832
GAPEX_97.5,CS_LARGE,48,0,,0.0015111640804462724,,,0.0015111640804462724,-0.2710221332425005
GAPEX_97.5,CS_NODEG,54,0,,0.011928362791727662,,,0.011928362791727662,-0.10703732676978397
GAPEX_99,CS_ALL,72,0,,0.008951410012230303,,,0.008951410012230303,-0.12006187470578684
GAPEX_99,CS_SHARPE,24,0,,0.013533937373992567,,,0.013533937373992567,0.23994714692465832
GAPEX_99,CS_LARGE,48,0,,0.0015111640804462724,,,0.0015111640804462724,-0.2710221332425005
GAPEX_99,CS_NODEG,54,0,,0.011928362791727662,,,0.011928362791727662,-0.10703732676978397
GAPEX_50,CS_ALL,72,18,0.0111284026769753,0.00822574579064864,0.32862947772471274,0.0029026568863266596,0.008951410012230303,-0.12006187470578684
GAPEX_50,CS_SHARPE,24,5,0.049753673726583694,0.004002427807521218,0.6334294158752826,0.045751245919062475,0.013533937373992567,0.23994714692465832
GAPEX_50,CS_LARGE,48,8,-0.040697361398496806,0.009952869176234887,-1.1875046186713116,-0.0506502305747317,0.0015111640804462724,-0.2710221332425005
GAPEX_50,CS_NODEG,54,12,0.016571006460859915,0.010601893171975588,0.32192157188089676,0.005969113288884328,0.011928362791727662,-0.10703732676978397
