panel,arm,dCAGR0,dSharpe0
U56,MA-RS,-0.009597897346282913,0.032506815485062956
U56,MA-DG,-0.04821227356349822,0.08521320515265307
U56,MAVOL-RS,-0.02048549301432634,0.0009937739176573146
U56,MAVOL-DG,-0.056813882066567345,0.03249632150435677
B136,MA-RS,-0.017396744621167137,-0.0006142955294543562
B136,MA-DG,-0.06118095391928291,0.011702670681791316
B136,MAVOL-RS,-0.02621100593251846,-0.023487197819548777
B136,MAVOL-DG,-0.06675337154990513,-0.023486173962520285
SMALL439,MA-RS,-0.02788139382128363,-0.11450843312253067
SMALL439,MA-DG,-0.06430231576635048,-0.09570109490190992
SMALL439,MAVOL-RS,-0.05312069168680744,-0.2527166066395651
SMALL439,MAVOL-DG,-0.08305608454574576,-0.2784434710409755
