corpus,panel,cost,arm,conv_used,pick,share,n,g,screen_elig,n_books,reachable_OOS4b,changed,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS4b_fail_PUB,OOS4b_fail_AS165,OOS4b_fail_PUB5,clears_PUB,clears_AS165,v1_OOS_Sharpe,v1_OOS_CAGR,v1_OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD
C159,small,10.0,W_STATIC,STATIC,INV,0.15,21,0.75,0,98,0,False,0.03680299776981677,0.33371363470480786,-0.34467841753871997,H1|H2|DD|CAGR,H1|H2|DD|CAGR,H1|H2|OOS|DD|CAGR,False,False,0.5806618551671671,0.07921670849894169,-0.3283573771619781,0.8820107671822842,0.15450717694493266,-0.33717235283398284
C159,small,10.0,W_4bIS[STATIC][AS165],STATIC,INV,0.15,21,0.75,0,98,0,False,0.03680299776981677,0.33371363470480786,-0.34467841753871997,H1|H2|DD|CAGR,H1|H2|DD|CAGR,H1|H2|OOS|DD|CAGR,False,False,0.5806618551671671,0.07921670849894169,-0.3283573771619781,0.8820107671822842,0.15450717694493266,-0.33717235283398284
C159,small,10.0,W_4bIS[STATIC][PUB],STATIC,INV,0.15,21,0.75,0,98,0,False,0.03680299776981677,0.33371363470480786,-0.34467841753871997,H1|H2|DD|CAGR,H1|H2|DD|CAGR,H1|H2|OOS|DD|CAGR,False,False,0.5806618551671671,0.07921670849894169,-0.3283573771619781,0.8820107671822842,0.15450717694493266,-0.33717235283398284
C159,small,10.0,W_4bIS[CFIS][AS165],STATIC,INV,0.15,21,0.75,0,98,0,False,0.03680299776981677,0.33371363470480786,-0.34467841753871997,H1|H2|DD|CAGR,H1|H2|DD|CAGR,H1|H2|OOS|DD|CAGR,False,False,0.5806618551671671,0.07921670849894169,-0.3283573771619781,0.8820107671822842,0.15450717694493266,-0.33717235283398284
C159,small,10.0,W_4bIS[CFIS][PUB],STATIC,INV,0.15,21,0.75,0,98,0,False,0.03680299776981677,0.33371363470480786,-0.34467841753871997,H1|H2|DD|CAGR,H1|H2|DD|CAGR,H1|H2|OOS|DD|CAGR,False,False,0.5806618551671671,0.07921670849894169,-0.3283573771619781,0.8820107671822842,0.15450717694493266,-0.33717235283398284
C159,small,10.0,ORACLE_OOS,STATIC,R6,0.075,11,0.75,0,98,0,True,0.1382319515703181,0.7391887076355361,-0.3154565648527933,H2|DD,H2|DD,H2|OOS|DD,False,False,0.5806618551671671,0.07921670849894169,-0.3283573771619781,0.8820107671822842,0.15450717694493266,-0.33717235283398284
C159,small,25.0,W_STATIC,STATIC,RND,0.05,7,0.75,0,98,0,False,0.019430980852180868,0.196542402562728,-0.42884591383649284,H1|H2|DD|CAGR,H1|H2|DD|CAGR,H1|H2|OOS|DD|CAGR,False,False,0.250067051410945,0.026724735037732872,-0.43035606447187935,0.8820107671822842,0.15450717694493266,-0.33717235283398284
C159,small,25.0,W_4bIS[STATIC][AS165],STATIC,RND,0.05,7,0.75,0,98,0,False,0.019430980852180868,0.196542402562728,-0.42884591383649284,H1|H2|DD|CAGR,H1|H2|DD|CAGR,H1|H2|OOS|DD|CAGR,False,False,0.250067051410945,0.026724735037732872,-0.43035606447187935,0.8820107671822842,0.15450717694493266,-0.33717235283398284
C159,small,25.0,W_4bIS[STATIC][PUB],STATIC,RND,0.05,7,0.75,0,98,0,False,0.019430980852180868,0.196542402562728,-0.42884591383649284,H1|H2|DD|CAGR,H1|H2|DD|CAGR,H1|H2|OOS|DD|CAGR,False,False,0.250067051410945,0.026724735037732872,-0.43035606447187935,0.8820107671822842,0.15450717694493266,-0.33717235283398284
C159,small,25.0,W_4bIS[CFIS][AS165],STATIC,RND,0.05,7,0.75,0,98,0,False,0.019430980852180868,0.196542402562728,-0.42884591383649284,H1|H2|DD|CAGR,H1|H2|DD|CAGR,H1|H2|OOS|DD|CAGR,False,False,0.250067051410945,0.026724735037732872,-0.43035606447187935,0.8820107671822842,0.15450717694493266,-0.33717235283398284
