panel,cadence,band,reading,be_Sharpe,be_CAGR,be_OOS
U56,W,0.0,RAW,0.0,1425.0,0.0
U56,W,0.0,EXCESS,0.0,1425.0,0.0
U56,W,0.02,RAW,0.0,1500.0,0.0
U56,W,0.02,EXCESS,0.0,1500.0,0.0
U56,W,0.03,RAW,0.0,1500.0,0.0
U56,W,0.03,EXCESS,0.0,1500.0,0.0
U56,W,0.05,RAW,0.0,1500.0,0.0
U56,W,0.05,EXCESS,0.0,1500.0,0.0
U56,W,0.08,RAW,0.0,1550.0,0.0
U56,W,0.08,EXCESS,0.0,1550.0,0.0
U56,W,0.12,RAW,0.0,1575.0,0.0
U56,W,0.12,EXCESS,0.0,1575.0,0.0
U56,W,0.2,RAW,25.0,1750.0,25.0
U56,W,0.2,EXCESS,,1750.0,
U56,M,0.0,RAW,25.0,1575.0,25.0
U56,M,0.0,EXCESS,,1575.0,
U56,M,0.02,RAW,25.0,1600.0,25.0
U56,M,0.02,EXCESS,,1600.0,
U56,M,0.03,RAW,25.0,1575.0,25.0
U56,M,0.03,EXCESS,,1575.0,
U56,M,0.05,RAW,25.0,1625.0,25.0
U56,M,0.05,EXCESS,,1625.0,
U56,M,0.08,RAW,0.0,1625.0,0.0
U56,M,0.08,EXCESS,0.0,1625.0,0.0
U56,M,0.12,RAW,25.0,1675.0,0.0
U56,M,0.12,EXCESS,,1675.0,0.0
U56,M,0.2,RAW,25.0,1800.0,25.0
U56,M,0.2,EXCESS,,1800.0,
B136,W,0.0,RAW,0.0,1350.0,0.0
B136,W,0.0,EXCESS,0.0,1350.0,0.0
B136,W,0.02,RAW,0.0,1400.0,0.0
B136,W,0.02,EXCESS,0.0,1400.0,0.0
B136,W,0.03,RAW,0.0,1400.0,0.0
B136,W,0.03,EXCESS,0.0,1400.0,0.0
B136,W,0.05,RAW,0.0,1425.0,0.0
B136,W,0.05,EXCESS,0.0,1425.0,0.0
B136,W,0.08,RAW,0.0,1500.0,0.0
B136,W,0.08,EXCESS,0.0,1500.0,0.0
B136,W,0.12,RAW,0.0,1525.0,0.0
B136,W,0.12,EXCESS,0.0,1525.0,0.0
B136,W,0.2,RAW,0.0,1550.0,0.0
B136,W,0.2,EXCESS,0.0,1550.0,0.0
B136,M,0.0,RAW,25.0,1500.0,25.0
B136,M,0.0,EXCESS,,1500.0,
B136,M,0.02,RAW,25.0,1500.0,25.0
B136,M,0.02,EXCESS,,1500.0,
B136,M,0.03,RAW,25.0,1475.0,25.0
B136,M,0.03,EXCESS,,1475.0,
B136,M,0.05,RAW,25.0,1525.0,0.0
B136,M,0.05,EXCESS,,1525.0,0.0
B136,M,0.08,RAW,0.0,1550.0,0.0
B136,M,0.08,EXCESS,0.0,1550.0,0.0
B136,M,0.12,RAW,0.0,1575.0,0.0
B136,M,0.12,EXCESS,0.0,1575.0,0.0
B136,M,0.2,RAW,0.0,1625.0,0.0
B136,M,0.2,EXCESS,0.0,1625.0,0.0
SMALL439,W,0.0,RAW,0.0,925.0,0.0
SMALL439,W,0.0,EXCESS,0.0,925.0,0.0
SMALL439,W,0.02,RAW,0.0,975.0,0.0
SMALL439,W,0.02,EXCESS,0.0,975.0,0.0
SMALL439,W,0.03,RAW,0.0,1000.0,0.0
SMALL439,W,0.03,EXCESS,0.0,1000.0,0.0
SMALL439,W,0.05,RAW,0.0,1075.0,0.0
SMALL439,W,0.05,EXCESS,0.0,1075.0,0.0
SMALL439,W,0.08,RAW,0.0,1075.0,0.0
SMALL439,W,0.08,EXCESS,0.0,1075.0,0.0
SMALL439,W,0.12,RAW,0.0,1100.0,0.0
SMALL439,W,0.12,EXCESS,0.0,1100.0,0.0
SMALL439,W,0.2,RAW,0.0,1100.0,0.0
SMALL439,W,0.2,EXCESS,0.0,1100.0,0.0
SMALL439,M,0.0,RAW,25.0,1125.0,25.0
SMALL439,M,0.0,EXCESS,,1125.0,
SMALL439,M,0.02,RAW,25.0,1175.0,25.0
SMALL439,M,0.02,EXCESS,,1175.0,
SMALL439,M,0.03,RAW,25.0,1200.0,25.0
SMALL439,M,0.03,EXCESS,,1200.0,
SMALL439,M,0.05,RAW,25.0,1250.0,25.0
SMALL439,M,0.05,EXCESS,,1250.0,
SMALL439,M,0.08,RAW,25.0,1225.0,25.0
SMALL439,M,0.08,EXCESS,,1225.0,
SMALL439,M,0.12,RAW,25.0,1225.0,25.0
SMALL439,M,0.12,EXCESS,,1225.0,
SMALL439,M,0.2,RAW,25.0,1175.0,25.0
SMALL439,M,0.2,EXCESS,,1175.0,
