panel,dial,points,n_4a,n_4b,best_m_min,bind_at_best,best_Sharpe
B136,band,87,1,0,-0.018952696690918633,CAGR,1.1292693569529788
B136,gross,101,0,3,0.0007034801832277032,CAGR,1.1078070907834154
B136,n,66,0,0,-0.1809809314983888,H2,0.9221223504012053
SMALL439,band,87,13,0,-0.22704921290511082,OOS,0.6605040470210314
SMALL439,gross,101,0,0,-0.3212904836367192,H1,0.5710351733258598
SMALL439,n,66,0,0,-0.33143717666802175,H2,0.6027414977219839
U56,band,87,0,0,-0.017062148875794284,CAGR,1.2092272535344055
U56,gross,101,0,13,0.009711585160881095,CAGR,1.20926851139608
U56,n,66,0,0,-0.0273392559944661,DD,1.0993536975375302
