panel,cost,book,n,keep4a,keep4b,both,rate4b
B136,0.0,CAND5,1000,0,47,0,0.047
B136,0.0,CAND20,1000,0,729,0,0.729
B136,0.0,EWall,1000,0,512,0,0.512
B136,0.0,EWmg,1000,0,550,0,0.55
B136,10.0,CAND5,1000,0,10,0,0.01
B136,10.0,CAND20,1000,0,444,0,0.444
B136,10.0,EWall,1000,0,308,0,0.308
B136,10.0,EWmg,1000,0,251,0,0.251
B136,25.0,CAND5,1000,0,0,0,0.0
B136,25.0,CAND20,1000,0,115,0,0.115
B136,25.0,EWall,1000,0,45,0,0.045
B136,25.0,EWmg,1000,0,42,0,0.042
SMALL439,0.0,CAND5,1000,0,0,0,0.0
SMALL439,0.0,CAND20,1000,1,0,0,0.0
SMALL439,0.0,EWall,1000,0,0,0,0.0
SMALL439,0.0,EWmg,1000,1,0,0,0.0
SMALL439,10.0,CAND5,1000,0,0,0,0.0
SMALL439,10.0,CAND20,1000,1,0,0,0.0
SMALL439,10.0,EWall,1000,0,0,0,0.0
SMALL439,10.0,EWmg,1000,1,0,0,0.0
SMALL439,25.0,CAND5,1000,0,0,0,0.0
SMALL439,25.0,CAND20,1000,0,0,0,0.0
SMALL439,25.0,EWall,1000,0,0,0,0.0
SMALL439,25.0,EWmg,1000,1,0,0,0.0
U56,0.0,CAND5,1000,0,373,0,0.373
U56,0.0,CAND20,1000,0,933,0,0.933
U56,0.0,EWall,1000,0,690,0,0.69
U56,0.0,EWmg,1000,0,514,0,0.514
U56,10.0,CAND5,1000,0,118,0,0.118
U56,10.0,CAND20,1000,0,723,0,0.723
U56,10.0,EWall,1000,0,348,0,0.348
U56,10.0,EWmg,1000,0,178,0,0.178
U56,25.0,CAND5,1000,0,1,0,0.001
U56,25.0,CAND20,1000,0,209,0,0.209
U56,25.0,EWall,1000,0,24,0,0.024
U56,25.0,EWmg,1000,0,2,0,0.002
