cad,predictor,n,spread_insens,spread_sens,ratio,t,sign_p,verdict
2W,P1 persist,115,0.07449704252133867,0.08998833675314444,0.8278521996211419,1.104941943037278,0.8956832138895903,weak
2W,P2 eligturn,115,0.060753758985423255,0.10397273052653205,0.584323973004825,3.2013516771236983,0.04794032407166697,HOLDS
6W,P1 persist,115,0.4034886761592307,0.35357264939200067,1.1411761539051875,-2.8018761349458505,0.011928139715763175,FAILS
6W,P2 eligturn,115,0.40090115311003205,0.3562055675824134,1.1254769425165643,-2.4872410975138206,0.14800580076020597,FAILS
8W,P1 persist,115,0.29998963004208046,0.29109701821177875,1.0305486187557997,-0.6039142809115745,0.08694889972991099,FAILS
8W,P2 eligturn,115,0.2867422298971102,0.30457682888560833,0.9414446625708471,1.2185245929226092,1.0,weak
10W,P1 persist,115,0.31365749038907087,0.31982930063069237,0.9807027991824048,0.30964489844193616,0.8956832138895903,weak
10W,P2 eligturn,115,0.2773611913486292,0.3567623768472821,0.7774395770083069,4.28432165981125,0.2370471147627195,HOLDS
2M,P1 persist,115,0.1896307545391472,0.23974754858293976,0.7909601397803038,2.3658653054180356,0.3581433018061379,HOLDS
2M,P2 eligturn,115,0.20160123304320116,0.22756706168407786,0.8858981240574965,1.1996958807611957,0.5118423084381689,weak
