leg,stat_type,FINE2,COARSE2,CORE4,delta_MQ_minus_DW
L1_H1,S_RATE,0.58,0.29285714285714287,0.4364285714285714,-0.2871428571428571
L1_H1,S_ONLY,0.05,0.0,0.025,-0.05
L1_H1,S_MODAL,0.5,0.0,0.25,-0.5
L1_H1,S_DDTEST,0.58,0.29285714285714287,0.4364285714285714,-0.2871428571428571
L2_H2,S_RATE,0.5333333333333333,0.48756613756613754,0.5104497354497354,-0.04576719576719579
L2_H2,S_ONLY,0.0033333333333333335,0.0,0.0016666666666666668,-0.0033333333333333335
L2_H2,S_MODAL,0.0,0.0,0.0,0.0
L2_H2,S_DDTEST,0.5333333333333333,0.48756613756613754,0.5104497354497354,-0.04576719576719579
L3_OOS,S_RATE,0.56,0.4484126984126984,0.5042063492063492,-0.11158730158730168
L3_OOS,S_ONLY,0.0,0.0,0.0,0.0
L3_OOS,S_MODAL,0.0,0.0,0.0,0.0
L3_OOS,S_DDTEST,0.56,0.4484126984126984,0.5042063492063492,-0.11158730158730168
L4_DD,S_RATE,0.6399999999999999,0.8793650793650793,0.7596825396825397,0.23936507936507945
L4_DD,S_ONLY,0.09666666666666668,0.38835978835978835,0.24251322751322751,0.29169312169312167
L4_DD,S_MODAL,0.5,1.0,0.75,0.5
L4_DD,S_DDTEST,0.6399999999999999,0.8793650793650793,0.7596825396825397,0.23936507936507945
L5_CAGR,S_RATE,0.48333333333333334,0.34973544973544973,0.41653439153439153,-0.1335978835978836
L5_CAGR,S_ONLY,0.13,0.04206349206349207,0.08603174603174604,-0.08793650793650794
L5_CAGR,S_MODAL,0.0,0.0,0.0,0.0
L5_CAGR,S_DDTEST,0.48333333333333334,0.34973544973544973,0.41653439153439153,-0.1335978835978836
