panel,book,cost,arm,kind,sharpe_range,sharpe_at_1,cagr_mono,dd_mono,cagr_range,dd_range
u56,V1u,10.0,control,ctl,0.0029667557163768343,0.6628051083845784,True,True,0.07379552929956401,0.1828653743853741
u56,V1u,10.0,g200-dg,gate,0.0031286772801664142,0.6521603817962626,True,True,0.07203520826149612,0.16451058346662573
u56,V1u,10.0,g200-rw,gate,0.0026466799817963516,0.6798954117666615,True,True,0.07783647371910973,0.16386533680585547
u56,V1u,10.0,band3-dg,gate,0.00295782479587936,0.656496494714766,True,True,0.07276810213176965,0.17013120447496055
u56,V1u,10.0,band3-rw,gate,0.0027593708100200898,0.676568440572967,True,True,0.0768529728945595,0.1615145295769871
u56,V1u,10.0,abs12-dg,gate,0.003537700621611295,0.6568909235648656,True,True,0.07207992794930429,0.16151452957698698
u56,V1u,10.0,abs12-rw,gate,0.003908979179829908,0.6610589089882151,True,True,0.07508846809877867,0.17160941808314722
u56,V1u,10.0,vol60-dg,gate,0.0029667557163768343,0.6628051083845784,True,True,0.07379552929956401,0.1828653743853741
u56,V1u,10.0,vol60-rw,gate,0.0029667557163768343,0.6628051083845784,True,True,0.07379552929956401,0.1828653743853741
u56,V1u,10.0,v1gate-dg,gate,0.0031286772801664142,0.6521603817962626,True,True,0.07203520826149612,0.16451058346662573
u56,V1u,10.0,v1gate-rw,gate,0.002708577907213794,0.6641804017269177,True,True,0.07559182211895732,0.16386533680585547
u56,V1u,10.0,stop15,stop,0.003078332935513739,0.6616358516684776,True,True,0.07362761569595944,0.1887493943904015
u56,V1u,10.0,stop25,stop,0.0029667557163768343,0.6628051083845784,True,True,0.07379552929956401,0.1828653743853741
u56,V1u,10.0,ddctl-8/.5/recover,dd,0.22847598646524897,0.5421870666245691,False,False,0.0364010686946874,0.13808815911387984
u56,V1u,10.0,ddctl-8/.5/high,dd,0.27907458610949853,0.516003002750825,False,True,0.0327191831649265,0.13808815911387984
u56,V1u,10.0,ebud-0.10,bud,0.14294542268216692,0.547886254607742,False,False,0.02139570381101441,0.07659216548811609
u56,V1u,10.0,ebud-0.20,bud,0.07711375584351954,0.5890534764965595,True,True,0.045987347891144115,0.14382224428464774
u56,V1u,25.0,control,ctl,0.0015770230231431648,0.3126738813902359,True,True,0.029431230611906445,0.2312138543877882
u56,V1u,25.0,g200-dg,gate,0.001683127968503395,0.30595951515995706,True,True,0.028474164618239817,0.2078929872716705
u56,V1u,25.0,g200-rw,gate,0.0013734587229218276,0.33280815223151716,True,True,0.03255695508957768,0.18358068790852444
u56,V1u,25.0,band3-dg,gate,0.0015679900776014999,0.3120935543557641,True,True,0.029289923343065016,0.20940124784159064
u56,V1u,25.0,band3-rw,gate,0.0014674473238101005,0.3367902483899083,True,True,0.03286776474584285,0.1756608177823762
u56,V1u,25.0,abs12-dg,gate,0.0019679396248878933,0.3162296642306198,True,True,0.02954005194522491,0.19048453447234248
u56,V1u,25.0,abs12-rw,gate,0.0023503660830565543,0.32229712590543447,True,True,0.03109590585079891,0.19872038295467986
u56,V1u,25.0,vol60-dg,gate,0.0015770230231431648,0.3126738813902359,True,True,0.029431230611906445,0.2312138543877882
u56,V1u,25.0,vol60-rw,gate,0.0015770230231431648,0.3126738813902359,True,True,0.029431230611906445,0.2312138543877882
u56,V1u,25.0,v1gate-dg,gate,0.001683127968503395,0.30595951515995706,True,True,0.028474164618239817,0.2078929872716705
u56,V1u,25.0,v1gate-rw,gate,0.0013906579377314654,0.3169259386690001,True,True,0.030486470821650125,0.18358068790852444
u56,V1u,25.0,stop15,stop,0.0016622754030545805,0.31123227296791717,True,True,0.02924298259396929,0.23666559734834303
u56,V1u,25.0,stop25,stop,0.0015770230231431648,0.3126738813902359,True,True,0.029431230611906445,0.2312138543877882
u56,V1u,25.0,ddctl-8/.5/recover,dd,0.2344770807718602,0.18298758323174796,False,True,0.010581953021234103,0.1516852512931195
u56,V1u,25.0,ddctl-8/.5/high,dd,0.126285234689502,0.26770749223929224,False,False,0.013180891771856107,0.1312524905959549
u56,V1u,25.0,ebud-0.10,bud,0.08064799510761197,0.2499594375420068,False,False,0.009392441590896139,0.08973871919343235
u56,V1u,25.0,ebud-0.20,bud,0.056481126700013984,0.2602980043009047,True,True,0.01871420714998906,0.17011862890213714
u56,TOP20,10.0,control,ctl,0.002520623293283064,1.17098731330246,True,True,0.18668687884434143,0.2575102934340958
u56,TOP20,10.0,g200-dg,gate,0.0015947005795688973,1.14495084263885,True,True,0.17009540055281303,0.22864742481720446
u56,TOP20,10.0,g200-rw,gate,0.0015845538211571863,1.1469049061335783,True,True,0.17166952425187554,0.22719677394946503
u56,TOP20,10.0,band3-dg,gate,0.0019414493783218578,1.1569898005898576,True,True,0.17297092685310944,0.23127351003089214
u56,TOP20,10.0,band3-rw,gate,0.0020815785987196023,1.1536055934737843,True,True,0.17364583963149172,0.23196232684577756
u56,TOP20,10.0,abs12-dg,gate,0.0015114475820470208,1.1042042538558954,True,True,0.16331517706972853,0.25718311341696565
u56,TOP20,10.0,abs12-rw,gate,0.0008368836304291083,1.115052345017121,True,True,0.1695362084174581,0.2631285741187087
u56,TOP20,10.0,vol60-dg,gate,0.002203054690357087,1.0910418080336806,True,True,0.1532057217644891,0.1970331308704798
u56,TOP20,10.0,vol60-rw,gate,0.0023284443919031617,1.1218473921282843,True,True,0.16503317190772737,0.21760635340696632
u56,TOP20,10.0,v1gate-dg,gate,0.0019672021345618074,1.0649884566088572,True,True,0.14177988436870792,0.1942459842583072
u56,TOP20,10.0,v1gate-rw,gate,0.001807799764051099,1.092135905431323,True,True,0.15212567257833975,0.21502220867663258
u56,TOP20,10.0,stop15,stop,0.002153161460059394,1.1348416239472066,True,True,0.17358546685657394,0.26706371144508556
u56,TOP20,10.0,stop25,stop,0.0019173777621233068,1.1636287892209218,True,True,0.18382622785095948,0.2751051997111633
u56,TOP20,10.0,ddctl-8/.5/recover,dd,0.25519105496311756,1.0422838505570549,False,False,0.10699265055768525,0.18756148793961092
u56,TOP20,10.0,ddctl-8/.5/high,dd,0.2362045512159886,0.9972235897322764,False,False,0.09821224906723303,0.18756148793961092
u56,TOP20,10.0,ebud-0.10,bud,0.013911825883210938,1.176748969096899,True,True,0.17283678360476462,0.22720117878588275
u56,TOP20,10.0,ebud-0.20,bud,0.0027589958966496297,1.170294277949223,True,True,0.18514412909323408,0.25334876705896525
u56,TOP20,25.0,control,ctl,0.005033081816007812,1.0668696117978038,True,True,0.1671047259281635,0.25892651626318774
u56,TOP20,25.0,g200-dg,gate,0.003934869345305847,1.034744195495856,True,True,0.15097037144755698,0.22954045497719577
u56,TOP20,25.0,g200-rw,gate,0.003932510508369846,1.0349483125006096,True,True,0.1520846258251478,0.228287348113561
u56,TOP20,25.0,band3-dg,gate,0.004357172475772275,1.051521643276684,True,True,0.15453402025253316,0.23235474610782614
u56,TOP20,25.0,band3-rw,gate,0.004465027974620339,1.0494096011915404,True,True,0.1552945132578789,0.23379587286712156
u56,TOP20,25.0,abs12-dg,gate,0.00394666179868286,0.9997951538433534,True,True,0.14528705837833478,0.2586507852146246
u56,TOP20,25.0,abs12-rw,gate,0.0032318205518599985,1.011046964932047,True,True,0.15099681912834417,0.26453660207407803
u56,TOP20,25.0,vol60-dg,gate,0.004713488352883988,0.9701121632501464,True,True,0.13358831253066006,0.1982494096265277
u56,TOP20,25.0,vol60-rw,gate,0.0048390314252995115,1.0037055088406877,True,True,0.1448388930933766,0.2185445774274819
u56,TOP20,25.0,v1gate-dg,gate,0.004288107935874197,0.9396901385277122,True,True,0.12263504935443059,0.19526446089691252
u56,TOP20,25.0,v1gate-rw,gate,0.00415174380326111,0.9668297371038527,True,True,0.13196667097587222,0.216480012411296
u56,TOP20,25.0,stop15,stop,0.004194920529692503,1.0098791068385995,True,True,0.15118638421081143,0.2703286992357954
u56,TOP20,25.0,stop25,stop,0.004268219670004347,1.0557906335008667,True,True,0.16374384617997362,0.27738757062552144
u56,TOP20,25.0,ddctl-8/.5/recover,dd,0.2573805330817407,0.9268953525443763,False,False,0.08730223742820198,0.18886529084609693
u56,TOP20,25.0,ddctl-8/.5/high,dd,0.24623864429449127,0.9285024866822937,False,False,0.08822108572940435,0.14004530071532995
u56,TOP20,25.0,ebud-0.10,bud,0.01817399995299329,1.0785956911137111,True,True,0.1574771604678158,0.2280374764456944
u56,TOP20,25.0,ebud-0.20,bud,0.004022034740287284,1.0660109686941404,True,True,0.16571443327551205,0.25459400499859264
u56,EWall,10.0,control,ctl,0.002888617238680613,1.1240306130524902,True,True,0.1598353861949191,0.2609834208491264
u56,EWall,10.0,g200-dg,gate,0.00027571160939166006,1.1711820871541068,True,True,0.09877557183673447,0.14222630487482368
u56,EWall,10.0,g200-rw,gate,0.0005543107250614021,1.090938120625819,True,True,0.13885449980043152,0.21783299057083205
u56,EWall,10.0,band3-dg,gate,0.00022742336097714144,1.2056219490390438,True,True,0.10438617543378981,0.14290828864038185
u56,EWall,10.0,band3-rw,gate,0.0006885078549716539,1.1609204001925355,True,True,0.14765192353168843,0.20741972506889916
u56,EWall,10.0,abs12-dg,gate,0.000470796298813525,1.0901036422767063,True,True,0.10436932239930208,0.17428943382488993
u56,EWall,10.0,abs12-rw,gate,0.0010783747868980953,1.07063683199559,True,True,0.14198512984600442,0.23185408372973426
u56,EWall,10.0,vol60-dg,gate,0.0015314594741389076,1.1333131514162902,True,True,0.13958202658921315,0.1988384022294225
u56,EWall,10.0,vol60-rw,gate,0.0013852139122907392,1.1253851931444865,True,True,0.1470055641900796,0.2146512408320187
u56,EWall,10.0,v1gate-dg,gate,0.0002813072893508295,1.1133618338459916,True,True,0.08810956626972422,0.12905765835577376
u56,EWall,10.0,v1gate-rw,gate,0.0008461906487859938,1.0490288480160836,True,True,0.12489955504542083,0.18741049497436968
u56,EWall,10.0,stop15,stop,0.0021495831773166163,1.0941026948045258,True,True,0.14610842134754565,0.2615786434133801
u56,EWall,10.0,stop25,stop,0.0018507575574002733,1.1184736857097604,True,True,0.15485379372391384,0.27519079323057183
u56,EWall,10.0,ddctl-8/.5/recover,dd,0.12207194863950288,1.0655461150060863,False,False,0.10829538617350831,0.1749399539545523
u56,EWall,10.0,ddctl-8/.5/high,dd,0.18351366498294341,0.9920301100422273,False,False,0.10566936296002849,0.17493995395455286
u56,EWall,10.0,ebud-0.10,bud,0.002888617238680613,1.1240306130524902,True,True,0.1598353861949191,0.2609834208491264
u56,EWall,10.0,ebud-0.20,bud,0.002888617238680613,1.1240306130524902,True,True,0.1598353861949191,0.2609834208491264
u56,EWall,25.0,control,ctl,0.004941473702649857,1.1133616504048525,True,True,0.15811398189088277,0.26118042921932183
u56,EWall,25.0,g200-dg,gate,0.0016876923568527324,1.1033152355178564,True,True,0.09252820176306287,0.14300434308238874
u56,EWall,25.0,g200-rw,gate,0.004939743397098462,0.9816354478187442,True,True,0.12321850512659616,0.22062142122693318
u56,EWall,25.0,band3-dg,gate,0.0017276708598832347,1.168046810053237,True,True,0.10084097635844014,0.1433347322213374
u56,EWall,25.0,band3-rw,gate,0.004176090111996933,1.098061470048422,True,True,0.13870917376241398,0.20937647581578134
u56,EWall,25.0,abs12-dg,gate,0.0015212693533273036,1.0457035034033249,True,True,0.09968287883218263,0.1748721343981603
u56,EWall,25.0,abs12-rw,gate,0.004468822735905542,0.9978781500985059,True,True,0.13104107658063313,0.23934335132365037
u56,EWall,25.0,vol60-dg,gate,0.003616076841069571,1.1126758464907103,True,True,0.13672437506934454,0.1989798989002296
u56,EWall,25.0,vol60-rw,gate,0.0031184483460482415,1.0991925199341017,True,True,0.1431282259299056,0.21632837000618466
u56,EWall,25.0,v1gate-dg,gate,0.0017174309405265653,1.0378221315184895,True,True,0.08162025529938322,0.1298559585957253
u56,EWall,25.0,v1gate-rw,gate,0.005087967894324752,0.9240392019815247,True,True,0.10826497817981173,0.18877374857387952
u56,EWall,25.0,stop15,stop,0.003784762735280056,1.049275655388332,True,True,0.13926404451916086,0.264378718778003
u56,EWall,25.0,stop25,stop,0.0037347976707415853,1.0964975081326516,True,True,0.15137816008745753,0.276931062176872
u56,EWall,25.0,ddctl-8/.5/recover,dd,0.1348766400655237,0.9933869500930187,False,False,0.10516912822543723,0.17561183607563635
u56,EWall,25.0,ddctl-8/.5/high,dd,0.21466945144198035,0.9696799284797697,False,False,0.10222848605060153,0.17561183607563613
u56,EWall,25.0,ebud-0.10,bud,0.004941473702649857,1.1133616504048525,True,True,0.15811398189088277,0.26118042921932183
u56,EWall,25.0,ebud-0.20,bud,0.004941473702649857,1.1133616504048525,True,True,0.15811398189088277,0.26118042921932183
broad,V1u,10.0,control,ctl,0.0007013767005427107,0.6265883868313114,True,True,0.07262083258819385,0.26975842395343175
broad,V1u,10.0,g200-dg,gate,0.0006224063398773128,0.6090940360805176,True,True,0.07006972139269241,0.27289193202048645
broad,V1u,10.0,g200-rw,gate,0.0008105361992881699,0.642914681436697,True,True,0.07583184837102452,0.24609149600335123
broad,V1u,10.0,band3-dg,gate,0.0007252703788068748,0.6110560535012131,True,True,0.07043233612367428,0.27005255761914004
broad,V1u,10.0,band3-rw,gate,0.0005882759547367611,0.6100190521795964,True,True,0.07087347916215747,0.26063239495852897
broad,V1u,10.0,abs12-dg,gate,0.00048080569942088314,0.6186749790288266,True,True,0.07121884998455386,0.2686946219477
broad,V1u,10.0,abs12-rw,gate,0.00044177364788899887,0.6301319808333026,True,True,0.07399732406399129,0.2687457793942256
broad,V1u,10.0,vol60-dg,gate,0.0007013767005427107,0.6265883868313114,True,True,0.07262083258819385,0.26975842395343175
broad,V1u,10.0,vol60-rw,gate,0.0007013767005427107,0.6265883868313114,True,True,0.07262083258819385,0.26975842395343175
broad,V1u,10.0,v1gate-dg,gate,0.0006224063398773128,0.6090940360805176,True,True,0.07006972139269241,0.27289193202048645
broad,V1u,10.0,v1gate-rw,gate,0.0007558798964958369,0.6349911081998837,True,True,0.07467736848730211,0.24609149600335123
broad,V1u,10.0,stop15,stop,0.0006901217248378444,0.6243208451576358,True,True,0.07229387632814599,0.2747853123429578
broad,V1u,10.0,stop25,stop,0.0007013767005427107,0.6265883868313114,True,True,0.07262083258819385,0.26975842395343175
broad,V1u,10.0,ddctl-8/.5/recover,dd,0.24078908993058712,0.4291370637322683,False,True,0.03673666968265765,0.18085376064139047
broad,V1u,10.0,ddctl-8/.5/high,dd,0.13986059259509537,0.5120271870873037,False,True,0.038412495820147496,0.1808537606413897
broad,V1u,10.0,ebud-0.10,bud,0.11981407335120131,0.5195657001795394,False,False,0.014804667976416663,0.06724917730031454
broad,V1u,10.0,ebud-0.20,bud,0.09088126533488061,0.5352009726291048,True,False,0.035031654028037984,0.1540865600148209
broad,V1u,25.0,control,ctl,0.002235694553413936,0.20552854363085435,True,True,0.016825707004069823,0.32712620728247166
broad,V1u,25.0,g200-dg,gate,0.002131763236475598,0.19031441269635288,True,True,0.014845710344723706,0.3272533468282327
broad,V1u,25.0,g200-rw,gate,0.0023591219465096958,0.22742667408739745,True,True,0.019806524745060283,0.3051986056065128
broad,V1u,25.0,band3-dg,gate,0.0022634700115096162,0.19159418513734755,True,True,0.015024949315581404,0.3249544235057724
broad,V1u,25.0,band3-rw,gate,0.0020841329481558757,0.1917533242822205,True,True,0.015087253810168955,0.3176387194496564
broad,V1u,25.0,abs12-dg,gate,0.001985599170170077,0.2021332747731181,True,True,0.01634054658205919,0.32428617742026533
broad,V1u,25.0,abs12-rw,gate,0.001896999212611633,0.20795708880193559,True,True,0.017227531189315082,0.3230123518620487
broad,V1u,25.0,vol60-dg,gate,0.002235694553413936,0.20552854363085435,True,True,0.016825707004069823,0.32712620728247166
broad,V1u,25.0,vol60-rw,gate,0.002235694553413936,0.20552854363085435,True,True,0.016825707004069823,0.32712620728247166
broad,V1u,25.0,v1gate-dg,gate,0.002131763236475598,0.19031441269635288,True,True,0.014845710344723706,0.3272533468282327
broad,V1u,25.0,v1gate-rw,gate,0.0023053818624162725,0.21947520601685164,True,True,0.01875364879314123,0.305198605606513
broad,V1u,25.0,stop15,stop,0.002219583519329299,0.20316492926335233,True,True,0.016518211970073304,0.3316406863724881
broad,V1u,25.0,stop25,stop,0.002235694553413936,0.20552854363085435,True,True,0.016825707004069823,0.32712620728247166
broad,V1u,25.0,ddctl-8/.5/recover,dd,0.14859114343226817,0.11532951996959398,False,False,0.00659617202950713,0.21386275404450472
broad,V1u,25.0,ddctl-8/.5/high,dd,0.07309428342670293,0.14606150374608776,False,False,0.009670690590218634,0.20210964718548696
broad,V1u,25.0,ebud-0.10,bud,0.06056719439246175,0.15268206000308707,False,False,0.0038055296158279184,0.09168523614740842
broad,V1u,25.0,ebud-0.20,bud,0.06160609427332184,0.1429634449721978,False,False,0.008225779648490583,0.18526959726321035
broad,TOP20,10.0,control,ctl,0.009844489425766323,0.9760590036829483,True,True,0.1754279274804662,0.29890927150591506
broad,TOP20,10.0,g200-dg,gate,0.009614306239115855,0.9891947252673471,True,True,0.17344384936009516,0.2696155216490681
broad,TOP20,10.0,g200-rw,gate,0.00975759787535102,0.9906760628694204,True,True,0.17542968402772097,0.2773419851615033
broad,TOP20,10.0,band3-dg,gate,0.010058017495310656,0.9856529640972952,True,True,0.172656529064259,0.2513992667576719
