arm,statistic,point,boot_mean,p05,p95,p_positive,excludes_zero
MA-RS,G,0.45998543125492397,0.38107810193452235,-0.016248170485750328,0.7275022417731757,0.942,False
MA-RS,LOOKAHEAD_vs_capC0,-0.7814954418463604,-0.6181066893547164,-1.0574771807876095,-0.09751920845022019,0.026,True
MA-RS,LOOKAHEAD_vs_capC,-0.3681218467374522,-0.2796488537527678,-0.6728117584855264,0.1399145173508493,0.133,False
MA-RS,CONTENT_at_S,-0.14447521505719518,-0.09410558668249569,-0.3172299793216729,0.13012513486718771,0.233,False
MA-RS,CONTENT_at_D,-0.2929809022246298,-0.2198339236755004,-0.46407728954262134,0.0385083275450255,0.074,False
MA-RS,MEMBERSHIP_capC,0.3848444867421016,0.3212631718572549,0.0029927034095926833,0.6309423780408029,0.952,True
MA-RS,MEMBERSHIP_advQ,0.236338799574667,0.19553483486425016,-0.04237993019546408,0.415698122320081,0.915,False
MA-DG,G,0.31137866848352624,0.24707425944621775,-0.18076312785876328,0.69465809170895,0.82,False
MA-DG,LOOKAHEAD_vs_capC0,-0.8962037934628205,-0.7148054915684482,-1.1411093792299678,-0.2526509248823287,0.01,True
MA-DG,LOOKAHEAD_vs_capC,-0.29978422472585653,-0.20934666036901153,-0.6760306903374403,0.26133583615303047,0.248,False
MA-DG,CONTENT_at_S,0.03183654252009632,0.052771600482994833,-0.14772094285977963,0.3105166741540459,0.609,False
MA-DG,CONTENT_at_D,-0.2608132219398394,-0.20546101002063308,-0.42642514585926156,0.0227868137151909,0.074,False
MA-DG,MEMBERSHIP_capC,0.2724076656975091,0.24318860909783926,-0.0898259212912221,0.5709268597918001,0.878,False
MA-DG,MEMBERSHIP_advQ,-0.020242098762426608,-0.015044001405788637,-0.29694676286023713,0.3283275458943153,0.438,False
