panel,cost,cadence,n,pass4b_full,pass4b_oos,pass4a_full,pass4a_oos,best_full_Sharpe,best_oos_Sharpe,best_oos_CAGR,mean_turn
B136,10,2W,25,4,3,0,8,1.1346700407803663,1.1770710319236626,0.11019823047004662,1.6729347073637684
B136,10,D,25,1,1,2,8,1.1154902076675282,1.1372453820029056,0.10729134364289727,3.384580675182795
B136,10,M,25,2,2,2,4,1.1264110575227069,1.1373594801839086,0.1126486801090556,1.2911230631297133
B136,10,W,25,4,1,0,6,1.1154087238133856,1.1231043247992942,0.1097976270130907,2.0760850295962654
B136,25,2W,25,0,0,1,8,1.0855119825543522,1.1243672438770735,0.1077154149664259,1.6729347073637684
B136,25,D,25,1,0,2,8,1.0780177137397202,1.0660887572164681,0.10293487471807561,3.384580675182795
B136,25,M,25,2,0,4,4,1.0944101436749614,1.1024940607514793,0.1104848994881007,1.2911230631297133
B136,25,W,25,1,1,2,6,1.090860508070395,1.0696321494757175,0.10692303480271548,2.0760850295962654
U56,10,2W,25,5,8,0,9,1.2252188585474162,1.3236585837262138,0.13101527046843908,1.5140799491960035
U56,10,D,25,4,5,0,3,1.1899978023116873,1.2874254667885854,0.12454028853697108,3.1685994417937353
U56,10,M,25,3,6,0,0,1.2084088890671016,1.2708511436908694,0.12995160200114975,1.1740803533895643
U56,10,W,25,5,6,0,5,1.2010824706801362,1.2795746426691983,0.12670148748914545,1.8944859310651925
U56,25,2W,25,5,7,0,9,1.1879904051746546,1.2870778567493595,0.12762818518795238,1.5140799491960035
U56,25,D,25,2,4,0,0,1.1372933412432153,1.2346344207431141,0.11893422857267488,3.1685994417937353
U56,25,M,25,3,4,2,2,1.180385988891804,1.2439176967663226,0.1268929592091177,1.1740803533895643
U56,25,W,25,4,5,0,2,1.1635304097895696,1.2400342494399228,0.12270310220667491,1.8944859310651925
