panel,T_trade,family,rung,tape,turn_py,calA,calB,w,clamped,edge,SE,t,lo95,hi95,excl0,excl0_pct
U56,W,FRACG,0.1,ALL,1.9055279766106716,W,D,0.09248049751043405,False,0.050887681707870724,0.020109493430515143,2.5305302634153493,0.012316888413717156,0.09075496531044251,True,True
U56,W,FRACG,0.1,XCRASH,1.9055279766106716,W,D,0.09248049751043405,False,0.03738693119119896,0.018009684024625737,2.0759348770404595,0.0028837298429974095,0.07388271853939082,True,True
U56,W,FIXH,0.12,ALL,1.6254438932060258,Q,M,0.8659728935901844,False,0.10813643019992503,0.08157556076227826,1.32559836781323,-0.04652667359826612,0.25544930977443103,False,False
U56,W,FIXH,0.12,XCRASH,1.6254438932060258,Q,M,0.8659728935901844,False,-0.005333259763139031,0.04313522671630479,-0.12364047135338456,-0.08716316003835037,0.0813992898904261,False,False
U56,M,FRACG,0.1,ALL,1.4167103486197432,M,W,0.7901975201643814,False,0.06535826180457183,0.03207229710814855,2.0378416171495983,0.0028472138273048786,0.12649740633330134,True,True
U56,M,FRACG,0.1,XCRASH,1.4167103486197432,M,W,0.7901975201643814,False,0.02774528575013302,0.022532581432416512,1.231340751318322,-0.015970030789787343,0.0723690869777923,False,False
U56,M,FIXH,0.12,ALL,1.134130796310996,M,W,0.17440762772539237,False,0.07351886544043196,0.06570249562763081,1.1189661022482382,-0.047043308385221194,0.20118208209285426,False,False
U56,M,FIXH,0.12,XCRASH,1.134130796310996,M,W,0.17440762772539237,False,-0.009329338141505383,0.04077966147745358,-0.22877429099462793,-0.08617600117523208,0.07570930983149864,False,False
B136,W,FRACG,0.1,ALL,2.0362177961911314,W,D,0.13453053643017107,False,0.06473017699563188,0.021909968278926068,2.9543710959130918,0.0247224815030984,0.10930688899031965,True,True
B136,W,FRACG,0.1,XCRASH,2.0362177961911314,W,D,0.13453053643017107,False,0.04696609071260971,0.01852719655337171,2.5349809712070277,0.00886291270240655,0.08293749607052531,True,True
B136,W,FIXH,0.12,ALL,1.840343205077828,M,W,0.41512414438995154,False,0.07093572943594317,0.0541465815416426,1.3100684736928132,-0.033443178797046114,0.17240424691073314,False,False
B136,W,FIXH,0.12,XCRASH,1.840343205077828,M,W,0.41512414438995154,False,-0.002593321921588121,0.0333322142571109,-0.07780226964774405,-0.06875243150489439,0.06337343535680534,False,False
B136,M,FRACG,0.1,ALL,1.5389941108867085,M,W,0.8554671782142603,False,0.07817987657413905,0.03290382951317874,2.3760114774125674,0.014400485715912459,0.14519414879038448,True,True
B136,M,FRACG,0.1,XCRASH,1.5389941108867085,M,W,0.8554671782142603,False,0.038753540749289606,0.023145864112821858,1.6743181658887272,-0.005552393172418055,0.08362641107442914,False,False
B136,M,FIXH,0.12,ALL,1.3382273040345876,M,W,0.43390664038733123,False,0.06679879492695484,0.04970784688662868,1.3438279690389003,-0.02487330324432957,0.16208222998054939,False,False
B136,M,FIXH,0.12,XCRASH,1.3382273040345876,M,W,0.43390664038733123,False,-0.0028903683380239187,0.03314862389347389,-0.08719421799566641,-0.0674317007658955,0.06319118869707324,False,False
