panel,arm,conv,f,cad,be_H1,be_H2,be_DD,be_CAGR,binding,be_joint
u56,S3,g1.00,0.0,W,,30.0,,30.0,DD|H1 (never),
u56,S3,g1.00,0.0,M,30.0,30.0,,30.0,DD (never),
u56,S3,g1.00,0.0,D,0.0,11.5,,13.0,DD (never),
u56,S3,g1.00,0.25,W,9.5,29.0,30.0,24.5,H1,9.5
u56,S3,g1.00,0.25,M,30.0,30.0,30.0,30.0,H1,30.0
u56,S3,g1.00,0.25,D,4.5,12.0,14.0,10.0,H1,4.5
u56,S3,g1.00,0.5,W,19.5,23.5,30.0,11.0,CAGR,11.0
u56,S3,g1.00,0.5,M,30.0,30.0,30.0,30.0,H1,30.0
u56,S3,g1.00,0.5,D,8.0,10.5,30.0,5.0,CAGR,5.0
u56,S3,g1.00,0.75,W,20.0,9.0,30.0,,CAGR (never),
u56,S3,g1.00,0.75,M,30.0,26.5,30.0,,CAGR (never),
u56,S3,g1.00,0.75,D,7.5,5.0,18.5,,CAGR (never),
u56,S3,g1.00,1.0,W,,,,,CAGR|DD|H1|H2 (never),
u56,S3,g1.00,1.0,M,,,,,CAGR|DD|H1|H2 (never),
u56,S3,g1.00,1.0,D,,,,,CAGR|DD|H1|H2 (never),
u56,S3,natural,0.0,W,0.5,30.0,30.0,11.5,H1,0.5
u56,S3,natural,0.0,M,30.0,30.0,30.0,30.0,H1,30.0
u56,S3,natural,0.0,D,,11.5,11.0,3.0,H1 (never),
u56,S3,natural,0.25,W,10.0,30.0,30.0,,CAGR (never),
u56,S3,natural,0.25,M,30.0,30.0,30.0,,CAGR (never),
u56,S3,natural,0.25,D,3.5,13.5,30.0,,CAGR (never),
u56,S3,natural,0.5,W,17.0,30.0,30.0,,CAGR (never),
u56,S3,natural,0.5,M,30.0,30.0,30.0,,CAGR (never),
u56,S3,natural,0.5,D,7.0,14.5,30.0,,CAGR (never),
u56,S3,natural,0.75,W,8.0,14.5,30.0,,CAGR (never),
u56,S3,natural,0.75,M,23.5,16.0,30.0,,CAGR (never),
u56,S3,natural,0.75,D,4.5,9.5,30.0,,CAGR (never),
u56,S3,natural,1.0,W,,,30.0,,CAGR|H1|H2 (never),
u56,S3,natural,1.0,M,,,30.0,,CAGR|H1|H2 (never),
u56,S3,natural,1.0,D,,,27.0,,CAGR|H1|H2 (never),
u56,S4,g1.00,0.0,W,,30.0,,30.0,DD|H1 (never),
u56,S4,g1.00,0.0,M,30.0,30.0,,30.0,DD (never),
u56,S4,g1.00,0.0,D,0.0,11.5,,13.0,DD (never),
u56,S4,g1.00,0.25,W,7.0,27.0,30.0,23.5,H1,7.0
u56,S4,g1.00,0.25,M,30.0,30.0,30.0,30.0,H1,30.0
u56,S4,g1.00,0.25,D,3.0,11.5,8.5,9.5,H1,3.0
u56,S4,g1.00,0.5,W,14.0,20.0,30.0,9.0,CAGR,9.0
u56,S4,g1.00,0.5,M,30.0,30.0,30.0,23.0,CAGR,23.0
u56,S4,g1.00,0.5,D,6.0,9.5,25.5,4.5,CAGR,4.5
u56,S4,g1.00,0.75,W,12.0,6.0,30.0,,CAGR (never),
u56,S4,g1.00,0.75,M,10.0,10.0,30.0,,CAGR (never),
u56,S4,g1.00,0.75,D,5.5,4.5,19.0,,CAGR (never),
u56,S4,g1.00,1.0,W,,,,,CAGR|DD|H1|H2 (never),
u56,S4,g1.00,1.0,M,,,,,CAGR|DD|H1|H2 (never),
u56,S4,g1.00,1.0,D,,,,,CAGR|DD|H1|H2 (never),
u56,S4,natural,0.0,W,0.5,30.0,30.0,11.5,H1,0.5
