panel,claimset,q,cost,delay,z,adopted,moved,n_clear,IS_margin,bar,OOS_S,OOS_CAGR,OOS_DD,frozen_OOS_S,d_oos,Sharpe,CAGR,MaxDD,H1,H2,pass4a,pass4b,fail4b
U56,N,0.5,10.0,1,0.0,N=40,True,4,0.04623367936556866,0.0,1.121233704952334,0.11308476476753859,-0.18275528387468443,1.1825724390649999,-0.06133873411266588,1.134512264149779,0.1073045083712092,-0.18275528387468454,1.2657324846104958,1.0426760743752932,False,True,-
U56,N,0.8,10.0,1,0.8416211822956144,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,N,0.9,10.0,1,1.2815516851619244,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,N,0.95,10.0,1,1.644853552985789,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,N,0.99,10.0,1,2.3263478580747905,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,GROSS,0.5,10.0,1,0.0,G=1.00,True,3,0.00043781537073628307,0.0,1.1839750274457161,0.2316202760391317,-0.2492764291131152,1.1825724390649999,0.0014025883807162742,1.1527144266983635,0.21111580613171776,-0.2492764291131151,1.2129844742263318,1.1135641087064827,False,False,DD
U56,GROSS,0.8,10.0,1,0.8416211822956144,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,GROSS,0.9,10.0,1,1.2815516851619244,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,GROSS,0.95,10.0,1,1.644853552985789,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,GROSS,0.99,10.0,1,2.3263478580747905,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,HOLD,0.5,10.0,1,0.0,H=252,True,3,0.01647364931283346,0.0,1.1962186243371382,0.13899104531239304,-0.17793546883700073,1.1825724390649999,0.013646185272138345,1.1665622336913006,0.12729269057819415,-0.1779354688370003,1.224685616380772,1.1299880873511714,False,True,-
U56,HOLD,0.8,10.0,1,0.8416211822956144,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,HOLD,0.9,10.0,1,1.2815516851619244,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,HOLD,0.95,10.0,1,1.644853552985789,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,HOLD,0.99,10.0,1,2.3263478580747905,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,ALL,0.5,10.0,1,0.0,N=40,True,10,0.04623367936556866,0.0,1.121233704952334,0.11308476476753859,-0.18275528387468443,1.1825724390649999,-0.06133873411266588,1.134512264149779,0.1073045083712092,-0.18275528387468454,1.2657324846104958,1.0426760743752932,False,True,-
U56,ALL,0.8,10.0,1,0.8416211822956144,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,ALL,0.9,10.0,1,1.2815516851619244,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,ALL,0.95,10.0,1,1.644853552985789,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,ALL,0.99,10.0,1,2.3263478580747905,INC,False,0,0.0,0.0,1.1825724390649999,0.13775891877085966,-0.15513469778683764,1.1825724390649999,0.0,1.1517373610135737,0.12591068407521866,-0.15513469778683742,1.2123353579763128,1.1121427410281963,False,True,-
U56,N,0.5,25.0,1,0.0,N=40,True,4,0.047618639766192405,0.0,1.0918829301884663,0.1098471910698473,-0.18316826861083735,1.1512224424887765,-0.059339512300310204,1.1039658816825535,0.10415821201210651,-0.18316826861083813,1.2328283354651233,1.0136991269114737,False,False,CAGR
U56,N,0.8,25.0,1,0.8416211822956144,INC,False,0,0.0,0.0,1.1512224424887765,0.13369988369314245,-0.15592436194343973,1.1512224424887765,0.0,1.119429022969265,0.12200094618653012,-0.15592436194344006,1.1782874737168847,1.0810024907869356,False,True,-
U56,N,0.9,25.0,1,1.2815516851619244,INC,False,0,0.0,0.0,1.1512224424887765,0.13369988369314245,-0.15592436194343973,1.1512224424887765,0.0,1.119429022969265,0.12200094618653012,-0.15592436194344006,1.1782874737168847,1.0810024907869356,False,True,-
U56,N,0.95,25.0,1,1.644853552985789,INC,False,0,0.0,0.0,1.1512224424887765,0.13369988369314245,-0.15592436194343973,1.1512224424887765,0.0,1.119429022969265,0.12200094618653012,-0.15592436194344006,1.1782874737168847,1.0810024907869356,False,True,-
U56,N,0.99,25.0,1,2.3263478580747905,INC,False,0,0.0,0.0,1.1512224424887765,0.13369988369314245,-0.15592436194343973,1.1512224424887765,0.0,1.119429022969265,0.12200094618653012,-0.15592436194344006,1.1782874737168847,1.0810024907869356,False,True,-
U56,GROSS,0.5,25.0,1,0.0,G=1.00,True,3,0.0008804868226268692,0.0,1.1531478614100283,0.22441374665701552,-0.2502064198815648,1.1512224424887765,0.0019254189212518646,1.1208958777277482,0.20421089143537374,-0.25020641988156456,1.1793580316711632,1.0829695065258096,False,False,DD
U56,GROSS,0.8,25.0,1,0.8416211822956144,INC,False,0,0.0,0.0,1.1512224424887765,0.13369988369314245,-0.15592436194343973,1.1512224424887765,0.0,1.119429022969265,0.12200094618653012,-0.15592436194344006,1.1782874737168847,1.0810024907869356,False,True,-
U56,GROSS,0.9,25.0,1,1.2815516851619244,INC,False,0,0.0,0.0,1.1512224424887765,0.13369988369314245,-0.15592436194343973,1.1512224424887765,0.0,1.119429022969265,0.12200094618653012,-0.15592436194344006,1.1782874737168847,1.0810024907869356,False,True,-
U56,GROSS,0.95,25.0,1,1.644853552985789,INC,False,0,0.0,0.0,1.1512224424887765,0.13369988369314245,-0.15592436194343973,1.1512224424887765,0.0,1.119429022969265,0.12200094618653012,-0.15592436194344006,1.1782874737168847,1.0810024907869356,False,True,-
U56,GROSS,0.99,25.0,1,2.3263478580747905,INC,False,0,0.0,0.0,1.1512224424887765,0.13369988369314245,-0.15592436194343973,1.1512224424887765,0.0,1.119429022969265,0.12200094618653012,-0.15592436194344006,1.1782874737168847,1.0810024907869356,False,True,-
U56,HOLD,0.5,25.0,1,0.0,H=252,True,1,0.02546709024560756,0.0,1.1736114227023635,0.1360483480141923,-0.17818268606647603,1.1512224424887765,0.02238898021358704,1.1430835135814923,0.12444852525091021,-0.17818268606647558,1.1988997613078831,1.1081556878215875,False,True,-
