family,knob,min,max,size,spread
SEL_GAPEXCEEDS,K_B,0.8289395434118788,0.8289395434118788,5,0.0
SEL_GAPEXCEEDS,K_DRAW,0.8289395434118788,0.8289395434118788,4,0.0
SEL_GAPEXCEEDS,K_RECENTRE,0.8289395434118788,0.8289395434118788,2,0.0
SEL_GAPEXCEEDS,K_SEED,0.8289395434118788,0.8289395434118788,8,0.0
SEL_PCTRANK,K_B,0.8420622422578695,0.853101884721621,5,0.011039642463751442
SEL_PCTRANK,K_DRAW,0.8328573290241343,0.8508866683613068,4,0.018029339337172434
SEL_PCTRANK,K_RECENTRE,0.8500585705786393,0.8573776220381196,2,0.007319051459480308
SEL_PCTRANK,K_SEED,0.8374056798904429,0.8500585705786393,8,0.012652890688196416
SEL_RESOLVED,K_B,0.8293095639588844,0.8294413020353039,5,0.0001317380764194187
SEL_RESOLVED,K_DRAW,0.8290761055349901,0.8294413020353039,4,0.00036519650031374695
SEL_RESOLVED,K_RECENTRE,0.8293095639588844,0.8294413020353039,2,0.0001317380764194187
SEL_RESOLVED,K_SEED,0.8294413020353039,0.8294413020353039,8,0.0
