panel,gate,value,pass_
U56,G1 SHY runner == engine.backtest (returns),8.673617379884035e-18,True
U56,G1b SHY runner == engine.backtest (turnover),1.0685896612017132e-15,True
U56,G2 derived 25 bps == fresh engine 25 bps,8.673617379884035e-18,True
U56,G3 NOSLEEVE == baseline.rules_v2_weights,0.0,True
U56,G4 max total weight (no leverage),1.0000000000000009,True
U56,G5 zero-rate sleeve gross == live book gross,1.0408340855860843e-17,True
U56,G6 flat line compounds to y (max abs err),2.79359868571305e-14,True
U56,G7 years of sample,17.650793650793652,True
U56,"G8 corr(TRAIL rate, same-day SHY ret) ~ 0",0.05314973163293524,True
B136,G1 SHY runner == engine.backtest (returns),1.0408340855860843e-17,True
B136,G1b SHY runner == engine.backtest (turnover),1.824929096727601e-15,True
B136,G2 derived 25 bps == fresh engine 25 bps,1.0408340855860843e-17,True
B136,G3 NOSLEEVE == baseline.rules_v2_weights,0.0,True
B136,G4 max total weight (no leverage),1.0000000000000007,True
B136,G5 zero-rate sleeve gross == live book gross,1.3877787807814457e-17,True
B136,G6 flat line compounds to y (max abs err),2.79359868571305e-14,True
B136,G7 years of sample,17.650793650793652,True
B136,"G8 corr(TRAIL rate, same-day SHY ret) ~ 0",0.052918921957136114,True
