kind,panel,gross,cadence,n,L_H1,L_H2,L_OOS,L_DD,L_CAGR,pass4b,turn_yr,drag_bp,MaxDD,CAGR
BOOK,U56,0.5,D,12,0.5,0.0,0.0,0.0,1.0,0.0,15.008146680761064,150.0814668076106,-0.11976637460864394,0.06980946642862484
BOOK,U56,0.5,W,36,0.0,0.0,0.0,0.0,1.0,0.0,6.050744451449429,60.50744451449428,-0.11694111280931294,0.08054866283548094
BOOK,U56,0.5,M,132,0.0,0.0,0.0,0.0,1.0,0.0,2.7426707108276114,27.426707108276112,-0.1385263630304393,0.08628851172580605
BOOK,U56,0.5,Q,384,0.0,0.049479166666666664,0.010416666666666666,0.0026041666666666665,0.9921875,0.0078125,1.496314118074686,14.96314118074686,-0.16017155020886273,0.08805586890388145
BOOK,U56,0.75,D,12,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,22.429568348411376,224.29568348411377,-0.17507849244969845,0.10432305953854186
BOOK,U56,0.75,W,36,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,9.037306756205327,90.37306756205325,-0.17206722875723057,0.12098022538356995
BOOK,U56,0.75,M,132,0.0,0.0,0.0,0.6287878787878788,0.16666666666666666,0.20454545454545456,4.0933411485154565,40.93341148515457,-0.20443794263319937,0.12994487128276833
BOOK,U56,0.75,Q,384,0.0,0.046875,0.013020833333333334,0.828125,0.16666666666666666,0.044270833333333336,2.2225348824320545,22.225348824320545,-0.23472305215685674,0.132628698850521
BOOK,U56,1.0,D,12,0.5,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,29.86699100237855,298.6699100237856,-0.22750134250705134,0.13835028145046477
BOOK,U56,1.0,W,36,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,12.028922494031596,120.28922494031596,-0.2250399276232454,0.1613232935096891
BOOK,U56,1.0,M,132,0.0,0.0,0.0,0.9090909090909091,0.0,0.09090909090909091,5.444810058832931,54.448100588329304,-0.2682550806842991,0.17376615068039492
BOOK,U56,1.0,Q,384,0.0,0.052083333333333336,0.015625,0.9739583333333334,0.010416666666666666,0.026041666666666668,2.9437422457498137,29.437422457498133,-0.3060536441236334,0.1774796911485118
BOOK,B136,0.5,D,12,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.0,1.0,0.0,18.26423961901074,182.64239619010743,-0.1427982486010373,0.06901986795907582
BOOK,B136,0.5,W,36,0.0,0.5,0.25,0.0,1.0,0.0,7.574407840471616,75.74407840471616,-0.13679976267018112,0.08429978099589308
