arm,stop,n,med_d_crash_ann,crash_gt0,med_d_trend_ann,trend_gt0,med_y2020,med_y2022
always,0.10,6,-1.2336790001738982,1,-0.928789460173476,1,-1.2059433186678903,0.8630536556328783
always,0.15,6,-1.1628611153498098,0,-0.3363276715540517,1,-1.607101032126368,-0.7379936897185635
always,0.20,6,-1.0270572304761005,0,-0.03784551421372809,0,-1.4363368986476943,-0.39972122561541257
always,0.25,6,-0.6637630621619871,0,-0.005030395965584021,1,-1.8980053173765166,-0.22598124218340399
breadth20,0.10,6,-2.0005986767068924,1,-0.1320108918928532,1,-1.1033826450397743,0.06488314126107397
breadth20,0.15,6,-1.5076054134679264,0,-0.07048833521984474,0,-1.5493464307644311,-0.8683989301498829
breadth20,0.20,6,-0.9406650415688869,0,-0.017083867818200395,0,-1.3398310673125913,-0.509805637925731
breadth20,0.25,6,-0.6952962651138659,0,0.0,1,-1.8763241014479015,-0.22598124218340399
spy200,0.10,6,-1.821111732336259,1,-0.26200107429679775,2,-1.1801850112039047,-0.3266445371561677
spy200,0.15,6,-1.4784852855689214,0,-0.11148714213497661,0,-1.5493464307644311,-1.0250072888767225
spy200,0.20,6,-1.0511747276378567,0,-0.030010657976711125,0,-1.3670128563627149,-0.4197186003364328
spy200,0.25,6,-0.6637630621619871,0,0.0001107994342602912,3,-1.8940049273029058,-0.22598124218340399
