universe,arm,cost_bps,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,base_OOS_CAGR,base_OOS_Sharpe,base_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD
u56,S4,5,0.13563576546341882,1.2935729993147336,-0.141780703029324,0.0907812846000402,0.8627148928624649,-0.13711142644765784,0.15450717694493266,0.8820107671822842,-0.33717235283398284
u56,S4,10,0.12897551021683684,1.2360932450412454,-0.14225991402961435,0.07730300522922962,0.747063834691694,-0.13827796154480798,0.15450717694493266,0.8820107671822842,-0.33717235283398284
u56,S4,15,0.12235338518594863,1.1785378796400983,-0.1427389617984841,0.063987081907936,0.6311942008866749,-0.13944354806865555,0.15450717694493266,0.8820107671822842,-0.33717235283398284
u56,S4,20,0.11576917734006886,1.120918323355443,-0.14321784636020896,0.05083160890776939,0.5152062312932081,-0.14060818639143147,0.15450717694493266,0.8820107671822842,-0.33717235283398284
u56,S4,25,0.10922267480959547,1.0632460264679768,-0.14369656773906514,0.037834702288707334,0.39920030769495,-0.14177187688535975,0.15450717694493266,0.8820107671822842,-0.33717235283398284
u56,S3,5,0.12932030404826866,1.2737899352564377,-0.13248071393639915,0.0907812846000402,0.8627148928624649,-0.13711142644765784,0.15450717694493266,0.8820107671822842,-0.33717235283398284
u56,S3,10,0.12274055081360524,1.2150127994865232,-0.1329311313521484,0.07730300522922962,0.747063834691694,-0.13827796154480798,0.15450717694493266,0.8820107671822842,-0.33717235283398284
u56,S3,15,0.11619819687380195,1.1561487425807824,-0.13338140965577971,0.063987081907936,0.6311942008866749,-0.13944354806865555,0.15450717694493266,0.8820107671822842,-0.33717235283398284
u56,S3,20,0.10969303491495364,1.0972103565225728,-0.13383154886597481,0.05083160890776939,0.5152062312932081,-0.14060818639143147,0.15450717694493266,0.8820107671822842,-0.33717235283398284
u56,S3,25,0.10322485874347698,1.038210275784096,-0.13428154900141676,0.037834702288707334,0.39920030769495,-0.14177187688535975,0.15450717694493266,0.8820107671822842,-0.33717235283398284
broad,S4,5,0.1259345614997993,1.084738316354923,-0.15571402300789727,0.07600002707206621,0.7166675545043932,-0.19396901479225048,0.1545044425578177,0.8820239235972316,-0.3371595330739301
broad,S4,10,0.11759774497241215,1.0203746481932119,-0.1561505525800979,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301
broad,S4,15,0.1093212621021733,0.9559387804799142,-0.15658694049960442,0.043079721657671044,0.4357922798881319,-0.2305109210720706,0.1545044425578177,0.8820239235972316,-0.3371595330739301
broad,S4,20,0.10110468627526936,0.8914457874790861,-0.15702318678825922,0.026990441626883133,0.2954549455949993,-0.24867668081651118,0.1545044425578177,0.8820239235972316,-0.3371595330739301
broad,S4,25,0.09294759382408335,0.8269107713424777,-0.15745929146790405,0.011143568780353386,0.15539928865606328,-0.26721084947028584,0.1545044425578177,0.8820239235972316,-0.3371595330739301
broad,S3,5,0.11949102576729631,1.0503703106797193,-0.14579956493655954,0.07600002707206621,0.7166675545043932,-0.19396901479225048,0.1545044425578177,0.8820239235972316,-0.3371595330739301
broad,S3,10,0.11125489000536848,0.9854039674197342,-0.1462096784062764,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301
broad,S3,15,0.10307794656453684,0.9203575569932128,-0.14661967238533347,0.043079721657671044,0.4357922798881319,-0.2305109210720706,0.1545044425578177,0.8820239235972316,-0.3371595330739301
broad,S3,20,0.09495978002323069,0.8552470308069275,-0.14702954689012016,0.026990441626883133,0.2954549455949993,-0.24867668081651118,0.1545044425578177,0.8820239235972316,-0.3371595330739301
broad,S3,25,0.08689997780584524,0.7900883792537184,-0.1474393019370257,0.011143568780353386,0.15539928865606328,-0.26721084947028584,0.1545044425578177,0.8820239235972316,-0.3371595330739301
