arm,selector,sets,OOS_S,OOS_CAGR,OOS_DD,edge,beat_SPY,beat_v2
CROSSQ,IS-SHARPE-MAX,96,0.23444499043657988,0.018502581071688343,-0.35583231280599986,0.0046486950938925626,0.0,0.16666666666666666
CROSSQ,RANDOM,96,0.21179513318846807,0.02064961299267269,-0.38713308535010893,-0.018001162154219253,0.0,0.16666666666666666
CROSSQ,RATIO-MAX,96,0.22823527081964556,0.021561114865042478,-0.29396000209706774,-0.0015610245230417454,0.0,0.10416666666666667
CROSSQ,RATIO-MIN,96,0.19408646973919397,0.020066948132076545,-0.5081457979908243,-0.03570982560349334,0.0,0.19791666666666666
DV,IS-SHARPE-MAX,256,0.06685989820343936,-0.0017084482127829826,-0.3699311854201594,-0.009332017884074898,0.0,0.109375
DV,RANDOM,256,0.0686472837960793,-0.004888918699143446,-0.4198459555776751,-0.007544632291434961,0.0,0.12890625
DV,RATIO-MAX,256,0.07908851344335865,0.0028367622231745275,-0.3055670722097228,0.0028965973558443933,0.0,0.109375
DV,RATIO-MIN,256,0.03870934090943889,-0.016695631308703884,-0.5553960513450787,-0.03748257517807538,0.0,0.13671875
REPRO,IS-SHARPE-MAX,96,0.5293118092991541,0.0707656876903985,-0.26888015142722527,0.03854905141133288,0.20833333333333334,0.10416666666666667
REPRO,RANDOM,96,0.5064579242126389,0.06998804802301682,-0.2902911008235492,0.0156951663248176,0.20833333333333334,0.11458333333333333
REPRO,RATIO-MAX,96,0.5918706137455206,0.06918599895671695,-0.2346818070945066,0.10110785585769942,0.25,0.25
REPRO,RATIO-MIN,96,0.35320434843125476,0.05746468610054716,-0.39384136503360395,-0.13755840945656655,0.09375,0.041666666666666664
ROLL,IS-SHARPE-MAX,262,0.5221289384248328,0.06241703274518423,-0.25407695034685224,0.03921894366785265,0.11450381679389313,0.14885496183206107
ROLL,RANDOM,262,0.4946961557472168,0.06146048537106642,-0.2716311759915652,0.01178616099023666,0.1297709923664122,0.1297709923664122
ROLL,RATIO-MAX,262,0.5512553202287709,0.059178742644175955,-0.21732369156376763,0.06834532547179076,0.20229007633587787,0.16793893129770993
ROLL,RATIO-MIN,262,0.34739616515376337,0.05109415134734788,-0.37108702648633923,-0.13551382960321676,0.007633587786259542,0.0648854961832061
VOL,IS-SHARPE-MAX,288,0.2134864905574375,0.02024121066048655,-0.3081484859615229,0.018627958127243355,0.0,0.14930555555555555
VOL,RANDOM,288,0.1961353982522827,0.018238371322493823,-0.3709057174924679,0.0012768658220885505,0.0,0.13541666666666666
VOL,RATIO-MAX,288,0.20958639495514136,0.01890719558086931,-0.2843175963917678,0.014727862524947209,0.0,0.1527777777777778
VOL,RATIO-MIN,288,0.14163934978591303,0.008978714831209978,-0.4809823316567157,-0.05321918264428113,0.0,0.13541666666666666
