panel,d,n_books,flips4a,flips4b,maxdSharpe,maxdCAGR,maxdMaxDD
U56,1,8,0,0,0.002362062266499154,0.0004849249282350421,0.0
U56,2,8,0,0,0.0037582096994841496,0.00031762056289763585,0.0
U56,3,8,0,0,0.0019581949088870454,0.000369970776429529,0.0
U56,5,8,0,0,0.007551091243453767,0.0015343752485230677,0.0
U56,10,8,0,0,0.0032060536352668256,0.0004340088359595651,0.0
U56,21,8,0,1,0.003332808085311445,0.000745378328752766,0.0
U56,63,8,0,0,0.018734458270657006,0.0033932522990034464,0.0
U56,252,8,0,0,0.05384476078368383,0.008602609816591222,0.0
B136,1,8,0,0,0.001704203452245645,0.0003048832579228833,0.0
B136,2,8,0,0,0.0019057469122328863,0.00022259360792631355,0.0
B136,3,8,0,0,0.0037930621414725696,0.0004534101737754259,0.0
B136,5,8,0,0,0.002550105984195805,0.00033999388733096936,0.0
B136,10,8,0,0,0.005667253827260299,0.0011870897692505267,0.0
B136,21,8,0,0,0.01061203173120695,0.002578575304599706,0.0
B136,63,8,0,1,0.01698909546273053,0.00366646178788832,0.0
B136,252,8,0,1,0.10911164631164849,0.02845852104700386,0.0
SMALL439,1,8,0,0,0.005070931717027827,0.0008521284942688556,0.0
SMALL439,2,8,0,0,0.005496773732456717,0.0009184091817660001,0.0
SMALL439,3,8,0,0,0.008175932072738645,0.001341914563980806,0.0
SMALL439,5,8,0,0,0.005852174996850201,0.0015249241129344782,0.0
SMALL439,10,8,0,0,0.0083282174390798,0.0021786967828929527,0.0
SMALL439,21,8,0,0,0.017970133351873308,0.0047088259771517205,0.0
SMALL439,63,8,0,0,0.0202002284354994,0.0027014246257703878,0.0
SMALL439,252,8,0,0,0.04468972317158948,0.011440717233177633,0.0
