load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv

==================================================================================================================================================================================================================
UNIVERSE universe_broad.json (136, PRIMARY): 136 names, 2008-01-02 -> 2026-09-03 | eval 2009-01-13 -> 2026-09-03 | IS <= 2016-12-31 | OOS >= 2017-01-01
INDEX SANITY: 251.6 rows/yr (must be ~252; the calendar-day bug of idea 38 gave ~365)  -> OK trading-day index
SPY   CAGR 15.26%  Sharpe 0.890  MaxDD -33.72%  halves 0.957/0.837  OOS 0.884
RULES v1 @10bps  CAGR 6.44%  Sharpe 0.640  MaxDD -21.19%  halves 0.762/0.537
4b bars: Sharpe > 0.957(H1) / 0.837(H2) / 0.884(OOS), MaxDD <= 20.23%, CAGR >= 10.68%
mean eligible names E_t = 91.5
==================================================================================================================================================================================================================

--- universe_broad.json (136, PRIMARY) | gross convention MATCHED | 10 bps | ALL grid points ---
 K     d  D  arm   held  gross   turn  CAGR  Sharpe  MaxDD    H1    H2  oSharpe  oCAGR  oMaxDD   p4a   p4b          fails
10 0.000  0   HI  9.966  0.750 14.736 0.187   1.077 -0.214 1.284 0.919    0.996  0.183  -0.214 False False             DD
10 0.100  1   HI  8.966  0.750 17.465 0.185   1.087 -0.207 1.260 0.957    1.042  0.189  -0.207  True False             DD
10 0.100  1   LO  8.966  0.750 17.168 0.190   1.051 -0.221 1.275 0.879    0.956  0.182  -0.221 False False             DD
10 0.100  1 CTRL  8.976  0.750 14.818 0.183   1.039 -0.221 1.271 0.863    0.921  0.171  -0.221 False False             DD
10 0.200  2   HI  7.966  0.750 19.536 0.163   0.999 -0.209 1.202 0.844    0.942  0.163  -0.209  True False             DD
10 0.200  2   LO  7.966  0.750 18.728 0.198   1.049 -0.246 1.336 0.827    0.910  0.180  -0.246 False False          H2,DD
10 0.200  2 CTRL  7.984  0.750 15.225 0.190   1.044 -0.230 1.315 0.836    0.892  0.169  -0.230 False False          H2,DD
10 0.300  3   HI  6.966  0.750 21.724 0.148   0.926 -0.192 1.133 0.768    0.865  0.146  -0.192  True False         H2,OOS
10 0.300  3   LO  6.966  0.750 20.266 0.211   1.070 -0.255 1.385 0.822    0.911  0.186  -0.255 False False          H2,DD
10 0.300  3 CTRL  6.991  0.750 15.635 0.186   0.994 -0.232 1.258 0.794    0.859  0.168  -0.232 False False      H2,OOS,DD
10 0.500  5   HI  4.967  0.748 26.608 0.110   0.738 -0.221 0.989 0.542    0.657  0.102  -0.194 False False      H2,OOS,DD
10 0.500  5   LO  4.967  0.748 24.640 0.231   1.058 -0.297 1.209 0.940    0.978  0.223  -0.297 False False             DD
10 0.500  5 CTRL  4.999  0.750 16.524 0.206   1.009 -0.264 1.294 0.784    0.847  0.178  -0.264 False False      H2,OOS,DD
20 0.000  0   HI 19.782  0.750 12.727 0.138   0.957 -0.210 1.099 0.844    0.929  0.141  -0.210  True False             DD
20 0.100  2   HI 17.782  0.750 15.261 0.128   0.929 -0.203 1.074 0.813    0.902  0.131  -0.203  True False          H2,DD
20 0.100  2   LO 17.782  0.750 15.060 0.136   0.904 -0.239 1.048 0.789    0.871  0.137  -0.239 False False      H2,OOS,DD
20 0.100  2 CTRL 17.829  0.750 13.019 0.142   0.963 -0.211 1.114 0.844    0.928  0.145  -0.211  True False             DD
20 0.200  4   HI 15.783  0.749 17.134 0.112   0.848 -0.206 0.945 0.773    0.867  0.122  -0.206  True False   H1,H2,OOS,DD
20 0.200  4   LO 15.783  0.749 16.569 0.141   0.894 -0.255 1.074 0.747    0.839  0.138  -0.255 False False      H2,OOS,DD
20 0.200  4 CTRL 15.869  0.750 13.312 0.152   0.987 -0.212 1.164 0.849    0.927  0.150  -0.212 False False             DD
20 0.300  6   HI 13.786  0.746 19.122 0.103   0.804 -0.207 0.963 0.675    0.775  0.104  -0.207  True False H2,OOS,DD,CAGR
20 0.300  6   LO 13.786  0.746 18.262 0.143   0.865 -0.293 1.070 0.693    0.792  0.135  -0.293 False False      H2,OOS,DD
20 0.300  6 CTRL 13.907  0.750 13.655 0.162   1.014 -0.214 1.200 0.869    0.948  0.159  -0.214 False False             DD
20 0.500 10   HI  9.816  0.742 23.466 0.084   0.705 -0.201 0.766 0.659    0.741  0.094  -0.201  True False H1,H2,OOS,CAGR
20 0.500 10   LO  9.816  0.742 21.043 0.176   0.977 -0.237 1.141 0.847    0.919  0.173  -0.237 False False             DD
20 0.500 10 CTRL  9.966  0.750 14.736 0.187   1.077 -0.214 1.284 0.919    0.996  0.183  -0.214 False False             DD
30 0.000  0   HI 29.462  0.750 11.429 0.130   0.989 -0.202 1.131 0.872    0.967  0.132  -0.202  True  True              -
30 0.100  3   HI 26.462  0.750 13.637 0.117   0.943 -0.197 1.073 0.836    0.938  0.122  -0.197  True False             H2
30 0.100  3   LO 26.462  0.750 13.736 0.132   0.952 -0.224 1.080 0.845    0.935  0.135  -0.224 False False             DD
30 0.100  3 CTRL 26.580  0.750 11.692 0.134   0.992 -0.202 1.130 0.879    0.975  0.137  -0.202  True False             DD
30 0.200  6   HI 23.466  0.746 15.509 0.104   0.869 -0.197 1.003 0.756    0.861  0.107  -0.197  True False    H2,OOS,CAGR
30 0.200  6   LO 23.466  0.746 15.615 0.130   0.885 -0.293 1.057 0.734    0.826  0.123  -0.293 False False      H2,OOS,DD
30 0.200  6 CTRL 23.677  0.750 12.038 0.132   0.956 -0.209 1.078 0.857    0.944  0.136  -0.209  True False             DD
30 0.300  9   HI 20.486  0.743 17.093 0.099   0.856 -0.197 0.981 0.751    0.852  0.102  -0.197  True False    H2,OOS,CAGR
30 0.300  9   LO 20.486  0.743 16.940 0.143   0.956 -0.217 1.088 0.846    0.938  0.146  -0.217 False False             DD
30 0.300  9 CTRL 20.758  0.750 12.486 0.136   0.958 -0.211 1.094 0.848    0.927  0.138  -0.211  True False             DD
30 0.500 15   HI 14.573  0.735 21.346 0.085   0.792 -0.186 0.869 0.730    0.813  0.091  -0.186  True False H1,H2,OOS,CAGR
30 0.500 15   LO 14.573  0.735 19.821 0.161   0.983 -0.222 1.203 0.809    0.898  0.154  -0.222 False False          H2,DD
30 0.500 15 CTRL 14.888  0.750 13.484 0.154   0.986 -0.212 1.167 0.845    0.923  0.152  -0.212  True False             DD

--- universe_broad.json (136, PRIMARY) | gross convention MATCHED | 25 bps | ALL grid points ---
 K     d  D  arm   held  gross   turn  CAGR  Sharpe  MaxDD    H1    H2  oSharpe  oCAGR  oMaxDD   p4a   p4b             fails
10 0.000  0   HI  9.966  0.750 14.736 0.161   0.949 -0.225 1.149 0.796    0.874  0.157  -0.225 False False         H2,OOS,DD
10 0.100  1   HI  8.966  0.750 17.465 0.154   0.931 -0.218 1.094 0.809    0.894  0.157  -0.218 False False             H2,DD
10 0.100  1   LO  8.966  0.750 17.168 0.160   0.909 -0.232 1.125 0.743    0.821  0.152  -0.232 False False         H2,OOS,DD
10 0.100  1 CTRL  8.976  0.750 14.818 0.157   0.913 -0.231 1.138 0.743    0.803  0.145  -0.231 False False         H2,OOS,DD
10 0.200  2   HI  7.966  0.750 19.536 0.130   0.821 -0.227 1.013 0.674    0.770  0.129  -0.227 False False         H2,OOS,DD
10 0.200  2   LO  7.966  0.750 18.728 0.165   0.901 -0.257 1.177 0.685    0.770  0.146  -0.257 False False         H2,OOS,DD
10 0.200  2 CTRL  7.984  0.750 15.225 0.163   0.919 -0.240 1.182 0.715    0.773  0.142  -0.240 False False         H2,OOS,DD
10 0.300  3   HI  6.966  0.750 21.724 0.111   0.726 -0.229 0.919 0.577    0.673  0.108  -0.229 False False      H1,H2,OOS,DD
10 0.300  3   LO  6.966  0.750 20.266 0.175   0.915 -0.266 1.220 0.674    0.765  0.150  -0.266 False False         H2,OOS,DD
10 0.300  3 CTRL  6.991  0.750 15.635 0.158   0.870 -0.241 1.122 0.678    0.744  0.141  -0.241 False False         H2,OOS,DD
10 0.500  5   HI  4.967  0.748 26.608 0.066   0.485 -0.257 0.719 0.300    0.413  0.057  -0.257 False False H1,H2,OOS,DD,CAGR
10 0.500  5   LO  4.967  0.748 24.640 0.186   0.889 -0.302 1.036 0.774    0.813  0.177  -0.302 False False         H2,OOS,DD
10 0.500  5 CTRL  4.999  0.750 16.524 0.176   0.890 -0.276 1.171 0.667    0.730  0.148  -0.276 False False         H2,OOS,DD
20 0.000  0   HI 19.782  0.750 12.727 0.116   0.826 -0.211 0.960 0.719    0.804  0.119  -0.211  True False         H2,OOS,DD
20 0.100  2   HI 17.782  0.750 15.261 0.103   0.766 -0.204 0.899 0.658    0.746  0.105  -0.204  True False H1,H2,OOS,DD,CAGR
20 0.100  2   LO 17.782  0.750 15.060 0.110   0.757 -0.245 0.891 0.649    0.731  0.112  -0.245 False False      H1,H2,OOS,DD
