selector,mean_OOS_Sharpe,mean_OOS_CAGR,n4b
CH_RESOLVED_L1,0.82677225429474,0.11909530492823617,8
CH_RESOLVED_L2,0.8271374507950539,0.12048614310231569,8
CH_RESOLVED_L5,0.8271374507950539,0.12048614310231569,8
CH_RESOLVED_L10,0.827275842661428,0.12229994374226083,7
CH_RESOLVED_L21,0.827275842661428,0.12229994374226083,7
CH_RESOLVED_L42,0.827275842661428,0.12229994374226083,7
CH_RESOLVED_L63,0.827275842661428,0.12229994374226083,7
CH_RESOLVED_L126,0.827275842661428,0.12229994374226083,7
CH_RESOLVED_L252,0.827275842661428,0.12229994374226083,7
CH_RESOLVED_L504,0.8321174813354939,0.12345940573165763,7
CH_RESOLVED_L1008,0.8307111592194394,0.12245364468862623,6
