n,q,raw_H1,z_H1,raw_H2,z_H2,raw_OOS,z_OOS,raw_DD,z_DD,raw_CAGR,z_CAGR
10,0.0,0,0,7,7,0,0,5,5,0,0
10,0.05,0,0,7,5,0,0,5,7,0,0
10,0.1,0,0,10,7,0,0,2,5,0,0
10,0.15,1,1,6,5,0,1,5,5,0,0
10,0.2,2,2,8,7,1,1,1,2,0,0
10,0.25,0,0,8,6,2,2,2,4,0,0
10,0.3,0,0,8,8,1,1,3,3,0,0
10,0.35,0,0,12,10,0,0,0,2,0,0
10,0.4,3,0,8,7,1,1,0,4,0,0
10,0.45,7,4,3,3,2,2,0,3,0,0
10,0.5,4,1,6,4,1,1,1,6,0,0
10,0.55,3,2,8,8,0,0,1,2,0,0
10,0.6,6,4,4,3,2,2,0,3,0,0
10,0.65,4,4,7,7,1,1,0,0,0,0
10,0.7,8,6,4,4,0,0,0,2,0,0
10,0.75,3,3,5,5,4,2,0,2,0,0
10,0.8,4,3,4,3,4,5,0,1,0,0
10,0.85,5,4,6,5,1,0,0,3,0,0
10,0.9,5,2,6,3,1,1,0,6,0,0
10,0.95,3,2,4,3,5,5,0,2,0,0
10,1.0,7,3,1,1,4,3,0,5,0,0
20,0.0,1,1,4,5,0,0,6,4,1,2
20,0.05,0,2,1,6,0,1,5,3,6,0
20,0.1,0,0,5,9,0,0,3,2,4,1
20,0.15,1,1,5,7,0,0,3,2,3,2
20,0.2,1,0,6,8,1,0,0,0,4,4
20,0.25,0,0,9,9,0,0,0,0,3,3
20,0.3,0,0,4,6,1,0,1,1,6,5
20,0.35,0,0,9,8,0,1,0,0,3,3
20,0.4,2,1,8,7,1,0,0,0,1,4
20,0.45,4,1,8,5,0,0,0,0,0,6
20,0.5,2,2,9,7,0,0,0,0,1,3
20,0.55,3,1,7,4,0,1,0,0,2,6
20,0.6,1,0,9,6,2,0,0,0,0,6
20,0.65,3,1,9,7,0,0,0,0,0,4
20,0.7,4,3,4,2,4,0,0,0,0,7
20,0.75,2,2,7,8,3,2,0,0,0,0
20,0.8,2,1,5,6,5,0,0,0,0,5
20,0.85,2,1,7,6,3,1,0,0,0,4
20,0.9,4,2,6,5,2,0,0,3,0,2
20,0.95,3,2,5,5,4,3,0,1,0,1
20,1.0,5,3,3,1,4,1,0,1,0,6
