panel,dial,vintage,d_is_best,d_spread,d_margin,d_curv,d_is_sd,worst,pass_,mine,committed,same,d_OOS_Sharpe
B136,BAND,today,0.00011644102070040852,0.0009372619954670786,2.108399640078553e-05,0.00024806304461003764,0.0001743135583562698,0.0009372619954670786,False,0.08,0.08,True,0.010644108980174982
B136,CADENCE,today,0.0005414868300710474,0.0007416779744848778,0.0005170708671832064,0.00035152074281211837,0.00020675007602056691,0.0007416779744848778,False,W,W,True,0.012620409840964575
B136,GROSS,today,0.0005431029082876293,5.219348269442682e-06,2.844101896221226e-07,2.3306932381237928e-07,1.7640410567717167e-06,0.0005431029082876293,False,1.0,1.0,True,0.012608569037516615
B136,N,today,0.0011392939000438584,0.012861333303542222,0.008363876467329941,0.007306299002918987,0.00014889409604103288,0.012861333303542222,False,30,30,True,0.008312712333616634
B136,VOLCAP,today,0.0037602851071179,0.01580308289410573,0.015725571141972677,0.0004405589496413176,0.0031901392973271853,0.01580308289410573,False,0.2,0.2,True,0.006322355801702151
U56,BAND,today,3.186089237772194e-06,1.6700735405647538e-05,1.861316281913123e-06,3.043756747832249e-06,2.217312039379249e-06,1.6700735405647538e-05,True,0.08,0.08,True,0.0019521703559319814
U56,CADENCE,today,1.7873344901442323e-05,1.013896491945665e-05,3.209818214592545e-06,1.6401905783822168e-05,5.2129634082187515e-06,1.7873344901442323e-05,True,M,M,True,0.0015276972293185587
U56,GROSS,today,1.4847874496570768e-05,6.288792785253371e-07,4.525692243184665e-08,2.730237635974154e-08,2.1396772892303025e-07,1.4847874496570768e-05,True,1.0,1.0,True,0.0025251294369297295
U56,N,today,2.757599767089225e-05,0.0029154672391713543,0.00020741961668840556,0.004223334042629506,0.0008545931506227233,0.004223334042629506,False,50,50,True,0.002594347873856595
U56,VOLCAP,today,2.161406876399763e-05,3.9641521620004116e-05,1.930412775776047e-07,3.855255854681716e-06,8.85412000415503e-06,3.9641521620004116e-05,True,0.8,0.8,True,0.0003848452868741026
