panel,level,cells,share4a,share4b
U56,L1,4,0.0,1.0
U56,L2,16,0.0,0.625
U56,L3,36,0.0,0.5833333333333334
U56,L4,88,0.0,0.3409090909090909
B136,L1,4,0.0,0.0
B136,L2,16,0.0,0.0625
B136,L3,36,0.0,0.05555555555555555
B136,L4,88,0.0,0.06818181818181818
SMALL,L1,4,0.0,0.0
SMALL,L2,16,0.0,0.0
SMALL,L3,36,0.0,0.0
SMALL,L4,88,0.0,0.0
