n,scope,y,N,p,lam,folds,scheme,R2_sd,t_sd,R2_F,R2_sd_on_F,pR2_sd_given_F,t_sd_given_F,kill_F
5,pooled,CAND Sharpe,150,138,0.0,1,IS,0.22174751230099066,6.493815973033624,0.9838179891122615,0.9902514546258538,0.0013471424629178104,0.4453055989546459,0.006075118719209153
5,pooled,CAND Sharpe,150,138,0.0,2,OOF2,0.22174751230099066,6.493815973033624,-59.31840824953952,-86.70761771849901,0.22464743300694948,6.526191045559773,1.013077579431974
5,pooled,CAND Sharpe,150,138,0.0,5,OOF5,0.22174751230099066,6.493815973033624,-274.30951285426926,-162.40422378052475,0.22286224409896085,6.492738513211352,1.0050270318093
5,pooled,CAND Sharpe,150,138,0.0,10,OOF10,0.22174751230099066,6.493815973033624,-301.7624403931949,-366.4806722071662,0.22235111542052316,6.483157119688534,1.0027220288212892
5,pooled,CAND Sharpe,150,138,0.0,25,OOF25,0.22174751230099066,6.493815973033624,-5.476578941853193,-1.8499438918700148,0.21332504729015025,6.313670765714226,0.9620177700148983
5,pooled,CAND Sharpe,150,138,0.0,50,OOF50,0.22174751230099066,6.493815973033624,-3.736596479185196,-1.4934244584279681,0.19717197087235083,6.0085543352562505,0.8891733162026096
5,pooled,CAND Sharpe,150,138,0.5,1,IS,0.22174751230099066,6.493815973033624,0.9735052487632169,0.9732788349583539,0.010901938965901763,1.2728899726265528,0.04916374868324987
5,pooled,CAND Sharpe,150,138,0.5,2,OOF2,0.22174751230099066,6.493815973033624,0.11034147271020445,0.24634016246547963,0.1203864113121477,4.485402663731134,0.5428985879613399
5,pooled,CAND Sharpe,150,138,0.5,5,OOF5,0.22174751230099066,6.493815973033624,-0.004955981705443202,-0.02481618319109935,0.1663225449444088,5.415458095297904,0.7500537129753665
5,pooled,CAND Sharpe,150,138,0.5,10,OOF10,0.22174751230099066,6.493815973033624,0.0669752399246697,-0.11766868860195423,0.15638429255032046,5.220149050915666,0.7052358374963461
5,pooled,CAND Sharpe,150,138,0.5,25,OOF25,0.22174751230099066,6.493815973033624,0.15007679220516412,0.051454544100413835,0.15112728620152915,5.115744221316308,0.6815286657935328
5,pooled,CAND Sharpe,150,138,0.5,50,OOF50,0.22174751230099066,6.493815973033624,0.10406536842203029,0.02021356555599163,0.1429869373414659,4.952370507764854,0.6448186762401262
5,pooled,CAND Sharpe,150,138,2.0,1,IS,0.22174751230099066,6.493815973033624,0.954751223559984,0.9451646977809887,0.01570065770635437,1.531277822544893,0.07080421125556062
5,pooled,CAND Sharpe,150,138,2.0,2,OOF2,0.22174751230099066,6.493815973033624,0.2244845814049331,0.35242909667369093,0.115709473967611,4.385767862917255,0.5218073148462287
5,pooled,CAND Sharpe,150,138,2.0,5,OOF5,0.22174751230099066,6.493815973033624,0.3061795172316576,0.29223812491046053,0.14936735014845007,5.080605587330508,0.673591999290189
5,pooled,CAND Sharpe,150,138,2.0,10,OOF10,0.22174751230099066,6.493815973033624,0.41452133570459704,0.2680469824910444,0.1382369315542757,4.855978675583991,0.6233978912315316
5,pooled,CAND Sharpe,150,138,2.0,25,OOF25,0.22174751230099066,6.493815973033624,0.44417018294368804,0.32498187609261675,0.1238086342072041,4.557583657025594,0.5583315588188044
5,pooled,CAND Sharpe,150,138,2.0,50,OOF50,0.22174751230099066,6.493815973033624,0.43828496336515954,0.3125872546518291,0.12168235512289095,4.512806029512456,0.5487428195258601
5,pooled,CAND Sharpe,150,138,8.0,1,IS,0.22174751230099066,6.493815973033624,0.8974887868300758,0.8729878090578355,0.02102779016613824,1.7769299313463538,0.09482762601456385
5,pooled,CAND Sharpe,150,138,8.0,2,OOF2,0.22174751230099066,6.493815973033624,0.3207664080863727,0.3857952582914158,0.11668001972898433,4.406541730249896,0.5261841204811706
5,pooled,CAND Sharpe,150,138,8.0,5,OOF5,0.22174751230099066,6.493815973033624,0.41633544352220575,0.4355308545394748,0.1365021311544367,4.820562836467664,0.6155745773109487
5,pooled,CAND Sharpe,150,138,8.0,10,OOF10,0.22174751230099066,6.493815973033624,0.4909921730424951,0.4311311136781627,0.12482538934394172,4.578917060051742,0.5629167517988163
5,pooled,CAND Sharpe,150,138,8.0,25,OOF25,0.22174751230099066,6.493815973033624,0.5024314407003299,0.4500978591316809,0.10597567804886508,4.174333107502808,0.47791146312847105
5,pooled,CAND Sharpe,150,138,8.0,50,OOF50,0.22174751230099066,6.493815973033624,0.5214802504188352,0.4481031176042505,0.10382793319788566,4.126863176412227,0.46822592109603484
5,pooled,CAND Sharpe,150,138,32.0,1,IS,0.22174751230099066,6.493815973033624,0.7339538826863491,0.7096991521311884,0.03904726315121688,2.444009856294603,0.1760888442266526
5,pooled,CAND Sharpe,150,138,32.0,2,OOF2,0.22174751230099066,6.493815973033624,0.26309714396061146,0.24257715304560612,0.14451329639770644,4.9831727066331,0.651701996104246
5,pooled,CAND Sharpe,150,138,32.0,5,OOF5,0.22174751230099066,6.493815973033624,0.3561202661454571,0.3663709442456332,0.14015877681223113,4.895078778022315,0.6320647089018323
5,pooled,CAND Sharpe,150,138,32.0,10,OOF10,0.22174751230099066,6.493815973033624,0.38842289262527085,0.3794160158807597,0.1330062902211326,4.7488317650167815,0.5998096160853228
5,pooled,CAND Sharpe,150,138,32.0,25,OOF25,0.22174751230099066,6.493815973033624,0.3986950895244826,0.40378979482334254,0.1111744584088318,4.287981623881651,0.50135605696414
5,pooled,CAND Sharpe,150,138,32.0,50,OOF50,0.22174751230099066,6.493815973033624,0.4111326677139696,0.40630588261806333,0.11000130766960554,4.262485426011581,0.49606557714295546
5,pooled,CAND Sharpe,150,138,128.0,1,IS,0.22174751230099066,6.493815973033624,0.4349932692771197,0.42011921582149436,0.09347032701362079,3.8931804721204077,0.42151691373542055
5,pooled,CAND Sharpe,150,138,128.0,2,OOF2,0.22174751230099066,6.493815973033624,0.11217438590925688,0.04383462279366368,0.19910472497524506,6.045212683078945,0.8978893287649999
5,pooled,CAND Sharpe,150,138,128.0,5,OOF5,0.22174751230099066,6.493815973033624,0.18328521453987678,0.18215846682744374,0.18064186237316895,5.692866279543056,0.8146285859025708
5,pooled,CAND Sharpe,150,138,128.0,10,OOF10,0.22174751230099066,6.493815973033624,0.19517887883520013,0.19004763556842008,0.18051998768881003,5.690522336039495,0.8140789757486878
5,pooled,CAND Sharpe,150,138,128.0,25,OOF25,0.22174751230099066,6.493815973033624,0.2094568540209849,0.21603988766016635,0.16113048108377298,5.313740140501743,0.7266394080897797
5,pooled,CAND Sharpe,150,138,128.0,50,OOF50,0.22174751230099066,6.493815973033624,0.2114846838209884,0.21971347517026962,0.16129645006236867,5.317002094053674,0.7273878673481203
5,pooled,CAND Sharpe,150,138,512.0,1,IS,0.22174751230099066,6.493815973033624,0.18035035423665657,0.17634880011499032,0.18669761873495724,5.80900880543828,0.8419378273860489
5,pooled,CAND Sharpe,150,138,512.0,2,OOF2,0.22174751230099066,6.493815973033624,0.012834226031383733,-0.06765051031271097,0.22150099321641037,6.467217617909149,0.9988882892889203
5,pooled,CAND Sharpe,150,138,512.0,5,OOF5,0.22174751230099066,6.493815973033624,0.05274008548354159,0.056418393681112455,0.2191439582205889,6.4230001291606555,0.9882589254175361
5,pooled,CAND Sharpe,150,138,512.0,10,OOF10,0.22174751230099066,6.493815973033624,0.05271297053331858,0.050284497965903174,0.22301105036973587,6.495527680323297,1.0056980935462767
5,pooled,CAND Sharpe,150,138,512.0,25,OOF25,0.22174751230099066,6.493815973033624,0.07062858911209535,0.07007599746770965,0.21691919942974858,6.3812296694197626,0.9782260787454141
