uni,conv,K,d,D,arm,bps,CAGR,Sharpe,MaxDD,H1,H2,oCAGR,oSharpe,oMaxDD,held,gross,turn,p4a,p4b,fails
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.0,0,HI,10,0.18720859443364968,1.0768687847300495,-0.21435940317494195,1.2835520148927206,0.919311181562118,0.18321525190636456,0.9957808713359625,-0.2143594031749425,9.965975664713834,0.75,14.735999275704422,False,False,DD
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.0,0,HI,25,0.16126620322943874,0.9493136929697314,-0.22456922872820007,1.149351109172783,0.7959603355204247,0.15659400792715017,0.8736213138109851,-0.2245692287282003,9.965975664713834,0.75,14.735999275704422,False,False,"H2,OOS,DD"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.1,1,HI,10,0.18460648898181553,1.0865451602005927,-0.2068341800373591,1.2597433467800252,0.9570853052313288,0.1889171658435067,1.0420713261736707,-0.20683418003735898,8.965975664713834,0.75,17.465131458774586,True,False,DD
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.1,1,HI,25,0.15398434598294575,0.9314501503011762,-0.2176595398378166,1.0943585156808944,0.8087043682147314,0.15727054608265356,0.8937099309680111,-0.21765953983781694,8.965975664713834,0.75,17.465131458774586,False,False,"H2,DD"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.1,1,LO,10,0.19044700973840567,1.0514782934473326,-0.22076040342893544,1.2753500982575001,0.8789635292004014,0.18241588297828337,0.9559774750327182,-0.22076040342893521,8.965975664713834,0.75,17.167558398115915,False,False,DD
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.1,1,LO,25,0.16019210759597446,0.9094608602365811,-0.23161320301594135,1.1247164518098978,0.742667708219657,0.15167049407588196,0.8208955795499613,-0.23161320301594168,8.965975664713834,0.75,17.167558398115915,False,False,"H2,OOS,DD"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.1,1,CTRL,10,0.18337529209371972,1.0385709933664267,-0.22143062884190567,1.2708064305941027,0.8633287735306148,0.1714279507884109,0.9214540482176291,-0.22143062884190468,8.97566471383506,0.75,14.817864753578617,False,False,DD
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.1,1,CTRL,25,0.15737376185811103,0.9131578234301955,-0.23148299173296671,1.137547619930158,0.7429610859683561,0.1450945109814339,0.8027273549005076,-0.23148299173296616,8.97566471383506,0.75,14.817864753578617,False,False,"H2,OOS,DD"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.2,2,HI,10,0.16342839369324547,0.9991745818567318,-0.20913719831539745,1.2021958102868529,0.8444065914105114,0.16348659976242153,0.941539194565501,-0.209137198315398,7.965975664713835,0.75,19.53645740344125,True,False,DD
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.2,2,HI,25,0.12983225607146198,0.8214631112843037,-0.2266864789028672,1.0134850555144321,0.6737543009609921,0.12869214698156095,0.7704033332066511,-0.22668647890286753,7.965975664713835,0.75,19.53645740344125,False,False,"H2,OOS,DD"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.2,2,LO,10,0.19837554437511407,1.04909782314315,-0.24619809299842288,1.3358228861650725,0.8265368751876728,0.17954662937687504,0.910115043046728,-0.24619809299842343,7.965975664713835,0.75,18.727534347620306,False,False,"H2,DD"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.2,2,LO,25,0.16519221981357624,0.9009114858300686,-0.25733798248180384,1.177235190332315,0.6853435897912596,0.1462957594902352,0.7701967754010193,-0.2573379824818035,7.965975664713835,0.75,18.727534347620306,False,False,"H2,OOS,DD"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.2,2,CTRL,10,0.18965071595510774,1.0442537858898067,-0.2302702234721914,1.3148451231529688,0.8355908678569571,0.16891924646316125,0.8920600234613391,-0.2302702234721905,7.983551149166291,0.75,15.225058765124354,False,False,"H2,DD"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.2,2,CTRL,25,0.16279864450359094,0.9188305438110632,-0.24034046489659788,1.1822686857995843,0.7148148031119749,0.14183297464052846,0.7727118263310155,-0.2403404648965981,7.983551149166291,0.75,15.225058765124354,False,False,"H2,OOS,DD"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.3,3,HI,10,0.14758625753939225,0.9262670208718958,-0.19205267523067182,1.1333964043225062,0.7684692308182105,0.14614850375676403,0.8649851070961719,-0.1920526752306716,6.965975664713835,0.7498310049571879,21.724206476918788,True,False,"H2,OOS"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.3,3,HI,25,0.11078830238494475,0.7258837699986734,-0.22862443993217874,0.9193361217514733,0.5770057277772345,0.10827593536022806,0.673261642306391,-0.22862443993217896,6.965975664713835,0.7498310049571879,21.724206476918788,False,False,"H1,H2,OOS,DD"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.3,3,LO,10,0.2108513269991601,1.0698852090754536,-0.25502888091551734,1.3849978606368898,0.8218930773665686,0.18590821704383553,0.9105737502004143,-0.25502888091551756,6.965975664713835,0.7498310049571879,20.26617096416806,False,False,"H2,DD"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.3,3,LO,25,0.17460468388363748,0.9153679778062204,-0.2659197776618688,1.2201153351065006,0.6743699899222386,0.14978458999377997,0.7645272759871456,-0.2659197776618689,6.965975664713835,0.7498310049571879,20.26617096416806,False,False,"H2,OOS,DD"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.3,3,CTRL,10,0.1855081877554543,0.9938557126052652,-0.23154272582318947,1.2578464146454684,0.7935673122048497,0.16773905900321107,0.8585018945753137,-0.23154272582318924,6.9907616043262735,0.75,15.63486412100691,False,False,"H2,OOS,DD"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.3,3,CTRL,25,0.1580373829918449,0.8698714567722582,-0.241289930541411,1.122180216750322,0.6776519330746027,0.14054860515361067,0.7435599123604366,-0.24128993054141135,6.9907616043262735,0.75,15.63486412100691,False,False,"H2,OOS,DD"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.5,5,HI,10,0.10987020952165394,0.7382360144358343,-0.22106407544471185,0.98856189672489,0.5422853137510362,0.10208203856650666,0.6567903735171996,-0.19390217191488535,4.966876971608833,0.7476340694006309,26.608297858583523,False,False,"H2,OOS,DD"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.5,5,HI,25,0.06642769373627244,0.4854467597543858,-0.2573555499990976,0.719256804507572,0.30043767565611035,0.05739673917802279,0.41309633125971584,-0.25735554999909815,4.966876971608833,0.7476340694006309,26.608297858583523,False,False,"H1,H2,OOS,DD,CAGR"
"universe_broad.json (136, PRIMARY)",MATCHED,10,0.5,5,LO,10,0.2310046718102321,1.057749833806643,-0.2969912275236849,1.209145441665548,0.9401635322914995,0.2232918271144093,0.9776654576976161,-0.2969912275236851,4.966876971608833,0.7476340694006309,24.64030659219237,False,False,DD
