held_out,panels,actual,pred,rmse,rmse_mean_rule,oos_R2,spearman
B136,11,0.7922077922077921,0.646160210524715,0.19408765761308333,0.41048991580805627,0.7764416723518259,0.6710983239235219
BSTK100,11,0.6233766233766234,0.774595757431808,0.2529457546828643,0.2780958553135097,0.17269479425134615,0.28428928772129636
ETF36,9,0.36507936507936506,0.020792846385967994,0.45784008754089356,0.2788786957830208,-1.6952369655324877,0.12241204793696706
SMALL439,11,0.051948051948051945,0.8351620039589335,0.7898283017956915,0.561060488396914,-0.9817369752210534,-0.03481553119113957
U56,11,0.5974025974025973,0.8667177282097135,0.37876750129109804,0.2635321181960511,-1.065752620386088,0.05650579312176135
