ladder_a,ladder_b,k_a,k_b,mu0,sd0,F_at_010,F_at_025,F_at_050,in_NG
N,H,6,4,0.044535448934457454,0.6050884210341823,141,23,6,True
N,GROSS,6,10,-0.025312020041812447,0.44835052874490655,78,13,4,False
N,CADENCE,6,2,0.34779903814217394,1.16761036025942,524,84,21,True
H,GROSS,4,10,-0.0698474689762699,0.555673035861246,119,19,5,False
H,CADENCE,4,2,0.30326358920771646,1.2128760363460682,566,91,23,True
GROSS,CADENCE,10,2,0.3731110581839864,1.1427836535839784,502,81,21,False
