universe,book,conv,sleeve_star,f_star,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,anchor_OOS_Sharpe,base_OOS_Sharpe,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,best_OOS,regret,full_4b
u56,top20,natural,TLTonly,0.25,1.1312703089538745,0.105621346848084,1.142865743539451,-0.12248188186043785,1.167991233806965,0.747063834691694,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.366219723673175,-0.2233539801337241,False
u56,top20,g1.00,noDBC,0.5,1.1074493316773506,0.12274055081360524,1.2150127994865232,-0.1329311313521484,1.131166085677921,0.747063834691694,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.281189522467039,-0.06617672298051591,True
u56,ewall,natural,TLTonly,0.25,1.1170196867252589,0.08324988399775868,1.0677813849827786,-0.12670269326042227,1.1132841948586054,0.747063834691694,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.3295415992772293,-0.2617602142944506,False
u56,ewall,g1.00,noDBC,0.5,1.1559350281894814,0.10247459135724624,1.2325811336367118,-0.11805472354413715,1.113257661929225,0.747063834691694,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.3123991668183848,-0.07981803318167291,False
broad,top20,natural,noDBC,0.5,1.2009572748137936,0.07960471807599201,1.0696771918491452,-0.10758330816836126,0.8919165372280256,0.5762505378038233,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.206312312278706,-0.13663512042956083,False
broad,top20,g1.00,noDBC,0.5,1.1844357881501173,0.11125489000536848,0.9854039674197342,-0.1462096784062764,0.885354881224048,0.5762505378038233,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.153465435586223,-0.16806146816648881,True
broad,ewall,natural,noDBC,0.5,1.233457235755398,0.06958805609990293,1.2664904464342475,-0.10282234696593762,1.0190519497098376,0.5762505378038233,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.311533866857295,-0.04504342042304743,False
broad,ewall,g1.00,noDBC,0.5,1.2769180723956013,0.09827624651589573,1.1842576130574447,-0.13140562976737602,1.0179799285952602,0.5762505378038233,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.273600669771665,-0.08934305671422038,False
