panel,anchor,H_lo,H_hi,S_oos_lo,S_oos_hi,step_oos,paired_SE,step_over_SE,decisive,step_is,new_rung
U56,A,21,42,1.1184397798067252,1.111916402319334,-0.00652337748739118,0.06221317557630704,-0.10485524050110553,False,-0.10378610074360073,1
U56,A,42,63,1.111916402319334,1.1065464462272472,-0.005369956092086792,0.06879066440141071,-0.07806227979935994,False,0.09138875954258596,1
U56,A,63,126,1.1065464462272472,1.1690155684196564,0.06246912219240919,0.094840885398546,0.6586729123193835,False,0.002446770790170305,0
U56,A,126,189,1.1690155684196564,1.0526948324707202,-0.11632073594893622,0.08377613433496879,-1.388471035006721,False,0.13395547035718303,1
U56,A,189,252,1.0526948324707202,1.1966138497404248,0.14391901726970469,0.10352775768978298,1.390149081572428,False,-0.11434834011958883,1
U56,A,252,378,1.1966138497404248,1.03463289321641,-0.1619809565240149,0.13112821817606052,-1.2352867962144476,False,0.2870732283155377,1
U56,B,21,42,1.0728549162897048,1.063078090310802,-0.009776825978902837,0.08685848440846437,-0.11256040265365352,False,0.08319981213468752,1
U56,B,42,63,1.063078090310802,1.0222691173123764,-0.04080897299842556,0.12055059093215369,-0.3385215508515674,False,-0.10250216746867702,1
U56,B,63,126,1.0222691173123764,1.0765275209150351,0.05425840360265877,0.1350037864505527,0.4019028282775741,False,0.0335885794367492,0
U56,B,126,189,1.0765275209150351,0.8677921130534038,-0.20873540786163136,0.1489968120432749,-1.40093875163588,False,0.09591840529314588,1
U56,B,189,252,0.8677921130534038,1.0709922958579627,0.20320018280455898,0.1253823049423081,1.6206448182465387,False,-0.07353123668864292,1
U56,B,252,378,1.0709922958579627,1.174641730718506,0.10364943486054323,0.1387633717849125,0.7469509678764729,False,0.33865749892575514,1
B135,A,21,42,0.9968160714786513,0.9706252328644834,-0.026190838614167822,0.06955722363632563,-0.376536572982046,False,-0.05521013810828723,1
B135,A,42,63,0.9706252328644834,0.9962408428094426,0.02561560994495915,0.08136470910203429,0.3148245747776994,False,0.059847306943498824,1
B135,A,63,126,0.9962408428094426,1.0102419886913445,0.014001145881901933,0.12235891193536635,0.11442685833376615,False,-0.0716196709723047,0
B135,A,126,189,1.0102419886913445,1.0181529666507185,0.00791097795937401,0.11869747905726137,0.06664823905449281,False,-0.03265647047358855,1
B135,A,189,252,1.0181529666507185,1.0478010287266173,0.029648062075898762,0.13080676500756747,0.22665541858009833,False,0.003942099258574361,1
B135,A,252,378,1.0478010287266173,0.9388114134548301,-0.10898961527178719,0.14682320291602366,-0.7423187419097811,False,0.1048374730077577,1
B135,B,21,42,0.9223980928431933,0.8486821824901722,-0.07371591035302105,0.0939793620264064,-0.7843840260621081,False,0.20285576090654023,1
B135,B,42,63,0.8486821824901722,0.7333980866712816,-0.11528409581889065,0.09744564579479979,-1.1830605141830033,False,-0.17470362779250537,1
B135,B,63,126,0.7333980866712816,1.0759030045137554,0.34250491784247383,0.1463068267123681,2.3410043505066334,True,-0.1541812363473376,0
B135,B,126,189,1.0759030045137554,0.7688698788738376,-0.3070331256399178,0.14020670834603927,-2.1898604514852464,True,-0.049840505681515435,1
B135,B,189,252,0.7688698788738376,0.8623566957875579,0.0934868169137203,0.16743527452568266,0.5583460067094792,False,-0.08531931019277073,1
B135,B,252,378,0.8623566957875579,1.0519762900158927,0.18961959422833474,0.2138341438026776,0.8867601350105827,False,0.24939256148201028,1
SMALL663,A,21,42,0.43540518827650515,0.3926425228579467,-0.04276266541855844,0.1431630041885485,-0.29869913432550754,False,0.13837424961261957,1
SMALL663,A,42,63,0.3926425228579467,0.4616477649614769,0.0690052421035302,0.15506566512840883,0.4450065850901773,False,-0.06045660756335669,1
SMALL663,A,63,126,0.4616477649614769,0.45343025806528664,-0.008217506896190274,0.13072094538276477,-0.0628629702158942,False,-0.18430458845661735,0
SMALL663,A,126,189,0.45343025806528664,0.6447311616245422,0.1913009035592556,0.1492226064297572,1.2819833947164414,False,0.025803313689178098,1
SMALL663,A,189,252,0.6447311616245422,0.667742920666616,0.023011759042073754,0.1574627553137059,0.14614096518397934,False,0.34610917088613724,1
SMALL663,A,252,378,0.667742920666616,0.6326770550337114,-0.03506586563290459,0.1706003259201596,-0.20554395452512383,False,-0.568027479039825,1
SMALL663,B,21,42,0.5180966329738488,0.7004730980844529,0.18237646511060412,0.17321898742940556,1.0528664773827445,False,-0.051609553179598366,1
SMALL663,B,42,63,0.7004730980844529,0.3661054591964655,-0.33436763888798743,0.1989666985051098,-1.680520616767435,False,-0.17666433867240516,1
SMALL663,B,63,126,0.3661054591964655,0.3657756379410347,-0.00032982125543079555,0.1801056129066321,-0.0018312658340180492,False,-0.013953631887388851,0
SMALL663,B,126,189,0.3657756379410347,0.6096190123607019,0.24384337441966725,0.1828191195148648,1.3337958035611295,False,-0.10226981632981325,1
SMALL663,B,189,252,0.6096190123607019,0.6997840885963647,0.09016507623566272,0.17311747822623227,0.5208317332224177,False,-0.013097389410078208,1
SMALL663,B,252,378,0.6997840885963647,0.37670130421971243,-0.3230827843766522,0.21253710503508189,-1.5201241417272688,False,-0.14392212361580559,1
