claimset,reading,n_sites,n_pool_stated,share,n_files,headline
NEAR,LOOSE,201,167,0.8308457711442786,24,True
NEAR,STRICT,201,96,0.47761194029850745,24,True
FILE,LOOSE,564,453,0.8031914893617021,42,False
FILE,STRICT,564,250,0.4432624113475177,42,False
CSV,LOOSE,32,32,1.0,32,False
CSV,STRICT,32,30,0.9375,32,False
