panel,tape,T_trade,cost,family,chooser,pick_cell,pick_t,oos_CAGR,oos_Sharpe,oos_MaxDD,keep4b_full,keep4b_oos,keep4b,keep4a,keep4a_oos,bind
B136,CRASH_PT,M,0,CAL,C_ISSHARPE,R=M,0.2,0.20829694127916643,1.4615719285592466,-0.1910802954403723,False,False,False,False,False,L4_DD
B136,CRASH_PT,M,0,CAL,C_ISCALMAR,R=M,0.08,0.13509440778969917,1.462527418087736,-0.11303584612896156,False,False,False,False,False,L5_CAGR
B136,CRASH_PT,M,0,CAL,C_ISDD,R=W,0.08,0.12768183150694368,1.4613399426560154,-0.10039534487783686,False,False,False,False,False,L5_CAGR
B136,CRASH_PT,M,0,CAL,C_ISLEGS,R=M,0.1,0.15959775328353176,1.5064646788688338,-0.12440814692367397,True,True,True,False,False,none
B136,CRASH_PT,M,0,DRIFT,C_ISSHARPE,h=0.16,0.2,0.19509768929612936,1.4237536510327706,-0.1810425413039609,False,False,False,False,False,L4_DD
B136,CRASH_PT,M,0,DRIFT,C_ISCALMAR,h=0.25,0.16,0.16569950461970273,1.4533928611808173,-0.14490752515010985,True,True,True,False,False,none
B136,CRASH_PT,M,0,DRIFT,C_ISDD,h=0.12,0.08,0.1285624784307764,1.4714670880755343,-0.10610498413758762,False,False,False,False,False,L5_CAGR
B136,CRASH_PT,M,0,DRIFT,C_ISLEGS,h=0.25,0.16,0.16569950461970273,1.4533928611808173,-0.14490752515010985,True,True,True,False,False,none
B136,CRASH_PT,M,10,CAL,C_ISSHARPE,R=M,0.2,0.20707884349935024,1.4540867526327947,-0.1917782707880249,False,False,False,False,False,L4_DD
B136,CRASH_PT,M,10,CAL,C_ISCALMAR,R=M,0.2,0.20707884349935024,1.4540867526327947,-0.1917782707880249,False,False,False,False,False,L4_DD
B136,CRASH_PT,M,10,CAL,C_ISDD,R=W,0.08,0.12362633483668306,1.4185336623205178,-0.10247096837700898,False,False,False,False,False,L5_CAGR
B136,CRASH_PT,M,10,CAL,C_ISLEGS,R=M,0.1,0.1575572674840522,1.4891085558406754,-0.12498216470863044,True,True,True,False,False,none
B136,CRASH_PT,M,10,DRIFT,C_ISSHARPE,h=0.16,0.2,0.19388971551631728,1.4160002741654154,-0.18221977848104254,False,False,False,False,False,L4_DD
B136,CRASH_PT,M,10,DRIFT,C_ISCALMAR,h=0.25,0.16,0.16486321638969947,1.446808800564987,-0.14565345322147238,True,True,True,False,False,none
B136,CRASH_PT,M,10,DRIFT,C_ISDD,h=0.12,0.08,0.12520006905565162,1.4361046960752517,-0.10753127304417787,False,False,False,False,False,L5_CAGR
B136,CRASH_PT,M,10,DRIFT,C_ISLEGS,h=0.25,0.16,0.16486321638969947,1.446808800564987,-0.14565345322147238,True,True,True,False,False,none
B136,CRASH_PT,M,25,CAL,C_ISSHARPE,R=M,0.2,0.20525352897386373,1.4428303364219626,-0.1928243304073669,False,False,False,False,False,L4_DD
B136,CRASH_PT,M,25,CAL,C_ISCALMAR,R=M,0.2,0.20525352897386373,1.4428303364219626,-0.1928243304073669,False,False,False,False,False,L4_DD
B136,CRASH_PT,M,25,CAL,C_ISDD,R=W,0.08,0.11756936295067733,1.354195137272428,-0.10557577831955023,False,False,False,False,False,L5_CAGR
B136,CRASH_PT,M,25,CAL,C_ISLEGS,R=M,0.1,0.15450225166137077,1.4629550248737224,-0.12584296911518578,True,True,True,False,False,none
B136,CRASH_PT,M,25,DRIFT,C_ISSHARPE,h=0.16,0.2,0.1920797109591057,1.4043491615850623,-0.18398283571131968,False,False,False,False,False,L4_DD
B136,CRASH_PT,M,25,DRIFT,C_ISCALMAR,h=0.25,0.16,0.1636096857810465,1.4369110302856216,-0.14677138263359102,True,True,True,False,False,none
B136,CRASH_PT,M,25,DRIFT,C_ISDD,h=0.12,0.08,0.12017420621841057,1.3829074261045942,-0.10966678518900508,False,False,False,False,False,L5_CAGR
B136,CRASH_PT,M,25,DRIFT,C_ISLEGS,h=0.25,0.16,0.1636096857810465,1.4369110302856216,-0.14677138263359102,True,True,True,False,False,none
B136,CRASH_PT,M,50,CAL,C_ISSHARPE,R=M,0.2,0.2022162181977336,1.4239953478112373,-0.19456535621327564,False,False,False,False,False,L4_DD
B136,CRASH_PT,M,50,CAL,C_ISCALMAR,R=M,0.2,0.2022162181977336,1.4239953478112373,-0.19456535621327564,False,False,False,False,False,L4_DD
B136,CRASH_PT,M,50,CAL,C_ISDD,R=M,0.08,0.12299835164877448,1.3415436680909751,-0.11627364222704217,False,False,False,False,False,L5_CAGR
B136,CRASH_PT,M,50,CAL,C_ISLEGS,R=M,0.1,0.14942576082660364,1.4190671388858365,-0.1272770504751879,True,True,True,False,False,none
B136,CRASH_PT,M,50,DRIFT,C_ISSHARPE,h=0.16,0.2,0.18906824645341325,1.3848761715949307,-0.1869138154735719,False,False,False,False,False,L4_DD
B136,CRASH_PT,M,50,DRIFT,C_ISCALMAR,h=0.25,0.16,0.16152287072369975,1.420358327214686,-0.14863203344288067,False,False,False,False,False,L4_DD
B136,CRASH_PT,M,50,DRIFT,C_ISDD,h=0.12,0.08,0.1118448952633957,1.293892057510998,-0.11321553886567315,False,False,False,False,False,L2_H2|L5_CAGR
B136,CRASH_PT,M,50,DRIFT,C_ISLEGS,h=0.25,0.16,0.16152287072369975,1.420358327214686,-0.14863203344288067,False,False,False,False,False,L4_DD
B136,CRASH_PT,W,0,CAL,C_ISSHARPE,R=M,0.2,0.21002732337982644,1.4598318103057837,-0.18997299014814806,False,False,False,False,False,L4_DD
B136,CRASH_PT,W,0,CAL,C_ISCALMAR,R=M,0.08,0.13631575204926305,1.4611932725405048,-0.11503842728938851,True,False,False,False,False,none
B136,CRASH_PT,W,0,CAL,C_ISDD,R=W,0.08,0.12773677419301466,1.4582705191845937,-0.10066055192498913,False,False,False,False,False,L5_CAGR
B136,CRASH_PT,W,0,CAL,C_ISLEGS,R=M,0.1,0.16113323621433095,1.5055322898801158,-0.12647394302202397,True,True,True,False,False,none
B136,CRASH_PT,W,0,DRIFT,C_ISSHARPE,h=0.25,0.16,0.16667069571312054,1.452967118117839,-0.1457620845368054,True,True,True,False,False,none
