panel,arm,cagr_violations,dd_violations,sharpe_spread
U56,BAND03,0,0,0.0002993133301645301
U56,BAND08,0,0,0.0009388394250176013
U56,BAND03_M,0,0,0.006237053115681679
U56,CAND20_VS,0,0,0.0004627040920175407
U56,CAND20,0,0,0.002193179036438675
U56,CAND10,0,0,0.007228505859608325
U56,CAND05,0,0,0.012473877242542009
U56,CAND20_NOCAP,0,0,0.0016626636173935339
U56,EWELIG,0,0,0.000965409934417627
U56,SPYBH,0,0,0.008380990666680521
B136,BAND03,0,0,0.00048044280930747973
B136,BAND08,0,0,0.0004566205614848773
B136,BAND03_M,0,0,0.006737483968668245
B136,CAND20_VS,0,0,0.0010071318222717451
B136,CAND20,0,0,0.008288764847395935
B136,CAND10,0,0,0.01362231246843526
B136,CAND05,0,0,0.01870942311376489
B136,CAND20_NOCAP,0,0,0.010879105997840144
B136,EWELIG,0,0,0.00037562682185643403
B136,SPYBH,0,0,0.008365600744171586
SMALL,BAND03,0,0,0.0008668128469603298
SMALL,BAND08,0,0,0.0005551183388924352
SMALL,BAND03_M,0,0,0.007877865786362848
SMALL,CAND20_VS,0,0,0.007250372072072908
SMALL,CAND20,0,0,0.008295887665564938
SMALL,CAND10,0,0,0.008754317095439557
SMALL,CAND05,8,0,0.0033638807228393297
SMALL,CAND20_NOCAP,0,0,0.003043569776568944
SMALL,EWELIG,0,0,0.0015542192495832108
SMALL,SPYBH,0,0,0.007180918313509754
