panel,gross,family,cost_bps,arm,pick,is_pick_sharpe,oos_oracle,pick_is_oracle,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_gross
U56,0.75,BAND,10,ISARGMAX-RAW,0.1,1.0596026870843849,0.03,False,0.08178063654806444,1.172040257506587,-0.11213689407842886,0.4909228163085018
U56,0.75,BAND,10,ISARGMAX-PAIRDIAL,0.1,1.0596026870843849,0.03,False,0.0815017010911474,1.1720465926694976,-0.11176853655585195,0.4892645492215045
U56,0.75,BAND,10,ISARGMAX-MATCHED,0.1,1.0596026870843849,0.03,False,0.08734590784327478,1.2768625494721884,-0.10924639417631066,0.5209893498947487
U56,0.75,BAND,10,ADOPTED,0.1,1.0596026870843849,0.03,False,0.08734590784327478,1.2768625494721884,-0.10924639417631066,0.5209893498947487
U56,0.75,BAND,10,NOTHING(RULESv2),0.1,1.0596026870843849,0.03,False,0.09534815248934558,1.2850846619485738,-0.12054946768671182,0.5368545644365049
U56,0.75,BAND,10,EWALL,0.1,1.0596026870843849,0.03,False,0.13817415675493705,1.1357457661990906,-0.22525890947548444,0.7502665171004191
U56,0.75,BAND,10,SPY,0.1,1.0596026870843849,0.03,False,0.15450717694493354,0.8820109845896832,-0.33717289200673795,1.0
U56,0.75,BAND,25,ISARGMAX-RAW,0.1,1.0352707444283251,0.03,False,0.07971316831862518,1.1442923576094581,-0.11233420401101735,0.4909228163085018
U56,0.75,BAND,25,ISARGMAX-PAIRDIAL,0.1,1.0352707444283251,0.03,False,0.07944148934561923,1.1442950602270965,-0.11196532119944258,0.4892645492215045
U56,0.75,BAND,25,ISARGMAX-MATCHED,0.1,1.0352707444283251,0.03,False,0.0841794471361903,1.2336278659855235,-0.10967028668468748,0.5209893498947487
U56,0.75,BAND,25,ADOPTED,0.1,1.0352707444283251,0.03,False,0.0841794471361903,1.2336278659855235,-0.10967028668468748,0.5209893498947487
U56,0.75,BAND,25,NOTHING(RULESv2),0.1,1.0352707444283251,0.03,False,0.09241429872042128,1.2482558034007076,-0.12092635506895344,0.5368545644365049
U56,0.75,BAND,25,EWALL,0.1,1.0352707444283251,0.03,False,0.13671236509806106,1.125049412500613,-0.22547618177756779,0.7502665171004191
U56,0.75,BAND,25,SPY,0.1,1.0352707444283251,0.03,False,0.15450717694493354,0.8820109845896832,-0.33717289200673795,1.0
U56,0.75,MA,10,ISARGMAX-RAW,150,1.0148439485486282,200,False,0.07689837401956212,1.1714377428019969,-0.10434177414559065,0.5093004351562344
U56,0.75,MA,10,ISARGMAX-PAIRDIAL,150,1.0148439485486282,200,False,0.07689837401956212,1.1714377428019969,-0.10434177414559065,0.5093004351562344
U56,0.75,MA,10,ISARGMAX-MATCHED,150,1.0148439485486282,200,False,0.08603687816161765,1.2768920306453024,-0.10767525063554784,0.5132942481530309
U56,0.75,MA,10,ADOPTED,150,1.0148439485486282,200,False,0.08734590784327478,1.2768625494721884,-0.10924639417631066,0.5209893498947487
U56,0.75,MA,10,NOTHING(RULESv2),150,1.0148439485486282,200,False,0.09534815248934558,1.2850846619485738,-0.12054946768671182,0.5368545644365049
U56,0.75,MA,10,EWALL,150,1.0148439485486282,200,False,0.13817415675493705,1.1357457661990906,-0.22525890947548444,0.7502665171004191
