e,k,n_etf,n_stk,feasible,seed_variation,seeds
0.0,20,0,20,True,True,6
0.0,35,0,35,True,True,6
0.0,56,0,56,True,True,6
0.0,100,0,100,True,False,1
0.35,20,7,13,True,True,6
0.35,35,12,23,True,True,6
0.35,56,20,36,True,True,6
0.35,100,35,65,True,True,6
0.65,20,13,7,True,True,6
0.65,35,23,12,True,True,6
0.65,56,36,20,False,False,0
0.65,100,65,35,False,False,0
1.0,20,20,0,True,True,6
1.0,35,35,0,True,False,1
1.0,56,56,0,False,False,0
1.0,100,100,0,False,False,0
