panel,family,thr,depth,bps,kind,dSharpe,turnover,pass4b
BROAD136,BUDGET,0.1,half,10,null,0.035958822563950166,9.533874704596869,0.0
BROAD136,BUDGET,0.1,half,10,real,0.025503676449835533,9.091063055703115,0.0
BROAD136,BUDGET,0.1,half,25,null,0.08120713372312942,9.533874704596869,0.0
BROAD136,BUDGET,0.1,half,25,real,0.07539181517360305,9.091063055703115,0.0
BROAD136,BUDGET,0.1,skip,10,null,0.07578689870832074,3.1549895210017938,0.0
BROAD136,BUDGET,0.1,skip,10,real,0.009128794167337584,2.183047938995812,0.0
BROAD136,BUDGET,0.1,skip,25,null,0.1913312517476145,3.1549895210017938,0.0
BROAD136,BUDGET,0.1,skip,25,real,0.13380895392668601,2.183047938995812,0.0
BROAD136,BUDGET,0.2,half,10,null,0.020897029784864157,10.752616688771983,0.0
BROAD136,BUDGET,0.2,half,10,real,0.013115520709434336,10.014493925268717,0.0
BROAD136,BUDGET,0.2,half,25,null,0.052901143137932885,10.752616688771983,0.0
BROAD136,BUDGET,0.2,half,25,real,0.053573707270202386,10.014493925268717,0.0
BROAD136,BUDGET,0.2,skip,10,null,0.033184937388612605,7.149073733606864,0.0
BROAD136,BUDGET,0.2,skip,10,real,-0.03391514365775361,5.728682701987118,0.0
BROAD136,BUDGET,0.2,skip,25,null,0.10716736552400859,7.149073733606864,0.0
BROAD136,BUDGET,0.2,skip,25,real,0.05513372116955506,5.728682701987118,0.0
BROAD136,BUDGET,0.3,half,10,null,-0.0010649871557303126,12.816824322073202,0.0
BROAD136,BUDGET,0.3,half,10,real,-0.008118614373006539,12.294005719870542,0.0
BROAD136,BUDGET,0.3,half,25,null,0.008272954418279539,12.816824322073202,0.0
BROAD136,BUDGET,0.3,half,25,real,0.007659582169338819,12.294005719870542,0.0
BROAD136,BUDGET,0.3,skip,10,null,-0.005880273046259976,11.8995346162395,0.0
BROAD136,BUDGET,0.3,skip,10,real,-0.02642874000613671,10.933018466223189,0.0
BROAD136,BUDGET,0.3,skip,25,null,0.014252672265799553,11.8995346162395,0.0
BROAD136,BUDGET,0.3,skip,25,real,0.006209474779794388,10.933018466223189,0.0
BROAD136,DDCTL,0.06,0.5,10,null,-0.03914205576376729,13.332869067841347,0.2
BROAD136,DDCTL,0.06,0.5,10,real,-0.09313187485596652,13.108421228917555,0.0
BROAD136,DDCTL,0.06,0.5,25,null,-0.04864525680130129,13.332869067841347,0.0
