statistic,window,n,pearson,spearman,t,sign_agree,r_MA-DIST,r_MOM12_1,r_LOWVOL,r_U56,r_B136,r_SMALL439
DROP,FULL_IS,81,0.1957265324891784,0.30304878048780487,1.7739666208786602,0.6790123456790124,0.3435072820131539,0.3844830830150818,-0.4679544050949595,-0.03297467186835456,0.002597778541285324,0.48154866492341997
DROP,TRAIL3Y,81,0.3235763635091473,0.4036811201445348,3.0395300871759012,0.6419753086419753,0.48748562129146583,0.17492816591210925,-0.04833157354505672,0.11692186552301395,0.08590048650551943,0.6505004441800523
DROP,TRAIL1Y,81,0.25985913129947885,0.3919828364950316,2.3918467003729185,0.691358024691358,0.303818807876602,0.4409055367697331,-0.16225441607216248,0.050971952961982696,0.18925356675692898,0.5563992703031516
SPREAD,FULL_IS,79,0.20777793851875537,0.3583495618305745,1.8639222099598305,0.7088607594936709,0.31878706635359255,0.38104820716279114,-0.3891633512531892,0.016402019377880165,-0.05159708931698444,0.5642341575627307
SPREAD,TRAIL3Y,79,0.33471335717730494,0.3822541382667965,3.1168794169271274,0.620253164556962,0.2880286009152663,0.27860719446137183,0.09887231489204183,0.0038496907541097814,0.13053877016605844,0.6154964059972727
SPREAD,TRAIL1Y,76,0.17592931051115038,0.3243472317156528,1.5373799719748682,0.5789473684210527,0.001735408255057478,0.13321278408638737,0.04314682627418751,-0.2846601974393427,0.3366951119966937,0.499363688638741
EXCESS,FULL_IS,81,0.13606666168026432,0.303319783197832,1.2207402126447102,0.7160493827160493,0.1610270002142336,0.32722744137835474,-0.4505967190226323,-0.17155294492431075,0.07956361593989293,0.48145177943655726
EXCESS,TRAIL3Y,81,0.23599474421327288,0.3383242999096657,2.158536473811406,0.6296296296296297,0.20070690640449693,0.022560192345829202,-0.02071561514637537,-0.057912166129668,0.1529836226817211,0.6392025500816606
EXCESS,TRAIL1Y,81,0.17750101632212226,0.3778003613369467,1.603120100080383,0.7283950617283951,-0.05226229238027619,0.5154584810335678,-0.17576562253227865,-0.1631774044593186,0.2047748015707444,0.5250619202999635
PRIOR,FULL_IS,81,0.07108675386425334,0.2060523938572719,0.6334353938553728,0.5802469135802469,0.03062365613635637,0.3196466069629773,-0.31616166341591456,0.37463715147531035,0.10398028329654169,-0.24390927948374092
PRIOR,TRAIL3Y,81,0.11196527573151656,0.2559620596205962,1.0014662384251776,0.6049382716049383,0.039794900160213593,0.19581873209140033,-0.13001704776952258,0.6022460938503448,0.27553369365530633,-0.43578403222571505
PRIOR,TRAIL1Y,81,-0.18895367028663174,0.148193315266486,-1.710265677816345,0.5555555555555556,-0.45887527674108675,0.16264787322419808,0.04556474336729371,0.1727585116484839,0.3780502527953204,-0.5820654707955314
