panel,k,n_books,rho_IS_to_OOS_MaxDD,rho_IS_to_OOS_K21
U56,K21,22,0.7751277683134585,0.578648495173197
U56,K63,22,0.7819420783645658,0.5865985235661557
U56,K126,22,0.7705848949460535,0.5741056218057923
U56,K252,22,0.7705848949460535,0.5741056218057923
U56,KFULL,22,0.7705848949460535,0.5741056218057923
B136,K21,22,0.717206132879046,0.7535491198182852
B136,K63,22,0.7160704145371949,0.7467348097671779
B136,K126,22,0.701306076093129,0.7331061896649633
B136,K252,22,0.701306076093129,0.7331061896649633
B136,KFULL,22,0.701306076093129,0.7331061896649633
SMALL663,K21,22,0.8364565587734243,0.8455423055082341
SMALL663,K63,22,0.9363997728563318,0.9511641113003977
SMALL663,K126,22,0.7830777967064169,0.6751845542305508
SMALL663,K252,22,0.7910278250993754,0.6683702441794436
SMALL663,KFULL,22,0.7921635434412267,0.6615559341283362
