source,cell,dial_a,dial_b,pts_a,pts_b,w_pts_a,w_pts_b,w_frac_a,w_frac_b,w_units_a,w_units_b,sign_PTS,sign_FRAC,sign_UNITS,same_density
401-window-cell,broad|EWall|10.0,K,band,6.0,5.0,0.0,0.0,0.0,0.0,,,0,0,,0
401-window-cell,broad|EWall|10.0,K,f,6.0,13.0,0.0,4.0,0.0,0.3076923076923077,,,-1,-1,,0
401-window-cell,broad|EWall|10.0,K,gross,6.0,19.0,0.0,0.0,0.0,0.0,,,0,0,,0
401-window-cell,broad|EWall|10.0,K,vol,6.0,8.0,0.0,2.0,0.0,0.25,,,-1,-1,,0
401-window-cell,broad|EWall|10.0,band,f,5.0,13.0,0.0,4.0,0.0,0.3076923076923077,,,-1,-1,,0
401-window-cell,broad|EWall|10.0,band,gross,5.0,19.0,0.0,0.0,0.0,0.0,,,0,0,,0
401-window-cell,broad|EWall|10.0,band,vol,5.0,8.0,0.0,2.0,0.0,0.25,,,-1,-1,,0
401-window-cell,broad|EWall|10.0,f,gross,13.0,19.0,4.0,0.0,0.3076923076923077,0.0,,,1,1,,0
401-window-cell,broad|EWall|10.0,f,vol,13.0,8.0,4.0,2.0,0.3076923076923077,0.25,,,1,1,,0
401-window-cell,broad|EWall|10.0,gross,vol,19.0,8.0,0.0,2.0,0.0,0.25,,,-1,-1,,0
401-window-cell,broad|EWall|25.0,K,band,6.0,5.0,0.0,0.0,0.0,0.0,,,0,0,,0
401-window-cell,broad|EWall|25.0,K,f,6.0,13.0,0.0,3.0,0.0,0.23076923076923078,,,-1,-1,,0
401-window-cell,broad|EWall|25.0,K,gross,6.0,19.0,0.0,0.0,0.0,0.0,,,0,0,,0
401-window-cell,broad|EWall|25.0,K,vol,6.0,8.0,0.0,2.0,0.0,0.25,,,-1,-1,,0
401-window-cell,broad|EWall|25.0,band,f,5.0,13.0,0.0,3.0,0.0,0.23076923076923078,,,-1,-1,,0
401-window-cell,broad|EWall|25.0,band,gross,5.0,19.0,0.0,0.0,0.0,0.0,,,0,0,,0
401-window-cell,broad|EWall|25.0,band,vol,5.0,8.0,0.0,2.0,0.0,0.25,,,-1,-1,,0
401-window-cell,broad|EWall|25.0,f,gross,13.0,19.0,3.0,0.0,0.23076923076923078,0.0,,,1,1,,0
401-window-cell,broad|EWall|25.0,f,vol,13.0,8.0,3.0,2.0,0.23076923076923078,0.25,,,1,-1,,0
401-window-cell,broad|EWall|25.0,gross,vol,19.0,8.0,0.0,2.0,0.0,0.25,,,-1,-1,,0
401-window-cell,broad|TOP20|10.0,K,band,6.0,5.0,0.0,0.0,0.0,0.0,,,0,0,,0
401-window-cell,broad|TOP20|10.0,K,f,6.0,13.0,0.0,4.0,0.0,0.3076923076923077,,,-1,-1,,0
401-window-cell,broad|TOP20|10.0,K,gross,6.0,19.0,0.0,1.0,0.0,0.05263157894736842,,,-1,-1,,0
401-window-cell,broad|TOP20|10.0,K,n,6.0,5.0,0.0,0.0,0.0,0.0,,,0,0,,0
401-window-cell,broad|TOP20|10.0,K,vol,6.0,8.0,0.0,1.0,0.0,0.125,,,-1,-1,,0
401-window-cell,broad|TOP20|10.0,band,f,5.0,13.0,0.0,4.0,0.0,0.3076923076923077,,,-1,-1,,0
401-window-cell,broad|TOP20|10.0,band,gross,5.0,19.0,0.0,1.0,0.0,0.05263157894736842,,,-1,-1,,0
401-window-cell,broad|TOP20|10.0,band,n,5.0,5.0,0.0,0.0,0.0,0.0,,,0,0,,1
401-window-cell,broad|TOP20|10.0,band,vol,5.0,8.0,0.0,1.0,0.0,0.125,,,-1,-1,,0
