test,chosen_on,column,q,thr,n_test,base,precision,recall,F1,IS_F1
OUT-OF-PANEL,u56,H2CUSH0,90.0,0.3594255767377682,144,0.020833333333333332,,0.0,0.0,
OUT-OF-PANEL,u56,TURNOVER,45.0,3.791587881788659,144,0.020833333333333332,0.0625,1.0,0.11764705882352941,
OUT-OF-PANEL,u56,MINCUSH0,90.0,-0.009101448614513372,144,0.020833333333333332,0.6,1.0,0.7499999999999999,
OUT-OF-PANEL,broad,H2CUSH0,55.0,0.16175983004608596,144,0.041666666666666664,0.08571428571428572,1.0,0.15789473684210528,
OUT-OF-PANEL,broad,TURNOVER,35.0,4.355508357038979,144,0.041666666666666664,0.1,1.0,0.18181818181818182,
OUT-OF-PANEL,broad,MINCUSH0,95.0,-0.004978999708781788,144,0.041666666666666664,0.8571428571428571,1.0,0.923076923076923,
OUT-OF-PANEL,small,H2CUSH0,0.0,-0.27650235146004154,144,0.0625,0.0625,1.0,0.11764705882352941,
OUT-OF-PANEL,small,TURNOVER,0.0,0.8849332704497154,144,0.0625,0.0,0.0,0.0,
OUT-OF-PANEL,small,MINCUSH0,0.0,-0.3505689883945786,144,0.0625,0.0625,1.0,0.11764705882352941,
RULE-8-OOS,2009-2016,H2CUSH0,35.0,0.23532269368587427,216,0.6481481481481481,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.4134078212290503
RULE-8-OOS-AUC,2009-2016,H2CUSH0,,,216,0.6481481481481481,,,0.9631578947368421,
RULE-8-OOS,2009-2016,TURNOVER,50.0,6.497329470728074,216,0.6481481481481481,0.7592592592592593,0.5857142857142857,0.6612903225806452,0.42176870748299317
RULE-8-OOS-AUC,2009-2016,TURNOVER,,,216,0.6481481481481481,,,0.6615601503759398,
RULE-8-OOS,2009-2016,MINCUSH0,80.0,-0.0038969855822490185,216,0.6481481481481481,0.9772727272727273,0.30714285714285716,0.4673913043478261,0.9397590361445783
RULE-8-OOS-AUC,2009-2016,MINCUSH0,,,216,0.6481481481481481,,,0.9762218045112782,
