scope,arm,n,pearson,spearman,ci_lo,ci_hi,gap_MAB_minus_NT
ALL 10 panels,NT,40,0.16460963031101603,0.1209987796864733,-0.15484527013971605,0.45290035673745926,
ALL 10 panels,MAB,30,0.5827756750096229,0.6587319243604004,0.28163171934124737,0.7794069212977017,0.41816604469860685
idea 387's 3 (replication),NT,12,0.16027250961934286,0.4055944055944056,-0.4555384721185442,0.6723391192677238,
idea 387's 3 (replication),MAB,9,0.7812302688388706,0.75,0.24337009208377147,0.9516221042780217,0.6209577592195277
EX-SMALL439 (drop the deep end),NT,36,0.44857781669815344,0.2788870282107433,0.14078484259751983,0.6773009967600218,
EX-SMALL439 (drop the deep end),MAB,27,0.5057037489147571,0.5482295482295482,0.15558308818105918,0.7429463145264781,0.05712593221660367
NEW 7 panels only,NT,28,0.19934692267721768,0.07211406635590897,-0.18769569328920202,0.5328038454081593,
NEW 7 panels only,MAB,21,0.6594136248299335,0.7454545454545455,0.3183401377419879,0.8493323685709752,0.46006670215271583
