stat,K,blocks,flip_share,n_flip,pairwise_disagree
MAX,20,20,0.31666666666666665,57,0.1082748538011696
MAX,50,8,0.22777777777777777,41,0.09365079365079365
MAX,100,4,0.13333333333333333,24,0.07592592592592592
MAX,200,2,0.027777777777777776,5,0.027777777777777776
Q95,20,20,0.26666666666666666,48,0.07692982456140351
Q95,50,8,0.15,27,0.05813492063492064
Q95,100,4,0.044444444444444446,8,0.025
Q95,200,2,0.03333333333333333,6,0.03333333333333333
