con,clause,metric,U56,B136,SMALL439,spread
RESPREAD,ABS 0.60,dCAGR0_pp,-1.0965669525590194,-0.8850156087270689,-2.5239297865524035,1.6389141778253347
RESPREAD,ABS 0.60,dSharpe0,-0.03139368638775264,-0.022988495135350506,-0.1382081735170343,0.11521967838168379
RESPREAD,QTL @MATCHED,dCAGR0_pp,-1.3120674030158819,-0.425949057152053,-1.6299695492245858,1.2040204920725328
RESPREAD,QTL @MATCHED,dSharpe0,-0.059216507192617396,-0.013562824177718369,-0.08406594391689443,0.07050311973917606
RESPREAD,QTL 0.60,dCAGR0_pp,-4.932005008948703,-3.231400670373663,-0.8045188337132636,4.12748617523544
RESPREAD,QTL 0.60,dSharpe0,-0.20938845897135927,-0.1161425316839344,-0.005073763232467998,0.20431469573889127
DEGROSS,ABS 0.60,dCAGR0_pp,-0.8728823077866599,-0.5615261757868639,-1.8757553395990278,1.314229163812164
DEGROSS,ABS 0.60,dSharpe0,-0.052835215443999495,-0.035386377086504606,-0.18270409346697492,0.1473177163804703
DEGROSS,QTL @MATCHED,dCAGR0_pp,-1.252199447732849,-0.5669491492786838,-1.3965624348603711,0.8296132855816873
DEGROSS,QTL @MATCHED,dSharpe0,-0.06608822320910956,-0.0177733580013546,-0.08666511678985267,0.06889175878849807
DEGROSS,QTL 0.60,dCAGR0_pp,-5.116394571456118,-4.279314509401311,-1.7913125444147804,3.3250820270413373
DEGROSS,QTL 0.60,dSharpe0,-0.2033202955004847,-0.11989728536915889,-0.03451129335809011,0.16880900214239458
