family,prop,thr,pick_low,pick_high,const,collapsed,collapsed_to_const,sb_daily,sb_window,modal_day_share,OOS_Sharpe,const_OOS_Sharpe
topn,BREADTH,0.7142857142857143,n=5,n=10,n=5,0,0,0.5378674638764325,0.5666666666666667,0.4678624813153961,0.962963806414778,1.056616554299878
topn,DISP,0.11487648788134844,n=5,n=5,n=5,1,1,0.5378674638764325,0.5666666666666667,0.4678624813153961,1.056616554299878,1.056616554299878
topn,SPYVOL,0.1318147613004173,n=5,n=5,n=5,1,1,0.5378674638764325,0.5666666666666667,0.4678624813153961,1.056616554299878,1.056616554299878
topn,SPYTREND,0.058288276628978064,n=5,n=20,n=5,0,0,0.5378674638764325,0.5666666666666667,0.4678624813153961,1.0305083401562352,1.056616554299878
gross,BREADTH,0.7142857142857143,g=1.00,g=1.00,g=1.00,1,1,0.5625311410064773,0.7333333333333333,0.5625311410064773,1.2781300700732343,1.2781300700732343
gross,DISP,0.11487648788134844,g=0.50,g=1.00,g=1.00,0,0,0.5625311410064773,0.7333333333333333,0.5625311410064773,1.0301029032649056,1.2781300700732343
gross,SPYVOL,0.1318147613004173,g=1.00,g=0.50,g=1.00,0,0,0.5625311410064773,0.7333333333333333,0.5625311410064773,1.2140276272049573,1.2781300700732343
gross,SPYTREND,0.058288276628978064,g=1.00,g=1.00,g=1.00,1,1,0.5625311410064773,0.7333333333333333,0.5625311410064773,1.2781300700732343,1.2781300700732343
band,BREADTH,0.7142857142857143,b=0.06,b=0.03,b=0.03,0,0,0.5023659305993691,0.5333333333333333,0.22620827105132038,1.18358612259369,1.278836537597142
band,DISP,0.11487648788134844,b=0.03,b=0.03,b=0.03,1,1,0.5023659305993691,0.5333333333333333,0.22620827105132038,1.278836537597142,1.278836537597142
band,SPYVOL,0.1318147613004173,b=0.01,b=0.03,b=0.03,0,0,0.5023659305993691,0.5333333333333333,0.22620827105132038,1.3022558581412105,1.278836537597142
band,SPYTREND,0.058288276628978064,b=0.06,b=0.03,b=0.03,0,0,0.5023659305993691,0.5333333333333333,0.22620827105132038,1.1956770042697729,1.278836537597142
volcap,BREADTH,0.7142857142857143,v=9.9,v=9.9,v=9.9,1,1,0.5254045916447121,0.6666666666666666,0.1998006975585451,1.1696800483198222,1.1696800483198222
volcap,DISP,0.11487648788134844,v=0.4,v=9.9,v=9.9,0,0,0.5254045916447121,0.6666666666666666,0.1998006975585451,1.1296206096578116,1.1696800483198222
volcap,SPYVOL,0.1318147613004173,v=9.9,v=9.9,v=9.9,1,1,0.5254045916447121,0.6666666666666666,0.1998006975585451,1.1696800483198222,1.1696800483198222
volcap,SPYTREND,0.058288276628978064,v=9.9,v=9.9,v=9.9,1,1,0.5254045916447121,0.6666666666666666,0.1998006975585451,1.1696800483198222,1.1696800483198222
