chooser_set,panel,cost,n_defined,signs,unanimous
REC3,U56,0.0,3,+1/-1/-1,False
REC3,U56,10.0,3,+1/+1/-1,False
REC3,U56,25.0,3,+1/+1/-1,False
REC3,B136,0.0,3,+0/+0/-1,True
REC3,B136,10.0,1,-1,True
REC3,B136,25.0,1,+1,True
STAB3,U56,0.0,3,+0/-1/-1,True
STAB3,U56,10.0,3,+1/+1/-1,False
STAB3,U56,25.0,3,+1/+1/+1,True
STAB3,B136,0.0,3,-1/-1/-1,True
STAB3,B136,10.0,1,-1,True
STAB3,B136,25.0,1,+1,True
