panel,cadence,cap,gross,cost_bps,comparand,CAGR,Sharpe,MaxDD,H1,H2,Calmar,turnover_yr,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pass4a,base_Sharpe,base_MaxDD,base_CAGR,base_OOS_Sharpe,L_H1,L_H2,L_OOS,L_DD,L_CAGR,S_H1,S_H2,S_OOS,S_DD,S_CAGR,pass4b,pass4b_strict,x_CAGR,x_Sharpe,x_MaxDD,x_H1,x_H2,x_OOS_Sharpe,x_OOS_CAGR
U56,W,0.015,0.75,0.0,SPY,0.10151611297870344,1.3024588633423029,-0.12696806901781432,1.3211923301021942,1.2966788941468044,0.7995404967878985,3.0004287848382387,1.195441196631169,1.1077184599022505,0.11475474286793097,1.3841465671576898,-0.12696806901781443,False,1.2051536091601132,-0.12054950773958328,0.08650071953758953,1.2839355379722956,True,True,True,True,False,True,True,True,True,False,False,False,0.15230826012920673,0.8896695908092724,-0.33717256724185285,0.9566187900099448,0.8353111897159258,0.8831406547160487,0.15454794790057602
U56,W,0.015,0.75,0.0,EWBH,0.10151611297870344,1.3024588633423029,-0.12696806901781432,1.3211923301021942,1.2966788941468044,0.7995404967878985,3.0004287848382387,1.195441196631169,1.1077184599022505,0.11475474286793097,1.3841465671576898,-0.12696806901781443,False,1.2051536091601132,-0.12054950773958328,0.08650071953758953,1.2839355379722956,True,True,True,True,False,True,True,True,True,False,False,False,0.25241531729980515,1.094139433254986,-0.441929199120771,1.2520231777542399,1.054074509328396,1.1216505977478437,0.3035355215537636
U56,W,0.015,0.75,0.0,BLEND_BH,0.10151611297870344,1.3024588633423029,-0.12696806901781432,1.3211923301021942,1.2966788941468044,0.7995404967878985,3.0004287848382387,1.195441196631169,1.1077184599022505,0.11475474286793097,1.3841465671576898,-0.12696806901781443,False,1.2051536091601132,-0.12054950773958328,0.08650071953758953,1.2839355379722956,False,True,True,True,True,False,True,True,True,False,False,False,0.14241165415175083,1.1122840664203277,-0.25510993021227335,1.348602773578906,1.058809267545654,1.1452746305520372,0.1770320381515127
U56,W,0.015,0.75,0.0,BLEND_RB,0.10151611297870344,1.3024588633423029,-0.12696806901781432,1.3211923301021942,1.2966788941468044,0.7995404967878985,3.0004287848382387,1.195441196631169,1.1077184599022505,0.11475474286793097,1.3841465671576898,-0.12696806901781443,False,1.2051536091601132,-0.12054950773958328,0.08650071953758953,1.2839355379722956,True,True,True,False,True,True,True,True,True,True,False,True,0.0901426225471893,1.1554420905243652,-0.16576370051710487,1.2007334360184172,1.1248368534142503,1.2141127222438828,0.09951417729357748
U56,W,0.015,0.75,10.0,SPY,0.09821663146094584,1.2631196337892623,-0.12740581901796688,1.2805480551137043,1.258117012460207,0.7708959623507874,3.0004287848382387,1.1538002879577944,1.0330321138045515,0.11135745615956005,1.3463218433742863,-0.12740581901796721,False,1.2051536091601132,-0.12054950773958328,0.08650071953758953,1.2839355379722956,True,True,True,True,False,True,True,True,True,False,False,False,0.15230826012920673,0.8896695908092724,-0.33717256724185285,0.9566187900099448,0.8353111897159258,0.8831406547160487,0.15454794790057602
U56,W,0.015,0.75,10.0,EWBH,0.09821663146094584,1.2631196337892623,-0.12740581901796688,1.2805480551137043,1.258117012460207,0.7708959623507874,3.0004287848382387,1.1538002879577944,1.0330321138045515,0.11135745615956005,1.3463218433742863,-0.12740581901796721,False,1.2051536091601132,-0.12054950773958328,0.08650071953758953,1.2839355379722956,True,True,True,True,False,True,True,True,True,False,False,False,0.25241531729980515,1.094139433254986,-0.441929199120771,1.2520231777542399,1.054074509328396,1.1216505977478437,0.3035355215537636
U56,W,0.015,0.75,10.0,BLEND_BH,0.09821663146094584,1.2631196337892623,-0.12740581901796688,1.2805480551137043,1.258117012460207,0.7708959623507874,3.0004287848382387,1.1538002879577944,1.0330321138045515,0.11135745615956005,1.3463218433742863,-0.12740581901796721,False,1.2051536091601132,-0.12054950773958328,0.08650071953758953,1.2839355379722956,False,True,True,True,True,False,True,True,True,False,False,False,0.13987269455606266,1.094758577192342,-0.2576100613884331,1.3238736144758454,1.0439985384336694,1.13071362288415,0.1744201621057404
U56,W,0.015,0.75,10.0,BLEND_RB,0.09821663146094584,1.2631196337892623,-0.12740581901796688,1.2805480551137043,1.258117012460207,0.7708959623507874,3.0004287848382387,1.1538002879577944,1.0330321138045515,0.11135745615956005,1.3463218433742863,-0.12740581901796721,False,1.2051536091601132,-0.12054950773958328,0.08650071953758953,1.2839355379722956,True,True,True,False,True,True,True,True,True,True,False,True,0.0874849634645265,1.123749180618279,-0.16657057506369222,1.1677344928987308,1.0940515296045454,1.1837100907073157,0.09683042723986057
U56,W,0.015,0.75,25.0,SPY,0.09328520754853864,1.2040024865307533,-0.12806231335853735,1.2194659331441033,1.2001708580343384,0.7284360644600189,3.0004287848382387,1.091236224022687,0.9059337709606251,0.10628018813242623,1.2894740868189813,-0.12806231335853724,False,1.2051536091601132,-0.12054950773958328,0.08650071953758953,1.2839355379722956,True,True,True,True,False,True,True,True,True,False,False,False,0.15230826012920673,0.8896695908092724,-0.33717256724185285,0.9566187900099448,0.8353111897159258,0.8831406547160487,0.15454794790057602
U56,W,0.015,0.75,25.0,EWBH,0.09328520754853864,1.2040024865307533,-0.12806231335853735,1.2194659331441033,1.2001708580343384,0.7284360644600189,3.0004287848382387,1.091236224022687,0.9059337709606251,0.10628018813242623,1.2894740868189813,-0.12806231335853724,False,1.2051536091601132,-0.12054950773958328,0.08650071953758953,1.2839355379722956,False,True,True,True,False,False,True,True,True,False,False,False,0.25241531729980515,1.094139433254986,-0.441929199120771,1.2520231777542399,1.054074509328396,1.1216505977478437,0.3035355215537636
