panel,q,k,draw,Ebar,Emed,breadth,Ebar_IS,breadth_IS,selectivity20,prov,C_Ebar,C_Emed,C_Emax,C_Esd,C_cover,I_breadth,I_bmed,I_bmax,I_bsd,I_cover,X_select,R_rand,n_is_days
MIX q=1.00 k=40 d0,1.0,40.0,0,10.867469879518072,10.5,0.27168674698795187,8.910769230769231,0.22276923076923077,1.8403547671840355,laneB,8.910769230769231,9.0,15.0,3.0135559507309857,21.0,0.22276923076923077,0.225,0.375,0.07533889876827464,0.525,2.2444751381215466,0.1583539248206456,325
MIX q=1.00 k=40 d1,1.0,40.0,1,13.337349397590362,14.0,0.33343373493975903,12.436923076923076,0.31092307692307697,1.4995483288166214,laneB,12.436923076923076,13.0,21.0,4.912178404350084,28.0,0.3109230769230769,0.325,0.525,0.1228044601087521,0.7,1.608114794656111,0.7837749087517814,325
MIX q=1.00 k=40 d2,1.0,40.0,2,14.1,14.5,0.35250000000000004,14.418461538461539,0.3604615384615385,1.4184397163120568,laneB,14.418461538461539,15.0,25.0,5.306962940375816,30.0,0.3604615384615385,0.375,0.625,0.1326740735093954,0.75,1.3871105420401195,0.22118353520873202,325
MIX q=1.00 k=40 d3,1.0,40.0,3,12.916867469879518,13.0,0.3229216867469879,11.68923076923077,0.29223076923076924,1.5483630258371421,new,11.68923076923077,12.0,20.0,4.666538459777353,27.0,0.29223076923076924,0.3,0.5,0.11666346149443382,0.675,1.710976572782311,0.04481360755915753,325
MIX q=1.00 k=40 d4,1.0,40.0,4,13.640963855421687,14.0,0.3410240963855421,13.492307692307692,0.3373076923076923,1.4661720544073487,new,13.492307692307692,15.0,23.0,5.184030192893914,28.0,0.3373076923076923,0.375,0.575,0.12960075482234784,0.7,1.4823261117445838,0.99420670975677,325
MIX q=1.00 k=40 d5,1.0,40.0,5,14.628915662650602,15.0,0.3657228915662651,14.150769230769232,0.3537692307692307,1.3671553286114315,new,14.150769230769232,15.0,24.0,5.259797532744971,31.0,0.3537692307692308,0.375,0.6,0.13149493831862427,0.775,1.4133507284192215,0.8142861516649029,325
MIX q=1.00 k=40 d6,1.0,40.0,6,12.675903614457832,13.0,0.31689759036144577,11.830769230769231,0.2957692307692308,1.5777967873776255,new,11.830769230769231,12.0,20.0,4.0831225598255685,26.0,0.2957692307692308,0.3,0.5,0.1020780639956392,0.65,1.6905071521456436,0.24794258169725436,325
MIX q=1.00 k=40 d7,1.0,40.0,7,12.548192771084338,13.0,0.3137048192771084,12.409230769230769,0.31023076923076925,1.5938550168026884,new,12.409230769230769,12.0,21.0,5.285249771505456,26.0,0.3102307692307692,0.3,0.525,0.1321312442876364,0.65,1.611703446565832,0.1678262126372404,325
MIX q=1.00 k=60 d0,1.0,60.0,0,16.50602409638554,17.0,0.2751004016064257,15.68923076923077,0.2614871794871794,1.2116788321167884,laneB,15.68923076923077,16.0,26.0,5.885117321510185,35.0,0.2614871794871795,0.26666666666666666,0.43333333333333335,0.09808528869183641,0.5833333333333334,1.2747597568150617,0.5903400666886375,325
MIX q=1.00 k=60 d1,1.0,60.0,1,18.357831325301206,19.0,0.30596385542168675,16.676923076923078,0.277948717948718,1.0894533044562578,laneB,16.676923076923078,18.0,29.0,6.26697126010075,40.0,0.27794871794871795,0.3,0.48333333333333334,0.10444952100167916,0.6666666666666666,1.1992619926199262,0.2506334642939445,325
MIX q=1.00 k=60 d2,1.0,60.0,2,20.26987951807229,21.0,0.3378313253012048,18.181538461538462,0.303025641025641,0.9866856871136471,laneB,18.181538461538462,20.0,30.0,6.032394348552509,40.0,0.30302564102564106,0.3333333333333333,0.5,0.10053990580920848,0.6666666666666666,1.100016923337282,0.8901851478954084,325
MIX q=1.00 k=60 d3,1.0,60.0,3,18.40843373493976,19.0,0.30680722891566264,16.58153846153846,0.27635897435897433,1.0864585378624256,new,16.58153846153846,18.0,29.0,5.803651795985079,39.0,0.27635897435897433,0.3,0.48333333333333334,0.09672752993308466,0.65,1.206160697717573,0.6882766819713138,325
MIX q=1.00 k=60 d4,1.0,60.0,4,20.90120481927711,21.0,0.34835341365461847,21.406153846153845,0.3567692307692308,0.9568826377680424,new,21.406153846153845,21.0,36.0,7.661106617577381,43.0,0.3567692307692308,0.35,0.6,0.12768511029295634,0.7166666666666667,0.9343107661348282,0.8611986190330154,325
MIX q=1.00 k=60 d5,1.0,60.0,5,20.666265060240963,21.0,0.3444377510040161,20.427692307692308,0.3404615384615385,0.9677607415612429,new,20.427692307692308,21.0,34.0,7.257084824634945,40.0,0.3404615384615385,0.35,0.5666666666666667,0.12095141374391576,0.6666666666666666,0.979063111914445,0.5837156475354948,325
MIX q=1.00 k=60 d6,1.0,60.0,6,20.110843373493974,21.0,0.33518072289156625,19.689230769230768,0.3281538461538462,0.9944883776659479,new,19.689230769230768,21.0,34.0,6.545098134607526,43.0,0.32815384615384613,0.35,0.5666666666666667,0.10908496891012544,0.7166666666666667,1.015783716205657,0.8799307837819145,325
MIX q=1.00 k=60 d7,1.0,60.0,7,18.94578313253012,20.0,0.3157630522088354,17.45846153846154,0.29097435897435897,1.055643879173291,new,17.45846153846154,18.0,29.0,6.175591447351127,40.0,0.29097435897435897,0.3,0.48333333333333334,0.10292652412251878,0.6666666666666666,1.1455763130066972,0.8560973860302513,325
