panel,arm,cost,resolution,chooser,IS_empty,IS_lo,IS_hi,g_pick,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,pass4b,pass4a,turn_yr,leg_L1_H1,leg_L2_H2,leg_L3_OOS,leg_L4_DDcap,leg_L5_CAGRfloor
U56,BAND03,0.0,RECORD8,-,True,,,,,,,,,,,,,,,,
U56,BAND03,0.0,STEP25,-,True,,,,,,,,,,,,,,,,
U56,BAND03,0.0,STEP10,-,True,,,,,,,,,,,,,,,,
U56,BAND03,0.0,STEP05,-,True,,,,,,,,,,,,,,,,
U56,BAND03,0.0,STEP01,-,True,,,,,,,,,,,,,,,,
U56,BAND03,0.0,EXACT,-,True,,,,,,,,,,,,,,,,
U56,BAND03,10.0,RECORD8,-,True,,,,,,,,,,,,,,,,
U56,BAND03,10.0,STEP25,-,True,,,,,,,,,,,,,,,,
U56,BAND03,10.0,STEP10,-,True,,,,,,,,,,,,,,,,
U56,BAND03,10.0,STEP05,-,True,,,,,,,,,,,,,,,,
U56,BAND03,10.0,STEP01,-,True,,,,,,,,,,,,,,,,
U56,BAND03,10.0,EXACT,-,True,,,,,,,,,,,,,,,,
U56,BAND03,25.0,RECORD8,-,True,,,,,,,,,,,,,,,,
U56,BAND03,25.0,STEP25,-,True,,,,,,,,,,,,,,,,
U56,BAND03,25.0,STEP10,-,True,,,,,,,,,,,,,,,,
U56,BAND03,25.0,STEP05,-,True,,,,,,,,,,,,,,,,
U56,BAND03,25.0,STEP01,-,True,,,,,,,,,,,,,,,,
U56,BAND03,25.0,EXACT,-,True,,,,,,,,,,,,,,,,
U56,BAND08,0.0,RECORD8,IS_MID,False,1.0,1.0,1.0,0.12188751623081617,1.1788570950897204,-0.19037403419352605,1.259768514205952,1.0918335008072486,True,False,1.5484444904125099,True,True,True,True,True
U56,BAND08,0.0,RECORD8,IS_SHARPE,False,1.0,1.0,1.0,0.12188751623081617,1.1788570950897204,-0.19037403419352605,1.259768514205952,1.0918335008072486,True,False,1.5484444904125099,True,True,True,True,True
U56,BAND08,0.0,STEP25,IS_MID,False,1.0,1.0,1.0,0.12188751623081617,1.1788570950897204,-0.19037403419352605,1.259768514205952,1.0918335008072486,True,False,1.5484444904125099,True,True,True,True,True
U56,BAND08,0.0,STEP25,IS_SHARPE,False,1.0,1.0,1.0,0.12188751623081617,1.1788570950897204,-0.19037403419352605,1.259768514205952,1.0918335008072486,True,False,1.5484444904125099,True,True,True,True,True
U56,BAND08,0.0,STEP10,IS_MID,False,1.0,1.0,1.0,0.12188751623081617,1.1788570950897204,-0.19037403419352605,1.259768514205952,1.0918335008072486,True,False,1.5484444904125099,True,True,True,True,True
