default,pool,rows,pass4a_v2,pass4a_v1,pass4b,pass4b_oos,both,beat_spy,beat_v2
D_NONE,P_ALL,72,0,24,9,9,0,44,20
D_NONE,P_S1,72,0,24,9,9,0,44,20
K_CAGR,P_ALL,72,4,25,13,14,4,44,24
K_CAGR,P_S1,72,4,26,15,16,4,45,23
K_Random,P_ALL,72,1,26,12,15,1,40,18
K_Random,P_S1,72,2,29,17,15,2,44,19
K_Sharpe,P_ALL,72,1,27,12,13,0,41,20
K_Sharpe,P_S1,72,3,26,15,16,2,44,21
MENU_NET,P_ALL,72,4,31,18,17,2,42,21
MENU_NET,P_S1,72,2,26,20,18,2,45,21
MENU_SEP,P_ALL,72,4,31,18,16,2,42,19
MENU_SEP,P_S1,72,2,26,20,18,2,45,21
